Project,now,before,Difference
Chart1,5509,4997,-512
Chart2,48,1010,962
Chart3,397,367,-30
Chart4,17031,22992,5961
Chart5,78,137,59
Chart6,644,650,6
Chart7,431,435,4
Chart8,120,116,-4
Chart9,573,411,-162
Chart10,3,3,0
Chart11,3,142,139
Chart12,21,2328,2307
Chart13,477,47,-430
Chart14,32,6,-26
Chart15,5,5674,5669
Chart16,1,1,0
Chart17,1,626,625
Chart18,1,3,2
Chart19,5,1,-4
Chart20,450,448,-2
Chart21,3,3,0
Chart22,1,12,11
Chart24,1,3,2
Chart25,2487,2640,153
Chart26,12,134,122
Closure1,22181,21998,-183
Closure2,73,5968,5895
Closure3,11883,11851,-32
Closure4,15,11222,11207
Closure5,9558,9551,-7
Closure6,9,1,-8
Closure7,97,2,-95
Closure8,9292,8719,-573
Closure9,2,1,-1
Closure10,67,7124,7057
Closure11,13390,14008,618
Closure12,15019,15178,159
Closure13,24197,24214,17
Closure14,12,6287,6275
Closure15,10463,10348,-115
Closure16,11239,11567,328
Closure17,112,6665,6553
Closure18,16945,17361,416
Closure19,31,1,-30
Closure20,7833,2,-7831
Closure21,11,51,40
Closure22,22,2,-20
Closure23,8636,8,-8628
Closure24,1,1,0
Closure25,9951,8962,-989
Closure26,192,5,-187
Closure27,7,3,-4
Closure29,19249,18968,-281
Closure30,10485,11758,1273
Closure31,16089,16568,479
Closure32,8860,7508,-1352
Closure33,11855,11392,-463
Closure34,1578,1603,25
Closure35,5728,5691,-37
Closure36,18280,17315,-965
Closure37,16298,16628,330
Closure38,11123,11140,17
Closure39,33,789,756
Closure40,10332,11391,1059
Closure41,13069,12952,-117
Closure42,1,1852,1851
Closure43,7327,12326,4999
Closure44,11560,11138,-422
Closure45,10819,10809,-10
Closure46,8,817,809
Closure47,9,336,327
Closure48,11256,11706,450
Closure49,14314,14368,54
Closure50,7171,6829,-342
Closure51,10482,10526,44
Closure52,7175,5924,-1251
Closure53,7800,7967,167
Closure54,9647,9207,-440
Closure55,11883,11935,52
Closure56,3,5824,5821
Closure57,6111,4194,-1917
Closure58,1,5694,5693
Closure59,25287,25904,617
Closure60,442,9727,9285
Closure61,8014,9300,1286
Closure62,1,40,39
Closure63,1,40,39
Closure64,193,15912,15719
Closure65,3642,13,-3629
Closure66,12673,12718,45
Closure67,9446,9850,404
Closure68,1760,48,-1712
Closure69,11546,11783,237
Closure70,13451,13038,-413
Closure71,7037,8694,1657
Closure72,7036,7045,9
Closure73,9419,9280,-139
Closure74,47,8071,8024
Closure75,47,8,-39
Closure76,11,5796,5785
Closure77,252,188,-64
Closure78,1750,1,-1749
Closure79,9,6210,6201
Closure80,8,3361,3353
Closure81,2897,3041,144
Closure82,14819,14561,-258
Closure83,15009,14934,-75
Closure84,2531,2530,-1
Closure85,3011,3009,-2
Closure86,139,5505,5366
Closure87,8916,8924,8
Closure88,85,69,-16
Closure89,11366,11574,208
Closure90,55,6238,6183
Closure91,12175,11997,-178
Closure92,7,5866,5859
Closure93,7,5879,5872
Closure94,7321,863,-6458
Closure95,14416,14561,145
Closure96,7484,10100,2616
Closure97,38,1,-37
Closure98,11352,11500,148
Closure99,358,345,-13
Closure100,2,6873,6871
Closure101,20621,21984,1363
Closure102,21741,21975,234
Closure103,75,10288,10213
Closure104,42,939,897
Closure105,66,7,-59
Closure106,6,26,20
Closure107,23394,23500,106
Closure108,8962,12844,3882
Closure109,1,2804,2803
Closure110,4673,4586,-87
Closure111,4,2748,2744
Closure112,9472,10505,1033
Closure113,9,7843,7834
Closure114,15385,15351,-34
Closure115,10867,8,-10859
Closure116,14230,15601,1371
Closure117,9989,9975,-14
Closure118,155,6331,6176
Closure120,7076,10121,3045
Closure121,14610,14822,212
Closure122,7,1599,1592
Closure123,47,9114,9067
Closure124,5,8857,8852
Closure125,13198,13046,-152
Closure126,143,5,-138
Closure127,9934,9473,-461
Closure128,6458,6110,-348
Closure129,25251,25226,-25
Closure130,15750,16546,796
Closure131,10745,11860,1115
Closure132,7232,7561,329
Closure133,3824,4229,405
Lang1,1,1564,1563
Lang2,72,78,6
Lang3,2,1570,1568
Lang4,22,20,-2
Lang5,2,6,4
Lang6,2784,2781,-3
Lang7,2,1471,1469
Lang8,13,64,51
Lang9,676,648,-28
Lang10,469,486,17
Lang11,40,20,-20
Lang12,3,6,3
Lang13,2,5,3
Lang14,1,1289,1288
Lang15,1902,1910,8
Lang16,1737,1446,-291
Lang17,1151,1221,70
Lang18,247,223,-24
Lang19,1,20,19
Lang20,1,39,38
Lang21,2,2,0
Lang22,230,229,-1
Lang24,1,64,63
Lang26,246,245,-1
Lang27,127,1353,1226
Lang28,1,10,9
Lang30,1,208,207
Lang31,1,1585,1584
Lang32,2,1160,1158
Lang33,2,7,5
Lang34,632,627,-5
Lang35,1,2,1
Lang36,40,46,6
Lang37,1,767,766
Lang38,3,3,0
Lang39,10,47,37
Lang40,1,2,1
Lang41,112,121,9
Lang42,360,350,-10
Lang43,4,6,2
Lang44,14,12,-2
Lang45,3,10,7
Lang46,1,7,6
Lang47,587,134,-453
Lang48,212,212,0
Lang49,2,1,-1
Lang50,11,3,-8
Lang53,2,158,156
Lang54,2,8,6
Lang55,34,42,8
Lang57,2,6,4
Lang58,1284,937,-347
Lang59,1,96,95
Lang60,3,2,-1
Lang61,1,583,582
Lang62,50,71,21
Lang63,1,1,0
Lang64,1100,1093,-7
Lang65,3,158,155
Math1,1435,30,-1405
Math2,1773,1777,4
Math3,2,257,255
Math4,2068,2098,30
Math5,1,1,0
Math6,76,170,94
Math7,1457,1451,-6
Math8,1,4,3
Math9,1,1,0
Math10,515,479,-36
Math11,4334,4295,-39
Math13,5189,5559,370
Math14,4574,4603,29
Math15,2210,2364,154
Math16,174,1139,965
Math17,506,648,142
Math18,1582,1579,-3
Math19,1636,1669,33
Math20,3563,4161,598
Math21,7,1901,1894
Math22,1,1,0
Math23,1933,1880,-53
Math24,1978,1977,-1
Math25,458,455,-3
Math26,1892,1858,-34
Math27,1,22,21
Math28,12,3020,3008
Math29,1,6,5
Math30,17,433,416
Math31,599,587,-12
Math32,2,4,2
Math33,3008,2967,-41
Math34,1,46,45
Math35,111,110,-1
Math36,1,24,23
Math37,8,4,-4
Math38,2,5,3
Math39,2002,2042,40
Math40,1514,1514,0
Math41,1294,1265,-29
Math42,3003,3005,2
Math43,2097,2092,-5
Math44,1524,1739,215
Math45,1047,1067,20
Math46,1,3,2
Math47,7,3,-4
Math48,14,2589,2575
Math49,11,753,742
Math50,1,1,0
Math51,2202,2216,14
Math52,14,51,37
Math53,698,697,-1
Math54,5,1,-4
Math55,1404,1304,-100
Math56,4,20,16
Math57,2006,2017,11
Math58,1934,2083,149
Math59,1170,2,-1168
Math60,76,67,-9
Math61,17,1,-16
Math62,121,150,29
Math63,1,1,0
Math64,177,177,0
Math65,11,41,30
Math66,714,710,-4
Math67,86,8,-78
Math68,222,209,-13
Math69,1436,1422,-14
Math70,1,1,0
Math71,1,1,0
Math72,3,1,-2
Math73,148,1,-147
Math74,2068,2028,-40
Math75,1,1,0
Math76,1798,1798,0
Math77,4,19,15
Math78,239,366,127
Math79,3,343,340
Math80,6,14,8
Math81,3,2086,2083
Math82,1817,1804,-13
Math83,1622,1662,40
Math84,125,123,-2
Math85,262,282,20
Math86,423,406,-17
Math87,1642,1640,-2
Math88,1520,1590,70
Math89,1,1,0
Math90,45,54,9
Math91,1,1,0
Math92,2,6,4
Math93,2,7,5
Math94,203,204,1
Math95,134,145,11
Math96,106,107,1
Math97,100,99,-1
Math98,2,246,244
Math99,1,4,3
Math100,8,329,321
Math101,91,71,-20
Math102,1,3,2
Math103,191,191,0
Math105,45,68,23
Math106,50,50,0
Mockito1,1,2,1
