Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,18,4997,4979
Chart2,org.jfree.data.general.DatasetUtilities#755,91,1058,967
Chart2,org.jfree.data.general.DatasetUtilities#757,67,1060,993
Chart2,org.jfree.data.general.DatasetUtilities#758,1115,1066,-49
Chart2,org.jfree.data.general.DatasetUtilities#761,1116,1067,-49
Chart2,org.jfree.data.general.DatasetUtilities#1242,30,1010,980
Chart2,org.jfree.data.general.DatasetUtilities#1243,98,1011,913
Chart2,org.jfree.data.general.DatasetUtilities#1245,1108,1050,-58
Chart2,org.jfree.data.general.DatasetUtilities#1248,1109,1051,-58
Chart3,org.jfree.data.time.TimeSeries#1056,15,367,352
Chart3,org.jfree.data.time.TimeSeries#1057,8,368,360
Chart4,org.jfree.chart.plot.XYPlot#4493,70,22992,22922
Chart5,org.jfree.data.xy.XYSeries#548,6,137,131
Chart6,org.jfree.chart.util.ShapeList#111,94,650,556
Chart7,org.jfree.data.time.TimePeriodValues#300,70,435,365
Chart7,org.jfree.data.time.TimePeriodValues#302,97,436,339
Chart8,org.jfree.data.time.Week#175,8,116,108
Chart9,org.jfree.data.time.TimeSeries#944,57,411,354
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,142,139
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,30,2328,2298
Chart13,org.jfree.chart.block.BorderArrangement#454,112,47,-65
Chart14,org.jfree.chart.plot.XYPlot#2293,53,19,-34
Chart14,org.jfree.chart.plot.XYPlot#2529,56,26,-30
Chart14,org.jfree.chart.plot.CategoryPlot#2166,48,6,-42
Chart14,org.jfree.chart.plot.CategoryPlot#2448,82,13,-69
Chart15,org.jfree.chart.plot.PiePlot#1379,7448,6501,-947
Chart15,org.jfree.chart.plot.PiePlot#2051,6,5674,5668
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,5,2,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,7,4,-3
Chart17,org.jfree.data.time.TimeSeries#857,1,626,625
Chart18,org.jfree.data.DefaultKeyedValues#318,11,3,-8
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,3,10,7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,4,13,9
Chart18,org.jfree.data.DefaultKeyedValues2D#460,26,15,-11
Chart19,org.jfree.chart.plot.CategoryPlot#698,62,1,-61
Chart19,org.jfree.chart.plot.CategoryPlot#973,21,2,-19
Chart20,org.jfree.chart.plot.ValueMarker#95,20,448,428
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,27,544,517
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,49,545,496
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,79,546,467
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,57,547,490
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,87,548,461
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,83,549,466
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,48,550,502
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,68,551,483
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,64,552,488
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,80,553,473
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,22,319,297
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,8,3,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,9,4,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,14,5,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,77,554,477
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,60,555,495
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,55,556,501
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,72,557,485
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,18,243,225
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,350,244,-106
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,351,245,-106
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,352,246,-106
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,4,267,263
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,20,268,248
Chart22,org.jfree.data.KeyedObjects2D#231,6,131,125
Chart22,org.jfree.data.KeyedObjects2D#233,35,133,98
Chart22,org.jfree.data.KeyedObjects2D#378,1,12,11
Chart22,org.jfree.data.KeyedObjects2D#345,22,30,8
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2051,2640,589
