Project,MinRank1,MinRank2,Difference
Chart1,18,4997,4979
Chart2,30,1010,980
Chart3,8,367,359
Chart4,70,22992,22922
Chart5,6,137,131
Chart6,94,650,556
Chart7,70,435,365
Chart8,8,116,108
Chart9,57,411,354
Chart10,3,3,0
Chart11,3,142,139
Chart12,30,2328,2298
Chart13,112,47,-65
Chart14,48,6,-42
Chart15,6,5674,5668
Chart16,2,1,-1
Chart17,1,626,625
Chart18,1,3,2
Chart19,21,1,-20
Chart20,20,448,428
Chart21,4,3,-1
Chart22,1,12,11
Chart24,1,3,2
Chart25,334,2640,2306
Chart26,28,134,106
Closure1,1702,21998,20296
Closure2,106,5968,5862
Closure3,154,11851,11697
Closure4,11,11222,11211
Closure5,29,9551,9522
Closure6,12,1,-11
Closure7,148,2,-146
Closure8,53,8719,8666
Closure9,2,1,-1
Closure10,82,7124,7042
Closure11,335,14008,13673
Closure12,807,15178,14371
Closure13,5558,24214,18656
Closure14,12,6287,6275
Closure15,42,10348,10306
Closure16,228,11567,11339
Closure17,29,6665,6636
Closure18,2298,17361,15063
Closure19,43,1,-42
Closure20,73,2,-71
Closure21,14,51,37
Closure22,25,2,-23
Closure23,129,8,-121
Closure24,3,1,-2
Closure25,109,8962,8853
Closure26,359,5,-354
Closure27,7,3,-4
Closure29,269,18968,18699
Closure30,62,11758,11696
Closure31,1779,16568,14789
Closure32,218,7508,7290
Closure33,142,11392,11250
Closure34,361,1603,1242
Closure35,210,5691,5481
Closure36,410,17315,16905
Closure37,1884,16628,14744
Closure38,439,11140,10701
Closure39,38,789,751
Closure40,71,11391,11320
Closure41,392,12952,12560
Closure42,2,1852,1850
Closure43,25,12326,12301
Closure44,905,11138,10233
Closure45,160,10809,10649
Closure46,23,817,794
Closure47,11,336,325
Closure48,78,11706,11628
Closure49,1919,14368,12449
Closure50,118,6829,6711
Closure51,357,10526,10169
Closure52,45,5924,5879
Closure53,41,7967,7926
Closure54,444,9207,8763
Closure55,217,11935,11718
Closure56,3,5824,5821
Closure57,196,4194,3998
Closure58,1,5694,5693
Closure59,8588,25904,17316
Closure60,652,9727,9075
Closure61,137,9300,9163
Closure62,1,40,39
Closure63,1,40,39
Closure64,186,15912,15726
Closure65,246,13,-233
Closure66,1145,12718,11573
Closure67,137,9850,9713
Closure68,11,48,37
Closure69,325,11783,11458
Closure70,1036,13038,12002
Closure71,48,8694,8646
Closure72,259,7045,6786
Closure73,345,9280,8935
Closure74,19,8071,8052
Closure75,64,8,-56
Closure76,4,5796,5792
Closure77,244,188,-56
Closure78,247,1,-246
Closure79,11,6210,6199
Closure80,10,3361,3351
Closure81,146,3041,2895
Closure82,3902,14561,10659
Closure83,11,14934,14923
Closure84,177,2530,2353
Closure85,34,3009,2975
Closure86,212,5505,5293
Closure87,119,8924,8805
Closure88,387,69,-318
Closure89,160,11574,11414
Closure90,87,6238,6151
Closure91,504,11997,11493
Closure92,7,5866,5859
Closure93,7,5879,5872
Closure94,424,863,439
Closure95,2358,14561,12203
Closure96,32,10100,10068
Closure97,64,1,-63
Closure98,213,11500,11287
Closure99,52,345,293
Closure100,2,6873,6871
Closure101,21984,21984,0
Closure102,4476,21975,17499
Closure103,65,10288,10223
Closure104,60,939,879
Closure105,87,7,-80
Closure106,7,26,19
