Project,now,before,Difference
Chart1,4372,42,-4330
Chart2,93,92,-1
Chart3,7,3,-4
Chart4,50,311,261
Chart5,8,8,0
Chart6,644,650,6
Chart7,427,435,8
Chart8,7,1,-6
Chart9,14,14,0
Chart10,-1,53,-1
Chart11,3,5,2
Chart12,18,13,-5
Chart13,66,47,-19
Chart14,19,6,-13
Chart15,15,29,14
Chart16,1,1,0
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,452,448,-4
Chart21,3,3,0
Chart22,1,12,11
Chart24,1,3,2
Chart25,2474,2640,166
Chart26,5,134,129
Closure1,2586,1744,-842
Closure2,62,66,4
Closure3,322,279,-43
Closure4,17,9518,9501
Closure5,189,154,-35
Closure6,1,1,0
Closure7,2,2,0
Closure8,175,123,-52
Closure9,1,1,0
Closure10,153,215,62
Closure11,10994,14008,3014
Closure12,14506,15178,672
Closure13,24166,24214,48
Closure14,2,4,2
Closure15,208,185,-23
Closure16,191,205,14
Closure17,147,86,-61
Closure18,16827,17361,534
Closure19,1,1,0
Closure20,25,2,-23
Closure21,2,6,4
Closure22,2,4,2
Closure23,12,8,-4
Closure24,1,1,0
Closure25,9414,107,-9307
Closure26,10,5,-5
Closure27,2,3,1
Closure29,712,447,-265
Closure30,202,242,40
Closure31,15769,16568,799
Closure32,96,35,-61
Closure33,12877,10413,-2464
Closure34,1649,1644,-5
Closure35,34,6,-28
Closure36,1754,1062,-692
Closure37,16245,16628,383
Closure38,11116,11132,16
Closure39,28,21,-7
Closure40,131,120,-11
Closure41,13215,12951,-264
Closure42,1,1,0
Closure43,51,12296,12245
Closure44,11357,11138,-219
Closure45,10819,10793,-26
Closure46,1,1,0
Closure47,53,338,285
Closure48,131,11694,11563
Closure49,1804,13810,12006
Closure50,103,88,-15
Closure51,10393,10525,132
Closure52,186,116,-70
Closure53,50,47,-3
Closure54,221,55,-166
Closure55,277,9947,9670
Closure56,15,65,50
Closure57,87,25,-62
Closure58,2,7,5
Closure59,25675,25904,229
Closure60,106,21,-85
Closure61,182,146,-36
Closure62,1,4,3
Closure63,1,4,3
Closure64,258,1481,1223
Closure65,122,78,-44
Closure66,12519,12664,145
Closure67,117,9571,9454
Closure68,4,3,-1
Closure69,431,11744,11313
Closure70,13802,13035,-767
Closure71,356,227,-129
Closure72,7128,7121,-7
Closure73,9647,9137,-510
Closure74,43,123,80
Closure75,12,8,-4
Closure76,94,138,44
Closure77,393,370,-23
Closure78,2,1,-1
Closure79,17,51,34
Closure80,12,13,1
Closure81,2778,3026,248
Closure82,14804,14561,-243
Closure83,13294,12732,-562
Closure84,2553,2543,-10
Closure85,107,164,57
Closure86,5,2,-3
Closure87,8338,8724,386
Closure88,73,69,-4
Closure89,173,142,-31
Closure90,54,46,-8
Closure91,12152,11997,-155
Closure92,71,85,14
Closure93,71,85,14
Closure94,4,4,0
Closure95,14586,14561,-25
Closure96,49,10045,9996
Closure97,18,1,-17
Closure98,171,11498,11327
Closure99,24,16,-8
Closure100,1,7,6
Closure101,21470,21984,514
Closure102,21123,21975,852
Closure103,173,288,115
Closure104,35,13,-22
Closure105,37,7,-30
Closure106,7,105,98
Closure107,182,132,-50
Closure108,36,11732,11696
Closure109,2,33,31
Closure110,14,2,-12
Closure111,1,1,0
Closure112,107,110,3
Closure113,16,17,1
Closure114,15491,15347,-144
Closure115,8,8,0
Closure116,73,31,-42
Closure117,10159,10050,-109
Closure118,6,2,-4
Closure120,230,226,-4
Closure121,14124,14779,655
Closure122,12,9,-3
Closure123,65,139,74
Closure124,10,10,0
Closure125,13544,12959,-585
Closure126,55,5,-50
Closure127,253,210,-43
Closure128,167,102,-65
Closure129,25215,25226,11
Closure130,15481,16541,1060
Closure131,181,11546,11365
Closure132,83,80,-3
Closure133,3718,4229,511
Lang1,1,3,2
Lang2,3,3,0
Lang3,2,3,1
Lang4,18,17,-1
Lang5,1,1,0
Lang6,2775,2766,-9
Lang7,4,122,118
Lang8,8,6,-2
Lang9,665,648,-17
Lang10,417,480,63
Lang11,6,3,-3
Lang12,1,5,4
Lang13,2,5,3
Lang14,1,4,3
Lang15,190,217,27
Lang16,63,27,-36
Lang17,1147,1221,74
Lang18,57,41,-16
Lang19,1,8,7
Lang20,2,8,6
Lang21,2,2,0
Lang22,38,35,-3
Lang24,1,64,63
Lang26,9,245,236
Lang27,143,127,-16
Lang28,1,3,2
Lang30,1,8,7
Lang31,1,6,5
Lang32,2,26,24
Lang33,2,7,5
Lang34,186,475,289
Lang35,1,2,1
Lang36,57,42,-15
Lang37,1,6,5
Lang38,3,3,0
Lang39,11,27,16
Lang40,1,2,1
Lang41,5,6,1
