Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,20,42,22
Chart2,org.jfree.data.general.DatasetUtilities#755,119,102,-17
Chart2,org.jfree.data.general.DatasetUtilities#757,106,104,-2
Chart2,org.jfree.data.general.DatasetUtilities#758,1115,1077,-38
Chart2,org.jfree.data.general.DatasetUtilities#761,1116,1078,-38
Chart2,org.jfree.data.general.DatasetUtilities#1242,75,92,17
Chart2,org.jfree.data.general.DatasetUtilities#1243,122,93,-29
Chart2,org.jfree.data.general.DatasetUtilities#1245,1108,1070,-38
Chart2,org.jfree.data.general.DatasetUtilities#1248,1109,1071,-38
Chart3,org.jfree.data.time.TimeSeries#1056,16,3,-13
Chart3,org.jfree.data.time.TimeSeries#1057,8,4,-4
Chart4,org.jfree.chart.plot.XYPlot#4493,16,311,295
Chart5,org.jfree.data.xy.XYSeries#548,6,8,2
Chart6,org.jfree.chart.util.ShapeList#111,86,650,564
Chart7,org.jfree.data.time.TimePeriodValues#300,68,435,367
Chart7,org.jfree.data.time.TimePeriodValues#302,96,436,340
Chart8,org.jfree.data.time.Week#175,8,1,-7
Chart9,org.jfree.data.time.TimeSeries#944,63,14,-49
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,53,53,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,20,13,-7
Chart13,org.jfree.chart.block.BorderArrangement#454,96,47,-49
Chart14,org.jfree.chart.plot.XYPlot#2293,39,19,-20
Chart14,org.jfree.chart.plot.XYPlot#2529,44,26,-18
Chart14,org.jfree.chart.plot.CategoryPlot#2166,35,6,-29
Chart14,org.jfree.chart.plot.CategoryPlot#2448,60,13,-47
Chart15,org.jfree.chart.plot.PiePlot#1379,7448,6542,-906
Chart15,org.jfree.chart.plot.PiePlot#2051,4,29,25
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,3,2,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,8,5,-3
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,5,3,-2
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,10,6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,6,13,7
Chart18,org.jfree.data.DefaultKeyedValues2D#460,23,15,-8
Chart19,org.jfree.chart.plot.CategoryPlot#698,11,1,-10
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,16,448,432
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,26,544,518
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,49,545,496
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,80,546,466
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,57,547,490
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,89,548,459
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,85,549,464
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,48,550,502
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,69,551,482
