Project,MinRank1,MinRank2,Difference
Chart1,20,42,22
Chart2,75,92,17
Chart3,8,3,-5
Chart4,16,311,295
Chart5,6,8,2
Chart6,86,650,564
Chart7,68,435,367
Chart8,8,1,-7
Chart9,63,14,-49
Chart10,53,53,0
Chart11,3,5,2
Chart12,20,13,-7
Chart13,96,47,-49
Chart14,35,6,-29
Chart15,4,29,25
Chart16,1,1,0
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,16,448,432
Chart21,4,3,-1
Chart22,1,12,11
Chart24,1,3,2
Chart25,234,2640,2406
Chart26,5,134,129
Closure1,591,1744,1153
Closure2,132,66,-66
Closure3,182,279,97
Closure4,11,9518,9507
Closure5,76,154,78
Closure6,1,1,0
Closure7,21,2,-19
Closure8,98,123,25
Closure9,2,1,-1
Closure10,112,215,103
Closure11,138,14008,13870
Closure12,526,15178,14652
Closure13,5283,24214,18931
Closure14,2,4,2
Closure15,96,185,89
Closure16,288,205,-83
Closure17,39,86,47
Closure18,1557,17361,15804
Closure19,4,1,-3
Closure20,48,2,-46
Closure21,1,6,5
Closure22,6,4,-2
Closure23,66,8,-58
Closure24,1,1,0
Closure25,72,107,35
Closure26,16,5,-11
Closure27,4,3,-1
Closure29,209,447,238
Closure30,104,242,138
Closure31,1130,16568,15438
Closure32,247,35,-212
Closure33,272,10413,10141
Closure34,365,1644,1279
Closure35,233,6,-227
Closure36,561,1062,501
Closure37,1523,16628,15105
Closure38,373,11132,10759
Closure39,34,21,-13
Closure40,123,120,-3
Closure41,247,12951,12704
Closure42,3,1,-2
Closure43,20,12296,12276
Closure44,874,11138,10264
Closure45,129,10793,10664
Closure46,3,1,-2
Closure47,16,338,322
Closure48,79,11694,11615
Closure49,1244,13810,12566
Closure50,119,88,-31
Closure51,232,10525,10293
Closure52,68,116,48
Closure53,62,47,-15
Closure54,858,55,-803
Closure55,209,9947,9738
Closure56,4,65,61
Closure57,204,25,-179
Closure58,1,7,6
Closure59,8588,25904,17316
Closure60,241,21,-220
Closure61,188,146,-42
Closure62,1,4,3
Closure63,1,4,3
Closure64,217,1481,1264
Closure65,249,78,-171
Closure66,976,12664,11688
Closure67,83,9571,9488
Closure68,16,3,-13
Closure69,323,11744,11421
Closure70,635,13035,12400
Closure71,69,227,158
Closure72,283,7121,6838
Closure73,395,9137,8742
Closure74,15,123,108
Closure75,32,8,-24
Closure76,36,138,102
Closure77,248,370,122
Closure78,222,1,-221
Closure79,9,51,42
Closure80,6,13,7
Closure81,69,3026,2957
Closure82,3843,14561,10718
Closure83,11,12732,12721
Closure84,68,2543,2475
Closure85,41,164,123
Closure86,26,2,-24
Closure87,122,8724,8602
Closure88,133,69,-64
Closure89,174,142,-32
Closure90,110,46,-64
Closure91,488,11997,11509
Closure92,31,85,54
Closure93,31,85,54
Closure94,164,4,-160
Closure95,2335,14561,12226
Closure96,31,10045,10014
Closure97,24,1,-23
Closure98,120,11498,11378
Closure99,33,16,-17
Closure100,1,7,6
Closure101,21984,21984,0
Closure102,2773,21975,19202
Closure103,100,288,188
Closure104,54,13,-41
Closure105,49,7,-42
Closure106,6,105,99
Closure107,178,132,-46
Closure108,18,11732,11714
Closure109,1,33,32
Closure110,107,2,-105
Closure111,1,1,0
Closure112,112,110,-2
Closure113,21,17,-4
Closure114,112,15347,15235
Closure115,319,8,-311
Closure116,142,31,-111
Closure117,107,10050,9943
Closure118,215,2,-213
Closure120,42,226,184
Closure121,242,14779,14537
Closure122,11,9,-2
Closure123,55,139,84
Closure124,5,10,5
Closure125,208,12959,12751
Closure126,110,5,-105
Closure127,587,210,-377
Closure128,176,102,-74
Closure129,3198,25226,22028
Closure130,321,16541,16220
Closure131,96,11546,11450
Closure132,92,80,-12
Closure133,112,4229,4117
Lang1,1,3,2
Lang2,2,3,1
Lang3,2,3,1
Lang4,3,17,14
Lang5,1,1,0
Lang6,86,2766,2680
Lang7,4,122,118
Lang8,10,6,-4
Lang9,359,648,289
Lang10,106,480,374
Lang11,5,3,-2
Lang12,1,5,4
Lang13,2,5,3
Lang14,1,4,3
Lang15,74,217,143
Lang16,71,27,-44
Lang17,17,1221,1204
Lang18,52,41,-11
Lang19,1,8,7
Lang20,1,8,7
Lang21,2,2,0
Lang22,37,35,-2
Lang24,1,64,63
Lang26,7,245,238
Lang27,42,127,85
Lang28,1,3,2
Lang30,1,8,7
Lang31,1,6,5
Lang32,2,26,24
Lang33,2,7,5
Lang34,96,475,379
Lang35,1,2,1
Lang36,43,42,-1
Lang37,1,6,5
Lang38,3,3,0
Lang39,10,27,17
Lang40,1,2,1
Lang41,4,6,2
Lang42,23,13,-10
Lang43,5,6,1
Lang44,10,3,-7
Lang45,3,10,7
Lang46,1,1,0
Lang47,5,5,0
Lang48,2,167,165
Lang49,2,1,-1
Lang50,13,8,-5
Lang53,2,16,14
Lang54,1,3,2
Lang55,5,36,31
Lang57,2,48,46
Lang58,36,20,-16
Lang59,1,6,5
Lang60,3,2,-1
Lang61,1,21,20
Lang62,9,4,-5
Lang63,1,1,0
Lang64,7,4,-3
Lang65,2,7,5
Math1,14,8,-6
Math2,41,44,3
Math3,2,3,1
Math4,7,17,10
Math5,1,1,0
Math6,76,170,94
Math7,13,42,29
Math8,1,4,3
Math9,1,1,0
Math10,58,12,-46
Math11,71,31,-40
Math13,74,5357,5283
Math14,86,4595,4509
Math15,108,211,103
Math16,82,1,-81
Math17,26,591,565
Math18,32,14,-18
Math19,39,56,17
Math20,103,4057,3954
Math21,6,46,40
Math22,1,1,0
Math23,119,1982,1863
Math24,113,1982,1869
Math25,7,1,-6
