Project,now,before,Difference
Chart1,70,350,280
Chart2,106,108,2
Chart3,89,86,-3
Chart4,8,331,323
Chart5,21,44,23
Chart6,16,38,22
Chart7,68,80,12
Chart8,15,8,-7
Chart9,175,146,-29
Chart10,3,3,0
Chart11,3,5,2
Chart12,100,151,51
Chart13,246,147,-99
Chart14,334,329,-5
Chart15,52,399,347
Chart16,14,19,5
Chart17,27,63,36
Chart18,5,20,15
Chart19,481,487,6
Chart20,17,22,5
Chart21,2,106,104
Chart22,52,65,13
Chart24,3,10,7
Chart25,2599,2879,280
Chart26,30,172,142
Closure1,342,1426,1084
Closure2,2290,2237,-53
Closure3,390,1432,1042
Closure4,64,4379,4315
Closure5,385,1153,768
Closure6,3910,4377,467
Closure7,1467,1482,15
Closure8,770,526,-244
Closure9,6,10,4
Closure10,2817,2883,66
Closure11,1910,2770,860
Closure12,536,1797,1261
Closure13,2194,4076,1882
Closure14,43,440,397
Closure15,458,1356,898
Closure16,978,1131,153
Closure17,2529,3832,1303
Closure18,283,550,267
Closure19,2498,3558,1060
Closure20,2060,1350,-710
Closure21,2801,2852,51
Closure22,2816,2852,36
Closure23,2203,981,-1222
Closure24,296,1309,1013
Closure25,818,1594,776
Closure26,2199,2294,95
Closure27,164,43,-121
Closure29,3132,1122,-2010
Closure30,322,1209,887
Closure31,186,402,216
Closure32,702,718,16
Closure33,2775,5170,2395
Closure34,136,26,-110
Closure35,3108,2308,-800
Closure36,1408,3702,2294
Closure37,29,660,631
Closure38,638,107,-531
Closure39,803,989,186
Closure40,858,1012,154
Closure41,1997,2116,119
Closure42,132,165,33
Closure43,1868,3486,1618
Closure44,223,90,-133
Closure45,324,1763,1439
Closure46,140,690,550
Closure47,1986,2560,574
Closure48,2373,3583,1210
Closure49,85,673,588
Closure50,1426,1190,-236
Closure51,358,104,-254
Closure52,2012,2024,12
Closure53,1097,1016,-81
Closure54,92,1634,1542
Closure55,995,928,-67
Closure56,594,633,39
Closure57,1757,1730,-27
Closure58,33,775,742
Closure59,592,473,-119
Closure60,2440,2771,331
Closure61,1913,1918,5
Closure62,10,47,37
Closure63,10,47,37
Closure64,123,521,398
Closure65,2442,2378,-64
Closure66,2615,2746,131
Closure67,53,99,46
Closure68,295,145,-150
Closure69,2557,2907,350
Closure70,2402,3013,611
Closure71,2600,2552,-48
Closure72,1213,1086,-127
Closure73,1991,1964,-27
Closure74,130,927,797
Closure75,2375,2418,43
Closure76,143,961,818
Closure77,1943,1940,-3
Closure78,2439,1058,-1381
Closure79,1643,1805,162
Closure80,1611,1629,18
Closure81,111,123,12
Closure82,71,207,136
Closure83,112,96,-16
Closure84,40,107,67
Closure85,125,1066,941
Closure86,1968,1996,28
Closure87,884,1011,127
Closure88,1631,915,-716
Closure89,340,990,650
Closure90,2061,1922,-139
Closure91,1311,62,-1249
Closure92,44,955,911
Closure93,44,955,911
Closure94,1488,1467,-21
Closure95,728,1556,828
Closure96,2105,2670,565
Closure97,873,702,-171
Closure98,73,1282,1209
Closure99,1394,28,-1366
Closure100,1428,1435,7
Closure101,165,573,408
Closure102,148,2811,2663
Closure103,1834,1969,135
Closure104,658,886,228
Closure105,675,636,-39
Closure106,1906,2011,105
Closure107,1430,585,-845
Closure108,17,1442,1425
Closure109,105,162,57
Closure110,2418,2645,227
Closure111,463,1314,851
Closure112,1786,2379,593
Closure113,370,1207,837
Closure114,488,1176,688
Closure115,650,878,228
Closure116,318,383,65
Closure117,2170,3025,855
Closure118,2533,1470,-1063
Closure120,2337,2913,576
Closure121,736,968,232
Closure122,327,239,-88
Closure123,2066,2062,-4
Closure124,59,812,753
Closure125,2291,2672,381
Closure126,896,910,14
Closure127,2149,1286,-863
Closure128,1981,1958,-23
Closure129,580,1000,420
Closure130,380,462,82
Closure131,1620,2230,610
Closure132,1253,1152,-101
Closure133,530,617,87
Lang1,3,33,30
Lang2,3,4,1
Lang3,2,48,46
Lang4,4,3,-1
Lang5,1,6,5
Lang6,78,71,-7
Lang7,2,139,137
Lang8,220,262,42
Lang9,85,27,-58
Lang10,8,48,40
Lang11,7,6,-1
Lang12,1,4,3
Lang13,9,33,24
Lang14,1,5,4
Lang15,12,184,172
Lang16,76,47,-29
Lang17,5,56,51
Lang18,151,47,-104
Lang19,4,14,10
Lang20,20,28,8
Lang21,3,4,1
Lang22,25,22,-3
Lang24,1,159,158
Lang26,8,87,79
Lang27,26,151,125
Lang28,2,30,28
Lang30,23,30,7
Lang31,1,26,25
Lang32,1,24,23
Lang33,6,58,52
Lang34,23,118,95
Lang35,1,22,21
Lang36,44,42,-2
Lang37,1,25,24
Lang38,110,103,-7
Lang39,10,26,16
Lang40,1,4,3
Lang41,35,38,3
Lang42,25,7,-18
Lang43,17,27,10
Lang44,10,3,-7
Lang45,3,11,8
Lang46,1,3,2
Lang47,35,35,0
Lang48,9,10,1
Lang49,20,28,8
Lang50,142,137,-5
Lang53,1,16,15
Lang54,4,14,10
Lang55,1,14,13
Lang57,2,6,4
Lang58,54,41,-13
Lang59,3,12,9
Lang60,27,27,0
Lang61,6,27,21
Lang62,33,30,-3
Lang63,3,25,22
Lang64,30,40,10
Lang65,1,9,8
Math1,408,406,-2
Math2,49,44,-5
Math3,2,3,1
Math4,106,91,-15
Math5,3,14,11
Math6,75,23,-52
Math7,28,190,162
Math8,20,26,6
Math9,7,10,3
Math10,238,210,-28
Math11,189,40,-149
Math13,31,150,119
Math14,42,125,83
Math15,228,314,86
Math16,252,252,0
Math17,170,289,119
Math18,474,622,148
Math19,96,450,354
Math20,48,611,563
Math21,4,140,136
Math22,63,74,11
Math23,85,130,45
Math24,62,142,80
Math25,14,46,32
Math26,46,360,314
Math27,2,28,26
Math28,17,209,192
Math29,189,195,6
Math30,57,58,1
Math31,13,64,51
Math32,213,300,87
Math33,52,305,253
Math34,2,32,30
Math35,7,3,-4
Math36,355,356,1
Math37,246,246,0
Math38,12,143,131
Math39,125,201,76
Math40,18,70,52
Math41,71,81,10
Math42,146,319,173
Math43,51,35,-16
Math44,70,132,62
Math45,5,5,0
Math46,3,16,13
Math47,3,14,11
Math48,3,68,65
Math49,100,22,-78
Math50,16,66,50
Math51,1,67,66
Math52,107,30,-77
Math53,9,12,3
Math54,450,557,107
Math55,25,20,-5
Math56,25,337,312
Math57,4,46,42
Math58,103,429,326
Math59,507,921,414
Math60,97,25,-72
Math61,248,34,-214
Math62,121,128,7
Math63,1,3,2
Math64,12,98,86
Math65,5,178,173
Math66,6,28,22
Math67,127,32,-95
Math68,5,66,61
Math69,211,161,-50
Math70,4,13,9
Math71,277,401,124
Math72,12,19,7
Math73,73,23,-50
Math74,167,938,771
Math75,11,28,17
Math76,202,473,271
Math77,9,29,20
Math78,4,121,117
Math79,3,35,32
Math80,128,328,200
Math81,25,125,100
Math82,147,122,-25
Math83,1,217,216
Math84,80,83,3
Math85,18,33,15
Math86,26,17,-9
Math87,3,210,207
Math88,12,235,223
Math89,1,4,3
Math90,1,4,3
Math91,1,14,13
Math92,2,14,12
Math93,3,2,-1
Math94,1,1,0
Math95,43,32,-11
Math96,9,14,5
Math97,10,9,-1
Math98,6,27,21
Math99,24,24,0
Math100,71,33,-38
Math101,59,36,-23
Math102,3,55,52
Math103,22,45,23
Math105,5,25,20
Math106,57,58,1
Mockito1,3,154,151
Mockito2,4,3,-1
Mockito3,264,374,110
Mockito4,673,634,-39
Mockito5,4060,4060,0
Mockito6,857,856,-1
Mockito7,57,600,543
Mockito8,55,14,-41
Mockito9,1827,1827,0
Mockito10,48,407,359
Mockito11,3,177,174
Mockito12,2,5,3
Mockito13,55,67,12
Mockito14,54,78,24
Mockito15,120,175,55
Mockito16,12,8,-4
Mockito17,9,63,54
Mockito18,61,233,172
Mockito19,49,245,196
Mockito20,66,229,163
Mockito21,60,158,98
Mockito22,27,155,128
Mockito23,560,634,74
Mockito24,637,710,73
Mockito25,19,418,399
Mockito27,525,630,105
Mockito28,47,131,84
Mockito29,387,371,-16
Mockito30,19,14,-5
Mockito31,119,199,80
Mockito32,489,149,-340
Mockito33,56,271,215
Mockito34,37,259,222
Mockito35,424,423,-1
Mockito36,75,164,89
Mockito37,155,210,55
Mockito38,30,78,48
Time1,38,270,232
Time2,384,325,-59
Time3,1389,274,-1115
Time4,54,357,303
Time5,137,275,138
Time6,38,576,538
Time7,521,1512,991
Time8,90,67,-23
Time9,94,65,-29
Time10,460,299,-161
Time11,80,1251,1171
Time12,1580,1582,2
Time13,471,1090,619
Time14,81,704,623
Time15,2,2,0
Time16,817,1500,683
Time17,102,149,47
Time18,320,665,345
Time19,91,43,-48
Time20,1784,1774,-10
Time21,308,324,16
Time22,237,302,65
Time23,145,78,-67
Time24,543,1794,1251
Time25,189,205,16
Time26,392,439,47
Time27,65,1125,1060
