Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,70,350,280
Chart2,org.jfree.data.general.DatasetUtilities#755,137,108,-29
Chart2,org.jfree.data.general.DatasetUtilities#757,121,110,-11
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,101,124,23
Chart2,org.jfree.data.general.DatasetUtilities#1243,142,125,-17
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,125,86,-39
Chart3,org.jfree.data.time.TimeSeries#1057,89,87,-2
Chart4,org.jfree.chart.plot.XYPlot#4493,8,331,323
Chart5,org.jfree.data.xy.XYSeries#548,21,44,23
Chart6,org.jfree.chart.util.ShapeList#111,16,38,22
Chart7,org.jfree.data.time.TimePeriodValues#300,68,80,12
Chart7,org.jfree.data.time.TimePeriodValues#302,117,81,-36
Chart8,org.jfree.data.time.Week#175,15,8,-7
Chart9,org.jfree.data.time.TimeSeries#944,175,146,-29
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,100,151,51
Chart13,org.jfree.chart.block.BorderArrangement#454,246,147,-99
Chart14,org.jfree.chart.plot.XYPlot#2293,333,349,16
Chart14,org.jfree.chart.plot.XYPlot#2529,335,356,21
Chart14,org.jfree.chart.plot.CategoryPlot#2166,329,329,0
Chart14,org.jfree.chart.plot.CategoryPlot#2448,342,336,-6
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,52,399,347
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,14,19,5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,23,20,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,41,37,-4
Chart17,org.jfree.data.time.TimeSeries#857,27,63,36
Chart18,org.jfree.data.DefaultKeyedValues#318,6,20,14
Chart18,org.jfree.data.DefaultKeyedValues#335,1,26,25
Chart18,org.jfree.data.DefaultKeyedValues2D#455,18,55,37
Chart18,org.jfree.data.DefaultKeyedValues2D#458,21,58,37
Chart18,org.jfree.data.DefaultKeyedValues2D#460,54,60,6
Chart19,org.jfree.chart.plot.CategoryPlot#698,500,487,-13
Chart19,org.jfree.chart.plot.CategoryPlot#973,470,502,32
Chart20,org.jfree.chart.plot.ValueMarker#95,17,22,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,2,106,104
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,41,107,66
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,90,108,18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,53,109,56
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,104,110,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,95,111,16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,38,112,74
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,73,113,40
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,68,114,46
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,91,115,24
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,98,116,18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,57,117,60
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,58,118,60
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,82,119,37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,86,120,34
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,61,121,60
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,51,122,71
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,77,123,46
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,96,124,28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,35,129,94
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,107,130,23
Chart22,org.jfree.data.KeyedObjects2D#231,42,65,23
Chart22,org.jfree.data.KeyedObjects2D#233,57,67,10
Chart22,org.jfree.data.KeyedObjects2D#378,40,73,33
Chart22,org.jfree.data.KeyedObjects2D#345,94,113,19
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,3,10,7
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2691,2879,188
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1644,2898,1254
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,1666,2943,1277
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2683,2924,241
Chart26,org.jfree.chart.axis.Axis#1192,31,172,141
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,343,1426,1083
Closure2,com.google.javascript.jscomp.TypeCheck#1574,2253,2237,-16
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,390,1432,1042
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,2458,1488,-970
Closure4,com.google.javascript.rhino.jstype.NamedType#190,64,4379,4315
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,2785,1153,-1632
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,385,1154,769
Closure6,com.google.javascript.jscomp.TypeValidator#366,3737,4377,640
Closure6,com.google.javascript.jscomp.TypeValidator#367,1939,4378,2439
Closure6,com.google.javascript.jscomp.TypeValidator#405,5641,5108,-533
Closure6,com.google.javascript.jscomp.TypeValidator#406,5597,5109,-488
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,1401,1482,81
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,770,526,-244
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,6,10,4
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,34,11,-23
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,8,12,4
Closure10,com.google.javascript.jscomp.NodeUtil#1417,2742,2883,141
Closure11,com.google.javascript.jscomp.TypeCheck#1314,2145,2770,625
Closure11,com.google.javascript.jscomp.TypeCheck#1315,1352,2771,1419
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,536,1797,1261
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,2194,4076,1882
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,2570,4078,1508
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3759,4077,318
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,43,440,397
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,458,1356,898
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,3656,1358,-2298
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,3213,1359,-1854
Closure16,com.google.javascript.jscomp.ScopedAliases#174,3298,1131,-2167
Closure16,com.google.javascript.jscomp.ScopedAliases#180,1017,1134,117
Closure16,com.google.javascript.jscomp.ScopedAliases#468,979,1239,260
Closure16,com.google.javascript.jscomp.ScopedAliases#175,2894,1132,-1762
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,4155,3832,-323
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,2392,3833,1441
Closure18,com.google.javascript.jscomp.Compiler#1288,283,550,267
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,2402,3558,1156
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,2060,1350,-710
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,2974,2852,-122
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,2843,2857,14
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,3056,2858,-198
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,2755,2859,104
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,2980,2860,-120
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,2524,2861,337
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,2719,2862,143
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,2836,2863,27
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,3025,2864,-161
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,3134,2865,-269
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,2900,2866,-34
