Project,MinRank1,MinRank2,Difference
Chart1,70,350,280
Chart2,101,108,7
Chart3,89,86,-3
Chart4,8,331,323
Chart5,21,44,23
Chart6,16,38,22
Chart7,68,80,12
Chart8,15,8,-7
Chart9,175,146,-29
Chart10,3,3,0
Chart11,3,5,2
Chart12,100,151,51
Chart13,246,147,-99
Chart14,329,329,0
Chart15,52,399,347
Chart16,14,19,5
Chart17,27,63,36
Chart18,1,20,19
Chart19,470,487,17
Chart20,17,22,5
Chart21,2,106,104
Chart22,40,65,25
Chart24,3,10,7
Chart25,1644,2879,1235
Chart26,31,172,141
Closure1,343,1426,1083
Closure2,2253,2237,-16
Closure3,390,1432,1042
Closure4,64,4379,4315
Closure5,385,1153,768
Closure6,1939,4377,2438
Closure7,1401,1482,81
Closure8,770,526,-244
Closure9,6,10,4
Closure10,2742,2883,141
Closure11,1352,2770,1418
Closure12,536,1797,1261
Closure13,2194,4076,1882
Closure14,43,440,397
Closure15,458,1356,898
Closure16,979,1131,152
Closure17,2392,3832,1440
Closure18,283,550,267
Closure19,2402,3558,1156
Closure20,2060,1350,-710
Closure21,2524,2852,328
Closure22,2645,2852,207
Closure23,2203,981,-1222
Closure24,296,1309,1013
Closure25,818,1594,776
Closure26,815,2294,1479
Closure27,164,43,-121
Closure29,2340,1122,-1218
Closure30,322,1209,887
Closure31,186,402,216
Closure32,365,718,353
Closure33,2720,5170,2450
Closure34,546,26,-520
Closure35,3108,2308,-800
Closure36,1408,3702,2294
Closure37,29,660,631
Closure38,685,107,-578
Closure39,783,989,206
Closure40,858,1012,154
Closure41,1292,2116,824
Closure42,132,165,33
Closure43,1018,3486,2468
Closure44,224,90,-134
Closure45,324,1763,1439
Closure46,145,690,545
Closure47,1176,2560,1384
Closure48,2241,3583,1342
Closure49,96,673,577
Closure50,1427,1190,-237
Closure51,366,104,-262
Closure52,1887,2024,137
Closure53,1097,1016,-81
Closure54,92,1634,1542
Closure55,995,928,-67
Closure56,217,633,416
Closure57,1754,1730,-24
Closure58,33,775,742
Closure59,596,473,-123
Closure60,1737,2771,1034
Closure61,1650,1918,268
Closure62,5,47,42
Closure63,5,47,42
Closure64,123,521,398
Closure65,2437,2378,-59
Closure66,2586,2746,160
Closure67,53,99,46
Closure68,295,145,-150
Closure69,2488,2907,419
Closure70,2161,3013,852
Closure71,2520,2552,32
Closure72,1213,1086,-127
Closure73,1988,1964,-24
Closure74,130,927,797
Closure75,2307,2418,111
Closure76,143,961,818
Closure77,1933,1940,7
Closure78,2439,1058,-1381
Closure79,796,1805,1009
Closure80,1385,1629,244
Closure81,111,123,12
Closure82,104,207,103
Closure83,112,96,-16
Closure84,40,107,67
Closure85,125,1066,941
Closure86,1093,1996,903
Closure87,884,1011,127
Closure88,1662,915,-747
Closure89,340,990,650
Closure90,1919,1922,3
Closure91,1311,62,-1249
Closure92,44,955,911
Closure93,44,955,911
Closure94,1730,1467,-263
Closure95,728,1556,828
Closure96,1905,2670,765
Closure97,873,702,-171
Closure98,73,1282,1209
Closure99,917,28,-889
Closure100,618,1435,817
Closure101,165,573,408
Closure102,148,2811,2663
Closure103,1742,1969,227
Closure104,617,886,269
Closure105,675,636,-39
Closure106,1295,2011,716
Closure107,1430,585,-845
Closure108,17,1442,1425
Closure109,33,162,129
Closure110,2350,2645,295
Closure111,463,1314,851
Closure112,1786,2379,593
Closure113,370,1207,837
Closure114,488,1176,688
Closure115,665,878,213
Closure116,437,383,-54
Closure117,2087,3025,938
Closure118,2533,1470,-1063
Closure120,2206,2913,707
Closure121,736,968,232
Closure122,278,239,-39
Closure123,1965,2062,97
Closure124,59,812,753
Closure125,2224,2672,448
Closure126,896,910,14
Closure127,2272,1286,-986
Closure128,1955,1958,3
Closure129,589,1000,411
Closure130,380,462,82
Closure131,1332,2230,898
Closure132,1253,1152,-101
Closure133,417,617,200
Lang1,3,33,30
Lang2,3,4,1
Lang3,2,48,46
Lang4,4,3,-1
Lang5,1,6,5
Lang6,78,71,-7
Lang7,2,139,137
Lang8,203,262,59
Lang9,129,27,-102
Lang10,10,48,38
Lang11,7,6,-1
Lang12,1,4,3
Lang13,9,33,24
Lang14,1,5,4
Lang15,12,184,172
Lang16,76,47,-29
Lang17,5,56,51
Lang18,151,47,-104
Lang19,4,14,10
Lang20,15,28,13
Lang21,3,4,1
Lang22,25,22,-3
Lang24,1,159,158
Lang26,8,87,79
Lang27,26,151,125
Lang28,2,30,28
Lang30,2,30,28
Lang31,1,26,25
Lang32,1,24,23
Lang33,6,58,52
Lang34,27,118,91
Lang35,1,22,21
Lang36,46,42,-4
Lang37,1,25,24
Lang38,110,103,-7
Lang39,10,26,16
Lang40,1,4,3
Lang41,28,38,10
Lang42,25,7,-18
Lang43,17,27,10
Lang44,10,3,-7
Lang45,3,11,8
Lang46,1,3,2
Lang47,30,35,5
Lang48,9,10,1
Lang49,20,28,8
Lang50,136,137,1
Lang53,1,16,15
Lang54,4,14,10
Lang55,1,14,13
Lang57,2,6,4
Lang58,54,41,-13
Lang59,3,12,9
Lang60,27,27,0
Lang61,6,27,21
Lang62,33,30,-3
Lang63,3,25,22
Lang64,30,40,10
Lang65,1,9,8
Math1,390,406,16
Math2,49,44,-5
Math3,2,3,1
Math4,97,91,-6
Math5,3,14,11
Math6,165,23,-142
Math7,28,190,162
Math8,20,26,6
Math9,7,10,3
Math10,238,210,-28
Math11,189,40,-149
Math13,31,150,119
Math14,42,125,83
Math15,201,314,113
Math16,245,252,7
Math17,92,289,197
Math18,474,622,148
Math19,96,450,354
Math20,48,611,563
Math21,4,140,136
Math22,46,74,28
Math23,85,130,45
Math24,62,142,80
Math25,14,46,32
Math26,46,360,314
Math27,2,28,26
Math28,17,209,192
Math29,41,195,154
Math30,57,58,1
Math31,13,64,51
Math32,213,300,87
Math33,52,305,253
Math34,2,32,30
Math35,7,3,-4
Math36,233,356,123
Math37,172,246,74
Math38,12,143,131
Math39,125,201,76
Math40,18,70,52
Math41,71,81,10
Math42,146,319,173
Math43,51,35,-16
Math44,70,132,62
Math45,5,5,0
Math46,3,16,13
Math47,3,14,11
Math48,3,68,65
Math49,100,22,-78
Math50,16,66,50
Math51,1,67,66
Math52,107,30,-77
Math53,9,12,3
Math54,443,557,114
Math55,25,20,-5
Math56,25,337,312
Math57,4,46,42
Math58,103,429,326
Math59,507,921,414
Math60,97,25,-72
Math61,248,34,-214
Math62,121,128,7
Math63,1,3,2
Math64,12,98,86
Math65,5,178,173
Math66,6,28,22
Math67,127,32,-95
Math68,5,66,61
Math69,211,161,-50
Math70,4,13,9
Math71,116,401,285
Math72,12,19,7
Math73,73,23,-50
Math74,167,938,771
Math75,11,28,17
Math76,202,473,271
Math77,8,29,21
Math78,4,121,117
Math79,3,35,32
Math80,128,328,200
Math81,25,125,100
Math82,147,122,-25
Math83,1,217,216
Math84,46,83,37
Math85,18,33,15
Math86,26,17,-9
Math87,3,210,207
Math88,12,235,223
Math89,1,4,3
Math90,1,4,3
Math91,1,14,13
Math92,2,14,12
Math93,3,2,-1
Math94,1,1,0
Math95,43,32,-11
Math96,9,14,5
Math97,10,9,-1
Math98,6,27,21
Math99,16,24,8
Math100,71,33,-38
Math101,59,36,-23
Math102,3,55,52
Math103,22,45,23
Math105,5,25,20
Math106,57,58,1
Mockito1,3,154,151
Mockito2,26,3,-23
Mockito3,287,374,87
Mockito4,666,634,-32
Mockito5,4060,4060,0
Mockito6,853,856,3
Mockito7,57,600,543
Mockito8,55,14,-41
Mockito9,1827,1827,0
Mockito10,48,407,359
Mockito11,3,177,174
Mockito12,12,5,-7
Mockito13,55,67,12
Mockito14,54,78,24
Mockito15,120,175,55
Mockito16,12,8,-4
Mockito17,9,63,54
Mockito18,61,233,172
Mockito19,49,245,196
Mockito20,66,229,163
Mockito21,60,158,98
Mockito22,27,155,128
Mockito23,554,634,80
Mockito24,590,710,120
Mockito25,19,418,399
Mockito26,3018,-1,-1
Mockito27,515,630,115
Mockito28,47,131,84
Mockito29,387,371,-16
Mockito30,19,14,-5
Mockito31,119,199,80
Mockito32,489,149,-340
Mockito33,56,271,215
Mockito34,37,259,222
Mockito35,366,423,57
Mockito36,76,164,88
Mockito37,161,210,49
Mockito38,31,78,47
Time1,38,270,232
Time2,384,325,-59
Time3,1389,274,-1115
Time4,54,357,303
Time5,137,275,138
Time6,38,576,538
Time7,521,1512,991
Time8,90,67,-23
Time9,94,65,-29
Time10,460,299,-161
Time11,80,1251,1171
Time12,1520,1582,62
Time13,471,1090,619
Time14,81,704,623
Time15,2,2,0
Time16,818,1500,682
Time17,102,149,47
Time18,320,665,345
Time19,91,43,-48
Time20,1782,1774,-8
Time21,237,324,87
Time22,237,302,65
Time23,145,78,-67
Time24,543,1794,1251
Time25,32,205,173
Time26,228,439,211
Time27,65,1125,1060
