Project,now,before,Difference
Chart1,38,42,4
Chart2,90,92,2
Chart3,6,3,-3
Chart4,493,660,167
Chart5,8,8,0
Chart6,97,104,7
Chart7,71,81,10
Chart8,7,1,-6
Chart9,14,14,0
Chart10,3,3,0
Chart11,3,5,2
Chart12,17,13,-4
Chart13,72,47,-25
Chart14,17,6,-11
Chart15,4,29,25
Chart16,3,2,-1
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,6,5,-1
Chart21,2,3,1
Chart22,2,22,20
Chart24,1,3,2
Chart25,2,154,152
Chart26,21,666,645
Closure1,767,870,103
Closure2,31,37,6
Closure3,289,279,-10
Closure4,59,192,133
Closure5,119,154,35
Closure6,3,1,-2
Closure7,17,2,-15
Closure8,122,123,1
Closure9,1,1,0
Closure10,86,215,129
Closure11,819,1147,328
Closure12,1050,1081,31
Closure13,5649,5651,2
Closure14,6,5,-1
Closure15,176,185,9
Closure16,198,208,10
Closure17,11,76,65
Closure18,1945,2060,115
Closure19,7,1,-6
Closure20,46,2,-44
Closure21,6,3,-3
Closure22,8,1,-7
Closure23,35,8,-27
Closure24,1,1,0
Closure25,109,107,-2
Closure26,37,16,-21
Closure27,4,1,-3
Closure29,463,536,73
Closure30,236,242,6
Closure31,1529,1664,135
Closure32,114,43,-71
Closure33,497,510,13
Closure34,237,230,-7
Closure35,33,6,-27
Closure36,859,1062,203
Closure37,1105,1226,121
Closure38,342,345,3
Closure39,17,19,2
Closure40,113,120,7
Closure41,648,695,47
Closure42,1,1,0
Closure43,428,506,78
Closure44,720,778,58
Closure45,264,280,16
Closure46,4,13,9
Closure47,6,160,154
Closure48,376,389,13
Closure49,1707,1734,27
Closure50,103,94,-9
Closure51,315,326,11
Closure52,82,116,34
Closure53,46,47,1
Closure54,70,56,-14
Closure55,329,329,0
Closure56,2,65,63
Closure57,46,25,-21
Closure58,1,7,6
Closure59,6507,6782,275
Closure60,81,21,-60
Closure61,141,143,2
Closure62,1,4,3
Closure63,1,4,3
Closure64,874,1484,610
Closure65,17,1,-16
Closure66,2774,2743,-31
Closure67,258,308,50
Closure68,10,3,-7
Closure69,964,1006,42
Closure70,1537,2011,474
Closure71,153,250,97
Closure72,238,241,3
Closure73,312,305,-7
Closure74,130,178,48
Closure75,13,1,-12
Closure76,99,112,13
Closure77,306,306,0
Closure78,6,1,-5
Closure79,2,57,55
Closure80,4,10,6
Closure81,165,173,8
Closure82,947,1092,145
Closure83,10,10,0
Closure84,190,195,5
Closure85,161,172,11
Closure86,30,21,-9
Closure87,151,150,-1
Closure88,196,196,0
Closure89,154,154,0
Closure90,25,46,21
Closure91,386,284,-102
Closure92,4,85,81
Closure93,4,85,81
Closure94,32,5,-27
Closure95,1818,1764,-54
Closure96,229,246,17
Closure97,18,1,-17
Closure98,372,425,53
Closure99,18,16,-2
Closure100,1,6,5
Closure101,2644,2775,131
Closure102,4681,4752,71
Closure103,231,289,58
Closure104,33,13,-20
Closure105,41,7,-34
Closure106,5,24,19
Closure107,149,132,-17
Closure108,195,237,42
Closure109,1,33,32
Closure110,29,2,-27
Closure111,2,1,-1
Closure112,101,109,8
Closure113,8,17,9
Closure114,210,215,5
Closure115,10,8,-2
Closure116,41,42,1
Closure117,208,225,17
Closure118,53,2,-51
Closure120,125,239,114
Closure121,361,388,27
Closure122,4,9,5
Closure123,141,159,18
Closure124,4,10,6
Closure125,386,396,10
Closure126,70,5,-65
Closure127,302,277,-25
Closure128,107,102,-5
Closure129,3295,3293,-2
Closure130,507,545,38
Closure131,296,300,4
Closure132,76,80,4
Closure133,479,516,37
Lang1,1,3,2
Lang2,2,3,1
Lang3,1,3,2
Lang4,2,2,0
Lang5,1,1,0
Lang6,98,98,0
Lang7,3,122,119
Lang8,9,10,1
Lang9,177,153,-24
Lang10,79,77,-2
Lang11,6,3,-3
Lang12,3,5,2
Lang13,2,5,3
Lang14,1,4,3
Lang15,210,217,7
Lang16,59,27,-32
Lang17,107,102,-5
Lang18,51,41,-10
Lang19,6,8,2
Lang20,1,8,7
Lang21,2,2,0
Lang22,35,34,-1
Lang24,1,64,63
Lang26,7,7,0
Lang27,132,127,-5
Lang28,1,3,2
Lang30,2,10,8
Lang31,1,6,5
Lang32,3,26,23
Lang33,2,7,5
Lang34,134,145,11
Lang35,1,2,1
Lang36,30,94,64
Lang37,1,6,5
Lang38,3,3,0
Lang39,11,27,16
Lang40,1,2,1
Lang41,5,6,1
Lang42,13,13,0
Lang43,4,6,2
Lang44,10,3,-7
Lang45,3,10,7
Lang46,1,1,0
Lang47,5,5,0
Lang48,2,2,0
Lang49,2,1,-1
Lang50,6,2,-4
Lang53,8,16,8
Lang54,2,3,1
Lang55,6,7,1
Lang57,2,6,4
Lang58,30,20,-10
Lang59,1,6,5
Lang60,3,2,-1
Lang61,14,21,7
Lang62,6,4,-2
Lang63,1,1,0
Lang64,4,4,0
Lang65,6,7,1
Math1,11,6,-5
Math2,43,44,1
Math3,2,3,1
Math4,5,17,12
Math5,1,1,0
Math6,104,231,127
Math7,43,42,-1
Math8,1,4,3
Math9,1,1,0
Math10,25,12,-13
Math11,70,31,-39
Math13,74,159,85
Math14,93,99,6
