Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,20,42,22
Chart2,org.jfree.data.general.DatasetUtilities#755,105,102,-3
Chart2,org.jfree.data.general.DatasetUtilities#757,75,104,29
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,39,92,53
Chart2,org.jfree.data.general.DatasetUtilities#1243,115,93,-22
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,57,3,-54
Chart3,org.jfree.data.time.TimeSeries#1057,20,4,-16
Chart4,org.jfree.chart.plot.XYPlot#4493,20,660,640
Chart5,org.jfree.data.xy.XYSeries#548,7,8,1
Chart6,org.jfree.chart.util.ShapeList#111,75,104,29
Chart7,org.jfree.data.time.TimePeriodValues#300,70,81,11
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,9,1,-8
Chart9,org.jfree.data.time.TimeSeries#944,135,14,-121
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,29,13,-16
Chart13,org.jfree.chart.block.BorderArrangement#454,219,47,-172
Chart14,org.jfree.chart.plot.XYPlot#2293,60,19,-41
Chart14,org.jfree.chart.plot.XYPlot#2529,67,26,-41
Chart14,org.jfree.chart.plot.CategoryPlot#2166,47,6,-41
Chart14,org.jfree.chart.plot.CategoryPlot#2448,103,13,-90
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,13,29,16
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,13,4,-9
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,18,5,-13
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,2,-1
Chart17,org.jfree.data.time.TimeSeries#857,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,14,3,-11
Chart18,org.jfree.data.DefaultKeyedValues#335,1,8,7
Chart18,org.jfree.data.DefaultKeyedValues2D#455,3,11,8
Chart18,org.jfree.data.DefaultKeyedValues2D#458,4,14,10
Chart18,org.jfree.data.DefaultKeyedValues2D#460,30,16,-14
Chart19,org.jfree.chart.plot.CategoryPlot#698,134,1,-133
Chart19,org.jfree.chart.plot.CategoryPlot#973,39,2,-37
Chart20,org.jfree.chart.plot.ValueMarker#95,13,5,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,3,80,77
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,51,81,30
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,95,82,-13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,64,83,19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,104,84,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,100,85,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,46,86,40
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,82,87,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,76,88,12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,96,89,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,53,24,-29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,15,3,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,16,4,-12
