Project,MinRank1,MinRank2,Difference
Chart1,20,42,22
Chart2,39,92,53
Chart3,20,3,-17
Chart4,20,660,640
Chart5,7,8,1
Chart6,75,104,29
Chart7,70,81,11
Chart8,9,1,-8
Chart9,135,14,-121
Chart10,3,3,0
Chart11,3,5,2
Chart12,29,13,-16
Chart13,219,47,-172
Chart14,47,6,-41
Chart15,13,29,16
Chart16,3,2,-1
Chart17,3,2,-1
Chart18,1,3,2
Chart19,39,1,-38
Chart20,13,5,-8
Chart21,3,3,0
Chart22,2,22,20
Chart24,1,3,2
Chart25,9,154,145
Chart26,48,666,618
Closure1,236,870,634
Closure2,77,37,-40
Closure3,81,279,198
Closure4,8,192,184
Closure5,26,154,128
Closure6,9,1,-8
Closure7,117,2,-115
Closure8,55,123,68
Closure9,2,1,-1
Closure10,61,215,154
Closure11,201,1147,946
Closure12,425,1081,656
Closure13,4203,5651,1448
Closure14,12,5,-7
Closure15,37,185,148
Closure16,245,208,-37
Closure17,17,76,59
Closure18,864,2060,1196
Closure19,25,1,-24
Closure20,285,2,-283
Closure21,10,3,-7
Closure22,24,1,-23
Closure23,845,8,-837
Closure24,10,1,-9
Closure25,81,107,26
Closure26,224,16,-208
Closure27,7,1,-6
Closure29,120,536,416
Closure30,42,242,200
Closure31,664,1664,1000
Closure32,76,43,-33
Closure33,133,510,377
Closure34,661,230,-431
Closure35,472,6,-466
Closure36,491,1062,571
Closure37,319,1226,907
Closure38,443,345,-98
Closure39,36,19,-17
Closure40,93,120,27
Closure41,287,695,408
Closure42,3,1,-2
Closure43,14,506,492
Closure44,480,778,298
Closure45,77,280,203
Closure46,27,13,-14
Closure47,13,160,147
Closure48,74,389,315
Closure49,517,1734,1217
Closure50,213,94,-119
Closure51,212,326,114
Closure52,31,116,85
Closure53,73,47,-26
Closure54,615,56,-559
Closure55,218,329,111
Closure56,3,65,62
Closure57,193,25,-168
Closure58,2,7,5
Closure59,4830,6782,1952
Closure60,530,21,-509
Closure61,113,143,30
Closure62,1,4,3
Closure63,1,4,3
Closure64,185,1484,1299
Closure65,210,1,-209
Closure66,2638,2743,105
Closure67,25,308,283
Closure68,13,3,-10
Closure69,426,1006,580
Closure70,1042,2011,969
Closure71,34,250,216
Closure72,440,241,-199
Closure73,656,305,-351
Closure74,13,178,165
Closure75,45,1,-44
Closure76,4,112,108
Closure77,385,306,-79
Closure78,2124,1,-2123
Closure79,7,57,50
Closure80,3,10,7
Closure81,66,173,107
Closure82,676,1092,416
Closure83,34,10,-24
Closure84,59,195,136
Closure85,23,172,149
Closure86,205,21,-184
Closure87,175,150,-25
Closure88,396,196,-200
Closure89,113,154,41
Closure90,74,46,-28
Closure91,1070,284,-786
Closure92,10,85,75
Closure93,10,85,75
Closure94,450,5,-445
Closure95,1275,1764,489
Closure96,25,246,221
Closure97,65,1,-64
Closure98,45,425,380
Closure99,57,16,-41
Closure100,1,6,5
Closure101,527,2775,2248
Closure102,1408,4752,3344
Closure103,56,289,233
Closure104,62,13,-49
Closure105,91,7,-84
Closure106,7,24,17
Closure107,129,132,3
Closure108,6,237,231
Closure109,1,33,32
Closure110,283,2,-281
Closure111,13,1,-12
Closure112,101,109,8
Closure113,24,17,-7
Closure114,92,215,123
Closure115,236,8,-228
Closure116,115,42,-73
Closure117,33,225,192
Closure118,549,2,-547
Closure120,23,239,216
Closure121,253,388,135
Closure122,7,9,2
Closure123,34,159,125
Closure124,3,10,7
Closure125,113,396,283
Closure126,154,5,-149
Closure127,1204,277,-927
Closure128,114,102,-12
Closure129,2406,3293,887
Closure130,221,545,324
Closure131,55,300,245
Closure132,145,80,-65
Closure133,255,516,261
Lang1,3,3,0
Lang2,1,3,2
Lang3,2,3,1
Lang4,5,2,-3
Lang5,1,1,0
Lang6,81,98,17
Lang7,2,122,120
Lang8,46,10,-36
