Project,now,before,Difference
Chart1,1,1,0
Chart2,41,51,10
Chart3,1,2,1
Chart4,168,431,263
Chart5,8,9,1
Chart6,52,56,4
Chart7,42,29,-13
Chart8,4,5,1
Chart9,10,11,1
Chart10,1,1,0
Chart11,1,2,1
Chart12,14,16,2
Chart13,3,1,-2
Chart14,1,1,0
Chart15,1,7,6
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,6,6,0
Chart21,3,4,1
Chart22,1,1,0
Chart24,1,2,1
Chart25,1,3,2
Chart26,1,2,1
Closure1,8,29,21
Closure2,61,69,8
Closure3,15,41,26
Closure4,1,1,0
Closure5,2,1,-1
Closure6,1,1,0
Closure7,53,52,-1
Closure8,7,10,3
Closure9,1,1,0
Closure10,86,138,52
Closure11,4,3,-1
Closure12,100,162,62
Closure13,2663,2704,41
Closure14,1,2,1
Closure15,62,116,54
Closure16,196,185,-11
Closure17,1,1,0
Closure18,282,372,90
Closure19,51,77,26
Closure20,233,193,-40
Closure21,1,1,0
Closure22,1,1,0
Closure23,64,38,-26
Closure24,1,1,0
Closure25,22,3,-19
Closure26,115,82,-33
Closure27,4,4,0
Closure29,36,25,-11
Closure30,145,140,-5
Closure31,167,243,76
Closure32,2,1,-1
Closure33,19,54,35
Closure34,4,2,-2
Closure35,167,114,-53
Closure36,53,58,5
Closure37,483,551,68
Closure38,1,1,0
Closure39,2,1,-1
Closure40,3,2,-1
Closure41,316,499,183
Closure42,1,1,0
Closure43,11,223,212
Closure44,96,130,34
Closure45,24,18,-6
Closure46,1,1,0
Closure47,4,5,1
Closure48,1,1,0
Closure49,106,112,6
Closure50,6,5,-1
Closure51,1,1,0
Closure52,51,71,20
Closure53,16,11,-5
Closure54,75,46,-29
Closure55,20,32,12
Closure56,31,29,-2
Closure57,28,21,-7
Closure58,10,89,79
Closure59,1370,1482,112
Closure60,30,54,24
Closure61,74,86,12
Closure62,1,1,0
Closure63,1,1,0
Closure64,472,700,228
Closure65,6,2,-4
Closure66,3,2,-1
Closure67,2,13,11
Closure68,12,4,-8
Closure69,153,229,76
Closure70,1,1,0
Closure71,1,1,0
Closure72,202,200,-2
Closure73,1,1,0
Closure74,1,3,2
Closure75,48,78,30
Closure76,7,7,0
Closure77,16,12,-4
Closure78,59,11,-48
Closure79,42,86,44
Closure80,156,235,79
Closure81,2,4,2
Closure82,2682,2817,135
Closure83,1,1,0
Closure84,3,5,2
Closure85,2,10,8
Closure86,24,38,14
Closure87,60,53,-7
Closure88,6,2,-4
Closure89,4,9,5
Closure90,38,24,-14
Closure91,206,189,-17
Closure92,1,1,0
Closure93,2,3,1
Closure94,28,16,-12
Closure95,1084,984,-100
Closure96,7,24,17
Closure97,61,52,-9
Closure98,20,71,51
Closure99,5,3,-2
Closure100,1,10,9
Closure101,1378,1807,429
Closure102,3377,4169,792
Closure103,487,584,97
Closure104,2,4,2
Closure105,23,14,-9
Closure106,1,2,1
Closure107,3,4,1
Closure108,18,18,0
Closure109,4,59,55
Closure110,78,68,-10
Closure111,76,112,36
Closure112,164,158,-6
Closure113,3,6,3
Closure114,9,12,3
Closure115,3,2,-1
Closure116,141,113,-28
Closure117,1,5,4
Closure118,120,83,-37
Closure120,405,592,187
Closure121,37,22,-15
Closure122,1,1,0
Closure123,95,137,42
Closure124,33,62,29
Closure125,28,47,19
Closure126,2,1,-1
Closure127,21,17,-4
Closure128,4,1,-3
Closure129,941,933,-8
Closure130,38,52,14
Closure131,12,9,-3
Closure132,108,111,3
Closure133,72,77,5
Lang1,1,1,0
Lang2,13,18,5
Lang3,2,2,0
Lang4,2,2,0
Lang5,1,1,0
Lang6,22,17,-5
Lang7,10,10,0
Lang8,3,3,0
Lang9,42,34,-8
Lang10,37,38,1
Lang11,10,10,0
Lang12,2,2,0
Lang13,1,2,1
Lang14,2,3,1
Lang15,1,1,0
Lang16,28,23,-5
Lang17,13,13,0
Lang18,58,55,-3
Lang19,2,2,0
Lang20,1,1,0
Lang21,2,1,-1
Lang22,1,1,0
Lang24,1,49,48
Lang26,1,1,0
Lang27,1,1,0
Lang28,1,1,0
Lang30,6,14,8
Lang31,1,1,0
Lang32,3,6,3
Lang33,1,1,0
Lang34,1,1,0
Lang35,1,2,1
Lang36,30,33,3
Lang37,1,2,1
Lang38,3,2,-1
Lang39,4,4,0
Lang40,1,1,0
Lang41,8,8,0
Lang42,11,11,0
Lang43,8,6,-2
Lang44,11,12,1
Lang45,8,8,0
Lang46,1,1,0
Lang47,6,6,0
Lang48,1,1,0
Lang49,1,1,0
Lang50,24,24,0
Lang53,29,39,10
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,3,3,0
Lang59,3,5,2
Lang60,1,1,0
Lang61,30,34,4
Lang62,3,3,0
Lang63,1,1,0
Lang64,1,1,0
Lang65,6,10,4
Math1,3,3,0
Math2,13,16,3
Math3,4,7,3
Math4,10,12,2
Math5,3,3,0
Math6,32,94,62
Math7,1,2,1
Math8,1,2,1
Math9,2,4,2
Math10,15,14,-1
Math11,23,20,-3
Math13,72,90,18
Math14,35,43,8
Math15,5,11,6
Math16,2,3,1
Math17,16,81,65
Math18,46,37,-9
Math19,29,45,16
Math20,454,702,248
