Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,2,1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,114,102,-12
Chart2,org.jfree.data.general.DatasetUtilities#757,54,62,8
Chart2,org.jfree.data.general.DatasetUtilities#1242,21,51,30
Chart2,org.jfree.data.general.DatasetUtilities#1243,113,100,-13
Chart3,org.jfree.data.time.TimeSeries#1056,36,4,-32
Chart3,org.jfree.data.time.TimeSeries#1057,7,2,-5
Chart4,org.jfree.chart.plot.XYPlot#4493,6,431,425
Chart5,org.jfree.data.xy.XYSeries#548,6,9,3
Chart6,org.jfree.chart.util.ShapeList#111,36,56,20
Chart7,org.jfree.data.time.TimePeriodValues#300,45,50,5
Chart7,org.jfree.data.time.TimePeriodValues#302,93,29,-64
Chart8,org.jfree.data.time.Week#175,5,5,0
Chart9,org.jfree.data.time.TimeSeries#944,33,11,-22
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,2,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,11,16,5
Chart13,org.jfree.chart.block.BorderArrangement#454,51,1,-50
Chart14,org.jfree.chart.plot.XYPlot#2293,11,2,-9
Chart14,org.jfree.chart.plot.XYPlot#2529,12,4,-8
Chart14,org.jfree.chart.plot.CategoryPlot#2166,9,1,-8
Chart14,org.jfree.chart.plot.CategoryPlot#2448,14,3,-11
Chart15,org.jfree.chart.plot.PiePlot#2051,2,7,5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,9,9,0
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,2,1,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,5,52,47
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,11,7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,5,4
Chart18,org.jfree.data.DefaultKeyedValues2D#460,37,16,-21
Chart19,org.jfree.chart.plot.CategoryPlot#698,41,6,-35
Chart19,org.jfree.chart.plot.CategoryPlot#973,4,1,-3
Chart20,org.jfree.chart.plot.ValueMarker#95,5,6,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,30,79,49
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,28,35,7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,54,38,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,71,80,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,55,34,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,64,50,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,27,36,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,50,49,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,81,84,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,90,93,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,29,12,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,9,4,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,10,5,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,17,9,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,45,28,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,47,48,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,31,30,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,44,32,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,23,6,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,4,7,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,35,18,-17
Chart22,org.jfree.data.KeyedObjects2D#231,12,75,63
Chart22,org.jfree.data.KeyedObjects2D#233,50,55,5
Chart22,org.jfree.data.KeyedObjects2D#378,1,1,0
Chart22,org.jfree.data.KeyedObjects2D#345,43,43,0
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,2,1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,209,159,-50
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2,94,92
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1441,1704,263
Chart26,org.jfree.chart.axis.Axis#1192,3,2,-1
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,27,29,2
Closure2,com.google.javascript.jscomp.TypeCheck#1574,112,69,-43
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,10,41,31
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,150,43,-107
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,339,1,-338
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,7,4,-3
Closure6,com.google.javascript.jscomp.TypeValidator#366,33,1,-32
Closure6,com.google.javascript.jscomp.TypeValidator#367,8,87,79
Closure6,com.google.javascript.jscomp.TypeValidator#405,1609,4,-1605
Closure6,com.google.javascript.jscomp.TypeValidator#406,1445,93,-1352
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,77,52,-25
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,12,10,-2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,2,3,1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,28,1,-27
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,4,10,6
Closure10,com.google.javascript.jscomp.NodeUtil#1417,62,138,76
Closure11,com.google.javascript.jscomp.TypeCheck#1314,33,3,-30
Closure11,com.google.javascript.jscomp.TypeCheck#1315,241,1206,965
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,55,162,107
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,1693,2881,1188
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,5146,5990,844
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2380,2704,324
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,1,2,1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,34,116,82
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,864,122,-742
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,592,142,-450
Closure16,com.google.javascript.jscomp.ScopedAliases#174,1668,397,-1271
Closure16,com.google.javascript.jscomp.ScopedAliases#180,234,227,-7
Closure16,com.google.javascript.jscomp.ScopedAliases#468,207,185,-22
Closure16,com.google.javascript.jscomp.ScopedAliases#175,1321,352,-969
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,196,1,-195
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,3,2,-1
Closure18,com.google.javascript.jscomp.Compiler#1288,120,372,252
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,48,77,29
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,422,193,-229
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,250,291,41
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,120,260,140
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,286,168,-118
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,169,642,473
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,23,4,-19
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,1,2,1
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,28,140,112
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,8,1,-7
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,40,3,-37
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,321,54,-267
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,125,138,13
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,803,743,-60
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,659,30,-629
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,49,204,155
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,98,12,-86
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,116,72,-44
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,8,2,-6
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,1,1,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,24,26,2
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,18,3,-15
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,161,287,126
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,157,4,-153
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,563,568,5
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,447,174,-273
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,262,154,-108
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,112,86,-26
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,52,69,17
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,588,38,-550
Closure24,com.google.javascript.jscomp.ScopedAliases#278,7,1,-6
Closure24,com.google.javascript.jscomp.ScopedAliases#279,86,6,-80
Closure24,com.google.javascript.jscomp.ScopedAliases#293,6,3,-3
Closure25,com.google.javascript.jscomp.TypeInference#1038,61,56,-5
Closure25,com.google.javascript.jscomp.TypeInference#1054,813,184,-629
Closure25,com.google.javascript.jscomp.TypeInference#1059,343,51,-292
Closure25,com.google.javascript.jscomp.TypeInference#1060,645,3,-642
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#127,217,756,539
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#208,440,82,-358
Closure27,com.google.javascript.rhino.IR#224,4,13,9
Closure27,com.google.javascript.rhino.IR#233,3,4,1
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#157,1295,25,-1270
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#217,162,833,671
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#396,494,521,27
