Project,MinRank1,MinRank2,Difference
Chart1,2,1,-1
Chart2,21,51,30
Chart3,7,2,-5
Chart4,6,431,425
Chart5,6,9,3
Chart6,36,56,20
Chart7,45,29,-16
Chart8,5,5,0
Chart9,33,11,-22
Chart10,2,1,-1
Chart11,1,2,1
Chart12,11,16,5
Chart13,51,1,-50
Chart14,9,1,-8
Chart15,2,7,5
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,4,1,-3
Chart20,5,6,1
Chart21,4,4,0
Chart22,1,1,0
Chart24,1,2,1
Chart25,1,3,2
Chart26,3,2,-1
Closure1,27,29,2
Closure2,112,69,-43
Closure3,10,41,31
Closure4,1,1,0
Closure5,7,1,-6
Closure6,8,1,-7
Closure7,77,52,-25
Closure8,12,10,-2
Closure9,2,1,-1
Closure10,62,138,76
Closure11,33,3,-30
Closure12,55,162,107
Closure13,1693,2704,1011
Closure14,1,2,1
Closure15,34,116,82
Closure16,207,185,-22
Closure17,3,1,-2
Closure18,120,372,252
Closure19,48,77,29
Closure20,422,193,-229
Closure21,1,1,0
Closure22,1,1,0
Closure23,588,38,-550
Closure24,6,1,-5
Closure25,61,3,-58
Closure26,217,82,-135
Closure27,3,4,1
Closure29,162,25,-137
Closure30,168,140,-28
Closure31,55,243,188
Closure32,43,1,-42
Closure33,28,54,26
Closure34,22,2,-20
Closure35,794,114,-680
Closure36,42,58,16
Closure37,117,551,434
Closure38,25,1,-24
Closure39,17,1,-16
Closure40,25,2,-23
Closure41,104,499,395
Closure42,12,1,-11
Closure43,6,223,217
Closure44,41,130,89
Closure45,38,18,-20
Closure46,4,1,-3
Closure47,6,5,-1
Closure48,3,1,-2
Closure49,192,112,-80
Closure50,66,5,-61
Closure51,4,1,-3
Closure52,20,71,51
Closure53,76,11,-65
Closure54,349,46,-303
Closure55,31,32,1
Closure56,7,29,22
Closure57,119,21,-98
Closure58,5,89,84
Closure59,790,1482,692
Closure60,107,54,-53
Closure61,106,86,-20
Closure62,1,1,0
Closure63,1,1,0
Closure64,161,700,539
Closure65,62,2,-60
Closure66,34,2,-32
Closure67,1,13,12
Closure68,39,4,-35
Closure69,84,229,145
Closure70,10,1,-9
Closure71,3,1,-2
Closure72,209,200,-9
Closure73,46,1,-45
Closure74,2,3,1
Closure75,33,78,45
Closure76,12,7,-5
Closure77,51,12,-39
Closure78,1266,11,-1255
Closure79,5,86,81
Closure80,28,235,207
Closure81,7,4,-3
Closure82,1593,2817,1224
Closure83,1,1,0
Closure84,4,5,1
Closure85,2,10,8
Closure86,33,38,5
Closure87,96,53,-43
Closure88,125,2,-123
Closure89,6,9,3
Closure90,69,24,-45
Closure91,403,189,-214
Closure92,1,1,0
Closure93,1,3,2
Closure94,154,16,-138
