fl_method,p_value,stat,A,effect_size,effect_direction,p_value_corrected,significant_holm
dstar2,1.0,12852.5,0.3093994778067885,NO POSITIVE EFFECT,fused >= baseline,1.0,False
jaccard,0.9999999999999999,13637.0,0.3198433420365535,NO POSITIVE EFFECT,fused >= baseline,1.0,False
LLMAO_window,0.9414497848284133,782.0,0.45,NO POSITIVE EFFECT,fused >= baseline,1.0,False
MTL_transfer,0.999944617738504,16168.0,0.39425587467362927,NO POSITIVE EFFECT,fused >= baseline,1.0,False
ochiai,0.9999999999495165,16100.5,0.3537859007832898,NO POSITIVE EFFECT,fused >= baseline,1.0,False
opt2,0.999999999563723,19227.0,0.3394255874673629,NO POSITIVE EFFECT,fused >= baseline,1.0,False
tarantula,0.9999999846302763,19580.0,0.3524804177545692,NO POSITIVE EFFECT,fused >= baseline,1.0,False
transfer,0.9999698614304572,15141.0,0.3877284595300261,NO POSITIVE EFFECT,fused >= baseline,1.0,False
russell_rao,0.9027006546154471,32525.5,0.4830287206266319,NO POSITIVE EFFECT,fused >= baseline,1.0,False
CodeHealer,0.9999998161011441,13838.5,0.37467362924281983,NO POSITIVE EFFECT,fused >= baseline,1.0,False
XAI4FL,4.544063143643631e-11,33113.5,0.5651041666666666,SMALL,baseline > fused,4.998469458007994e-10,True
