fl_method,p_value,stat,A,effect_size,effect_direction,p_value_corrected,significant_holm
dstar2,0.8732935232864238,23940.5,0.5143603133159269,NEGLIGIBLE,baseline > fused,1.0,False
jaccard,0.5292217148535436,24609.5,0.5339425587467362,NEGLIGIBLE,baseline > fused,1.0,False
LLMAO_window,6.892116052250582e-05,2191.0,0.6076923076923076,SMALL,baseline > fused,0.00048244812365754076,True
MTL_transfer,0.07013737861387391,24790.0,0.489556135770235,NO POSITIVE EFFECT,fused >= baseline,0.35068689306936957,False
ochiai,0.003249018407922316,28223.0,0.5744125326370757,SMALL,baseline > fused,0.019494110447533894,True
opt2,5.897515336663242e-05,37182.0,0.5809399477806788,SMALL,baseline > fused,0.00047180122693305936,True
tarantula,1.9995208794818934e-07,37338.0,0.6331592689295039,SMALL,baseline > fused,1.799568791533704e-06,True
transfer,0.07133269152133559,24777.0,0.49477806788511747,NO POSITIVE EFFECT,fused >= baseline,0.35068689306936957,False
russell_rao,2.337748548679952e-24,56772.0,0.7819843342036553,LARGE,baseline > fused,2.337748548679952e-23,True
CodeHealer,0.10478812675290006,23043.5,0.5013054830287206,NEGLIGIBLE,baseline > fused,0.35068689306936957,False
XAI4FL,4.030765554079017e-26,39054.0,0.7018229166666666,MEDIUM,baseline > fused,4.433842109486919e-25,True
