fl_method,p_value,stat,A,effect_size,effect_direction,p_value_corrected,significant_holm
dstar2,0.040989124203714554,28213.5,0.5365535248041775,NEGLIGIBLE,baseline > fused,0.040989124203714554,True
jaccard,0.00016460613054482335,30506.5,0.5704960835509139,SMALL,baseline > fused,0.0003292122610896467,True
LLMAO_window,4.5877475808608776e-05,2159.5,0.5884615384615385,SMALL,baseline > fused,0.00013763242742582634,True
MTL_transfer,5.101814398650131e-11,31494.5,0.6044386422976501,SMALL,baseline > fused,3.0610886391900786e-10,True
ochiai,1.8826779487923286e-13,35990.0,0.6383812010443864,SMALL,baseline > fused,1.6944101539130958e-12,True
opt2,5.480040757624642e-13,41665.0,0.6553524804177546,MEDIUM,baseline > fused,4.384032606099714e-12,True
tarantula,9.111360229777119e-16,42940.0,0.664490861618799,MEDIUM,baseline > fused,9.111360229777118e-15,True
transfer,2.917996819206934e-11,33011.0,0.618798955613577,SMALL,baseline > fused,2.0425977734448536e-10,True
russell_rao,5.005337210867214e-35,61360.0,0.8211488250652742,LARGE,baseline > fused,5.505870931953936e-34,True
CodeHealer,1.1730555668678595e-09,30384.5,0.5757180156657964,SMALL,baseline > fused,4.692222267471438e-09,True
XAI4FL,4.0079328855800865e-10,14531.0,0.6067708333333334,SMALL,baseline > fused,2.0039664427900433e-09,True
