fl_method,p_value,stat,A,effect_size,effect_direction,p_value_corrected,significant_holm
dstar2,0.8004933291161151,24130.0,0.47780678851174935,NO POSITIVE EFFECT,fused >= baseline,0.8004933291161151,False
jaccard,0.15561372787935862,26522.5,0.5169712793733682,NEGLIGIBLE,baseline > fused,0.31122745575871724,False
LLMAO_window,0.00044017283376615867,2413.5,0.5615384615384615,SMALL,baseline > fused,0.001320518501298476,True
MTL_transfer,5.6454148940381735e-06,25961.5,0.5678851174934726,SMALL,baseline > fused,3.387248936422904e-05,True
ochiai,0.00014963733544785902,30361.5,0.5613577023498695,SMALL,baseline > fused,0.0005985493417914361,True
opt2,1.651856439214113e-07,38878.0,0.6031331592689295,SMALL,baseline > fused,1.4866707952927017e-06,True
tarantula,8.283396077033581e-09,38576.5,0.6135770234986945,SMALL,baseline > fused,8.283396077033581e-08,True
transfer,3.029946843289388e-07,27677.5,0.5900783289817232,SMALL,baseline > fused,2.4239574746315106e-06,True
russell_rao,1.4437229649516936e-20,53830.0,0.7271540469973891,LARGE,baseline > fused,1.588095261446863e-19,True
CodeHealer,1.6955762389743476e-06,25963.5,0.5704960835509139,SMALL,baseline > fused,1.1869033672820433e-05,True
XAI4FL,2.4541005975078015e-05,12752.5,0.5690104166666666,SMALL,baseline > fused,0.00012270502987539008,True
