Project,MinRank1,MinRank2,Difference
Chart1,26,42,16
Chart2,60,51,-9
Chart3,17,12,-5
Chart4,95,241,146
Chart5,2,8,6
Chart6,10,29,19
Chart7,20,86,66
Chart8,6,15,9
Chart9,19,10,-9
Chart10,1,1,0
Chart11,2,5,3
Chart12,186,97,-89
Chart13,106,21,-85
Chart14,205,8,-197
Chart15,28,16,-12
Chart16,12,5,-7
Chart17,5,5,0
Chart18,1,5,4
Chart19,71,1,-70
Chart20,8,11,3
Chart21,14,1,-13
Chart22,1,5,4
Chart24,2,4,2
Chart25,95,3,-92
Chart26,170,669,499
Closure1,333,123,-210
Closure2,357,10,-347
Closure3,404,1504,1100
Closure4,607,4943,4336
Closure5,714,58,-656
Closure6,2901,6,-2895
Closure7,230,12,-218
Closure8,427,2441,2014
Closure9,3,1,-2
Closure10,58,1685,1627
Closure11,1,1827,1826
Closure12,1,1888,1887
Closure13,1847,5541,3694
Closure14,246,38,-208
Closure15,1345,61,-1284
Closure16,420,169,-251
Closure17,1712,10,-1702
Closure18,127,1920,1793
Closure19,178,6,-172
Closure20,561,2245,1684
Closure21,207,7,-200
Closure22,127,1,-126
Closure23,583,67,-516
Closure24,222,3,-219
Closure25,336,2694,2358
Closure26,3821,24,-3797
Closure27,7,1,-6
Closure29,892,2938,2046
Closure30,263,1695,1432
Closure31,113,713,600
Closure32,576,50,-526
Closure33,411,2317,1906
Closure34,59,28,-31
Closure35,646,26,-620
Closure36,819,5948,5129
Closure37,73,716,643
Closure38,176,147,-29
Closure39,76,4,-72
Closure40,1198,3814,2616
Closure41,1605,4104,2499
Closure42,322,11,-311
Closure43,496,2729,2233
Closure44,205,884,679
Closure45,549,1681,1132
Closure46,374,2,-372
Closure47,1939,243,-1696
Closure48,1260,178,-1082
Closure49,6,99,93
Closure50,164,64,-100
Closure51,40,17,-23
Closure52,102,7,-95
Closure53,508,3126,2618
Closure54,244,71,-173
Closure55,475,1195,720
Closure56,4,1,-3
Closure57,178,4,-174
Closure58,348,14,-334
Closure59,1237,3588,2351
Closure60,799,2,-797
Closure61,138,1118,980
Closure62,2,1,-1
Closure63,3,1,-2
Closure64,359,1345,986
Closure65,473,1,-472
Closure66,419,2785,2366
Closure67,250,2399,2149
Closure68,425,7,-418
Closure69,902,189,-713
Closure70,678,597,-81
Closure71,956,3280,2324
Closure72,441,1608,1167
Closure73,209,9,-200
Closure74,1266,37,-1229
Closure75,597,1,-596
Closure76,327,48,-279
Closure77,655,36,-619
Closure78,2259,3,-2256
