Project,MinRank1,MinRank2,Difference
Chart1,10,42,32
Chart2,68,92,24
Chart3,2,3,1
Chart4,20,165,145
Chart5,2,8,6
Chart6,29,57,28
Chart7,21,81,60
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,27,13,-14
Chart13,45,47,2
Chart14,74,15,-59
Chart15,9,29,20
Chart16,15,1,-14
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,6,5,-1
Chart21,7,3,-4
Chart22,1,51,50
Chart24,2,3,1
Chart25,950,2745,1795
Chart26,16,134,118
Closure1,67,122,55
Closure2,29,96,67
Closure3,223,279,56
Closure4,58,168,110
Closure5,116,154,38
Closure6,20,1,-19
Closure7,1,2,1
Closure8,77,123,46
Closure9,1,1,0
Closure10,66,264,198
Closure11,91,2712,2621
Closure12,176,1081,905
Closure13,3422,5651,2229
Closure14,1,1,0
Closure15,115,185,70
Closure16,22,93,71
Closure17,78,114,36
Closure18,330,1805,1475
Closure19,2,9,7
Closure20,10,2,-8
Closure21,4,15,11
Closure22,4,14,10
Closure23,4,8,4
Closure24,1,1,0
Closure25,87,107,20
Closure26,43,11,-32
Closure27,3,3,0
Closure29,194,357,163
Closure30,83,220,137
Closure31,392,1492,1100
Closure32,23,30,7
Closure33,221,573,352
Closure34,247,199,-48
Closure35,35,6,-29
Closure36,362,1062,700
Closure37,333,967,634
Closure38,174,284,110
Closure39,17,73,56
Closure40,74,120,46
Closure41,1585,902,-683
Closure42,1,1,0
Closure43,223,465,242
Closure44,404,571,167
Closure45,234,280,46
Closure46,4,1,-3
Closure47,281,274,-7
Closure48,946,2192,1246
Closure49,217,1090,873
Closure50,34,76,42
Closure51,113,274,161
Closure52,60,138,78
Closure53,39,47,8
Closure54,23,31,8
Closure55,140,329,189
Closure56,6,50,44
Closure57,19,50,31
Closure58,4,7,3
Closure59,2690,5974,3284
Closure60,13,26,13
Closure61,45,115,70
Closure62,1,4,3
Closure63,1,4,3
Closure64,544,1556,1012
Closure65,383,283,-100
Closure66,1711,2784,1073
Closure67,141,223,82
Closure68,4,3,-1
Closure69,1067,2398,1331
Closure70,1175,2674,1499
Closure71,329,390,61
Closure72,219,241,22
Closure73,447,1355,908
Closure74,121,38,-83
Closure75,11,9,-2
Closure76,70,114,44
Closure77,1095,1329,234
Closure78,376,1,-375
Closure79,7,45,38
Closure80,2,58,56
Closure81,73,137,64
Closure82,264,599,335
Closure83,24,10,-14
Closure84,100,172,72
Closure85,32,162,130
Closure86,1,1,0
Closure87,57,150,93
Closure88,39,69,30
Closure89,122,159,37
Closure90,12,46,34
Closure91,665,284,-381
Closure92,57,85,28
Closure93,57,85,28
Closure94,16,1,-15
Closure95,623,1640,1017
Closure96,97,424,327
Closure97,39,1,-38
Closure98,111,425,314
Closure99,142,17,-125
Closure100,1,38,37
Closure101,575,2775,2200
Closure102,3085,4752,1667
Closure103,64,290,226
Closure104,11,13,2
Closure105,59,7,-52
Closure106,12,113,101
Closure107,76,132,56
Closure108,66,237,171
Closure109,5,33,28
Closure110,6,2,-4
Closure111,1,1,0
Closure112,81,89,8
Closure113,3,17,14
Closure114,111,215,104
Closure115,10,8,-2
Closure116,3,10,7
Closure117,122,280,158
Closure118,9,2,-7
Closure120,9,287,278
Closure121,243,388,145
Closure122,2,9,7
Closure123,136,222,86
Closure124,3,10,7
Closure125,330,564,234
Closure126,35,5,-30
Closure127,72,194,122
Closure128,45,139,94
Closure129,804,2329,1525
Closure130,184,545,361
Closure131,180,340,160
Closure132,31,80,49
Closure133,146,597,451
Lang1,2,3,1
Lang2,5,3,-2
Lang3,26,3,-23
Lang4,2,2,0
Lang5,3,1,-2
Lang6,31,98,67
Lang7,1,122,121
Lang8,1,6,5
Lang9,84,84,0
Lang10,11,42,31
Lang11,7,3,-4
Lang12,1,4,3
Lang13,1,5,4
Lang14,1,4,3
Lang15,2,12,10
Lang16,42,27,-15
Lang17,12,102,90
Lang18,14,41,27
Lang19,1,8,7
Lang20,2,8,6
Lang21,1,2,1
Lang22,21,26,5
Lang24,17,64,47
Lang26,40,7,-33
Lang27,33,127,94
Lang28,2,3,1
Lang30,1,8,7
Lang31,2,4,2
Lang32,11,26,15
Lang33,3,7,4
Lang34,33,53,20
Lang35,1,2,1
Lang36,9,42,33
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,2,6,4
Lang42,6,13,7
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,38,5,-33
Lang48,3,2,-1
Lang49,1,1,0
Lang50,30,15,-15
Lang53,32,16,-16
Lang54,5,3,-2
Lang55,1,7,6
Lang57,3,6,3
Lang58,3,20,17
Lang59,1,6,5
Lang60,2,2,0
Lang61,2,8,6
Lang62,5,4,-1
Lang63,2,1,-1
Lang64,2,4,2
Lang65,5,7,2
Math1,10,11,1
Math2,39,44,5
Math3,5,3,-2
Math4,64,17,-47
Math5,1,1,0
Math6,115,64,-51
Math7,41,42,1
Math8,1,4,3
Math9,1,1,0
Math10,42,12,-30
Math11,23,31,8
Math13,67,159,92
Math14,34,99,65
Math15,110,211,101
Math16,126,214,88
Math17,66,258,192
Math18,27,14,-13
Math19,49,56,7
Math20,4,598,594
Math21,4,41,37
Math22,1,1,0
Math23,3,148,145
Math24,41,150,109
Math25,2,1,-1
Math26,85,38,-47
Math27,1,1,0
Math28,6,12,6
Math29,1,6,5
Math30,56,41,-15
Math31,35,101,66
Math32,1,4,3
Math33,48,44,-4
Math34,1,3,2
Math35,10,3,-7
Math36,304,2,-302
Math37,138,13,-125
Math38,7,5,-2
Math39,95,117,22
Math40,99,33,-66
Math41,29,43,14
Math42,43,72,29
Math43,22,52,30
Math44,63,14,-49
Math45,1,1,0
Math46,22,1,-21
Math47,1,2,1
Math48,67,355,288
Math49,421,7,-414
Math50,1,1,0
Math51,17,30,13
Math52,6,22,16
Math53,1,1,0
Math54,301,306,5
Math55,1,1,0
Math56,1,20,19
Math57,11,4,-7
Math58,377,545,168
Math59,6,2,-4
Math60,12,36,24
Math61,74,1,-73
Math62,49,128,79
Math63,1,1,0
Math64,8,143,135
Math65,26,41,15
Math66,2,37,35
Math67,211,8,-203
Math68,9,127,118
Math69,38,44,6
Math70,1,1,0
Math71,1,1,0
Math72,6,1,-5
Math73,3,1,-2
Math74,280,777,497
Math75,1,1,0
Math76,30,99,69
Math77,1,19,18
Math78,12,117,105
Math79,10,29,19
Math80,4,14,10
Math81,1,10,9
Math82,43,151,108
Math83,12,40,28
Math84,8,34,26
Math85,32,77,45
Math86,17,71,54
Math87,6,115,109
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,8,6,-2
Math95,1,15,14
Math96,6,5,-1
Math97,1,1,0
Math98,1,4,3
Math99,2,4,2
Math100,121,9,-112
Math101,15,12,-3
Math102,3,3,0
Math103,18,32,14
Math105,3,25,22
Math106,66,10,-56
Mockito1,2,2,0
Mockito2,179,3,-176
Mockito3,8,1,-7
Mockito4,31,24,-7
Mockito5,4060,4060,0
Mockito6,71,2,-69
Mockito7,20,50,30
Mockito8,49,31,-18
Mockito9,1827,1827,0
Mockito10,8,12,4
Mockito11,1,1,0
Mockito12,3,2,-1
Mockito13,32,85,53
Mockito14,36,96,60
Mockito15,59,178,119
Mockito16,6,4,-2
Mockito17,1,4,3
Mockito18,32,5,-27
Mockito19,17,12,-5
Mockito20,40,71,31
Mockito21,2,1,-1
Mockito22,41,11,-30
Mockito23,107,317,210
Mockito24,3,10,7
Mockito25,21,61,40
Mockito26,2988,-1,-1
Mockito27,26,42,16
Mockito28,51,198,147
Mockito29,7,31,24
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,15,2,-13
Mockito33,47,82,35
Mockito34,24,51,27
Mockito35,1,1,0
Mockito36,2,4,2
Mockito37,115,4,-111
Mockito38,2,2,0
Time1,1,2,1
Time2,7,3,-4
Time3,31,1,-30
Time4,6,30,24
Time5,1,2,1
Time6,180,3,-177
Time7,9,16,7
Time8,20,24,4
Time9,4,3,-1
Time10,35,191,156
Time11,296,448,152
Time12,12,21,9
Time13,8,19,11
Time14,1,5,4
Time15,2,2,0
Time16,28,7,-21
Time17,1,5,4
Time18,2,3,1
Time19,72,620,548
Time20,726,1399,673
Time21,12,33,21
Time22,8,16,8
Time23,8,41,33
Time24,173,466,293
Time25,66,276,210
Time26,59,317,258
Time27,125,346,221
