Project,MinRank1,MinRank2,Difference
Chart1,10,42,32
Chart2,55,92,37
Chart3,2,3,1
Chart4,25,179,154
Chart5,1,8,7
Chart6,32,104,72
Chart7,21,81,60
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,29,13,-16
Chart13,45,47,2
Chart14,49,6,-43
Chart15,7,29,22
Chart16,19,1,-18
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,6,5,-1
Chart21,11,3,-8
Chart22,1,12,11
Chart24,2,3,1
Chart25,228,2640,2412
Chart26,15,134,119
Closure1,62,619,557
Closure2,14,66,52
Closure3,198,279,81
Closure4,64,191,127
Closure5,106,154,48
Closure6,32,1,-31
Closure7,1,2,1
Closure8,69,123,54
Closure9,1,1,0
Closure10,41,221,180
Closure11,94,1147,1053
Closure12,159,1081,922
Closure13,3408,5651,2243
Closure14,1,4,3
Closure15,108,185,77
Closure16,33,200,167
Closure17,55,86,31
Closure18,567,2060,1493
Closure19,1,1,0
Closure20,10,2,-8
Closure21,3,6,3
Closure22,2,4,2
Closure23,4,8,4
Closure24,1,1,0
Closure25,86,107,21
Closure26,76,5,-71
Closure27,3,3,0
Closure29,142,432,290
Closure30,77,242,165
Closure31,568,1664,1096
Closure32,43,35,-8
Closure33,172,510,338
Closure34,234,230,-4
Closure35,36,6,-30
Closure36,328,1062,734
Closure37,452,1226,774
Closure38,207,345,138
Closure39,7,21,14
Closure40,78,120,42
Closure41,1404,695,-709
Closure42,1,1,0
Closure43,206,506,300
Closure44,487,778,291
Closure45,228,280,52
Closure46,6,1,-5
Closure47,219,338,119
Closure48,503,389,-114
Closure49,198,1260,1062
Closure50,26,88,62
Closure51,132,326,194
Closure52,42,116,74
Closure53,37,47,10
Closure54,33,55,22
Closure55,134,329,195
Closure56,6,65,59
Closure57,7,25,18
Closure58,4,7,3
Closure59,3600,6779,3179
Closure60,20,19,-1
Closure61,38,138,100
Closure62,1,4,3
Closure63,1,4,3
Closure64,499,1484,985
Closure65,66,78,12
Closure66,1170,2743,1573
Closure67,154,281,127
Closure68,4,3,-1
Closure69,651,1006,355
Closure70,913,2011,1098
Closure71,123,284,161
Closure72,217,241,24
Closure73,186,305,119
Closure74,188,117,-71
Closure75,5,8,3
Closure76,58,136,78
Closure77,756,306,-450
Closure78,712,1,-711
Closure79,8,51,43
Closure80,1,13,12
Closure81,80,173,93
Closure82,483,1092,609
Closure83,23,10,-13
Closure84,113,195,82
Closure85,37,164,127
Closure86,1,2,1
Closure87,52,150,98
Closure88,19,69,50
Closure89,120,164,44
Closure90,12,46,34
Closure91,664,284,-380
Closure92,54,85,31
Closure93,54,85,31
Closure94,57,4,-53
Closure95,735,1764,1029
Closure96,68,247,179
Closure97,48,1,-47
Closure98,103,425,322
Closure99,65,19,-46
Closure100,1,7,6
Closure101,531,2775,2244
Closure102,3045,4752,1707
Closure103,53,289,236
Closure104,11,13,2
Closure105,64,7,-57
Closure106,4,105,101
Closure107,67,132,65
Closure108,63,237,174
Closure109,5,33,28
Closure110,6,2,-4
Closure111,1,1,0
Closure112,102,109,7
Closure113,3,17,14
Closure114,110,215,105
Closure115,29,8,-21
Closure116,9,30,21
Closure117,73,225,152
Closure118,16,2,-14
Closure120,4,239,235
Closure121,243,388,145
Closure122,2,9,7
Closure123,73,159,86
Closure124,3,10,7
Closure125,184,396,212
Closure126,39,5,-34
Closure127,47,210,163
Closure128,28,102,74
Closure129,1465,3293,1828
Closure130,182,545,363
Closure131,155,300,145
Closure132,23,80,57
Closure133,126,516,390
Lang1,2,3,1
Lang2,5,3,-2
Lang3,27,3,-24
Lang4,2,2,0
Lang5,3,1,-2
Lang6,30,98,68
Lang7,1,122,121
Lang8,1,6,5
Lang9,135,142,7
Lang10,13,56,43
Lang11,6,3,-3
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,7,191,184
Lang16,42,27,-15
Lang17,12,102,90
Lang18,11,41,30
Lang19,2,8,6
Lang20,2,8,6
Lang21,1,2,1
Lang22,21,31,10
Lang24,17,64,47
Lang26,41,7,-34
Lang27,37,127,90
Lang28,2,3,1
Lang30,1,8,7
Lang31,3,4,1
Lang32,11,26,15
Lang33,3,7,4
Lang34,29,64,35
Lang35,1,2,1
Lang36,13,42,29
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,1,6,5
Lang42,6,13,7
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,38,5,-33
Lang48,3,2,-1
Lang49,1,1,0
Lang50,30,8,-22
Lang53,32,16,-16
Lang54,5,3,-2
Lang55,1,7,6
Lang57,3,6,3
Lang58,3,20,17
Lang59,1,6,5
Lang60,2,2,0
Lang61,4,21,17
Lang62,7,4,-3
Lang63,3,1,-2
Lang64,2,4,2
Lang65,4,7,3
Math1,9,8,-1
Math2,37,44,7
Math3,5,3,-2
Math4,63,17,-46
Math5,1,1,0
Math6,130,170,40
Math7,41,42,1
Math8,1,4,3
Math9,1,1,0
Math10,50,12,-38
Math11,22,31,9
Math13,67,159,92
Math14,33,99,66
Math15,72,211,139
Math16,74,1,-73
Math17,37,89,52
Math18,47,14,-33
Math19,69,56,-13
Math20,4,598,594
Math21,6,41,35
Math22,1,1,0
Math23,3,148,145
Math24,37,150,113
Math25,3,1,-2
Math26,87,38,-49
Math27,1,1,0
Math28,6,12,6
Math29,1,6,5
Math30,78,41,-37
Math31,51,190,139
Math32,1,4,3
Math33,49,44,-5
Math34,1,3,2
Math35,10,3,-7
Math36,300,2,-298
Math37,124,6,-118
Math38,7,5,-2
Math39,95,117,22
Math40,98,33,-65
Math41,29,43,14
Math42,43,72,29
Math43,24,72,48
Math44,65,14,-51
Math45,1,1,0
Math46,92,1,-91
Math47,1,2,1
Math48,38,355,317
Math49,421,7,-414
Math50,1,1,0
Math51,15,30,15
Math52,6,22,16
Math53,1,1,0
Math54,280,136,-144
Math55,1,1,0
Math56,1,20,19
Math57,14,4,-10
Math58,358,545,187
Math59,82,2,-80
Math60,11,36,25
Math61,74,1,-73
Math62,49,128,79
Math63,1,1,0
Math64,6,144,138
Math65,26,41,15
Math66,20,54,34
Math67,211,8,-203
Math68,8,127,119
Math69,44,44,0
Math70,1,1,0
Math71,1,1,0
Math72,7,1,-6
Math73,3,1,-2
Math74,266,777,511
Math75,1,1,0
Math76,32,99,67
Math77,1,19,18
Math78,11,117,106
Math79,9,29,20
Math80,4,14,10
Math81,1,10,9
Math82,43,151,108
Math83,12,40,28
Math84,2,45,43
Math85,29,77,48
Math86,28,75,47
Math87,5,115,110
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,8,6,-2
Math95,1,15,14
Math96,6,5,-1
Math97,1,1,0
Math98,1,4,3
Math99,2,4,2
Math100,129,9,-120
Math101,15,12,-3
Math102,3,3,0
Math103,15,32,17
Math105,3,25,22
Math106,66,10,-56
Mockito1,2,2,0
Mockito2,242,8,-234
Mockito3,15,1,-14
Mockito4,5,7,2
Mockito5,4060,4060,0
Mockito6,5,1,-4
Mockito7,22,50,28
Mockito8,49,31,-18
Mockito9,1827,1827,0
Mockito10,8,12,4
Mockito11,1,1,0
Mockito12,8,2,-6
Mockito13,32,85,53
Mockito14,36,96,60
Mockito15,59,178,119
Mockito16,5,4,-1
Mockito17,1,4,3
Mockito18,32,5,-27
Mockito19,17,12,-5
Mockito20,68,118,50
Mockito21,3,1,-2
Mockito22,41,11,-30
Mockito23,22,66,44
Mockito24,1,1,0
Mockito25,13,63,50
Mockito26,2988,-1,-1
Mockito27,12,37,25
Mockito28,50,198,148
Mockito29,7,31,24
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,15,2,-13
Mockito33,64,197,133
Mockito34,33,62,29
Mockito35,1,1,0
Mockito36,3,4,1
Mockito37,142,4,-138
Mockito38,4,5,1
Time1,1,2,1
Time2,7,3,-4
Time3,3,1,-2
Time4,5,30,25
Time5,1,26,25
Time6,188,4,-184
Time7,9,17,8
Time8,20,24,4
Time9,5,3,-2
Time10,27,199,172
Time11,293,448,155
Time12,5,7,2
Time13,8,19,11
Time14,1,5,4
Time15,2,2,0
Time16,48,7,-41
Time17,1,5,4
Time18,2,3,1
Time19,71,620,549
Time20,354,556,202
Time21,7,33,26
Time22,10,16,6
Time23,8,41,33
Time24,165,466,301
Time25,105,383,278
Time26,58,344,286
Time27,125,346,221
