Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,9,42,33
Chart2,org.jfree.data.general.DatasetUtilities#755,96,102,6
Chart2,org.jfree.data.general.DatasetUtilities#757,93,104,11
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,66,92,26
Chart2,org.jfree.data.general.DatasetUtilities#1243,105,93,-12
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,22,3,-19
Chart3,org.jfree.data.time.TimeSeries#1057,5,4,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,27,171,144
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,17,57,40
Chart7,org.jfree.data.time.TimePeriodValues#300,20,81,61
Chart7,org.jfree.data.time.TimePeriodValues#302,103,82,-21
Chart8,org.jfree.data.time.Week#175,4,1,-3
Chart9,org.jfree.data.time.TimeSeries#944,4,14,10
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,5,4
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,76,13,-63
Chart13,org.jfree.chart.block.BorderArrangement#454,68,47,-21
Chart14,org.jfree.chart.plot.XYPlot#2293,99,19,-80
Chart14,org.jfree.chart.plot.XYPlot#2529,109,26,-83
Chart14,org.jfree.chart.plot.CategoryPlot#2166,108,6,-102
Chart14,org.jfree.chart.plot.CategoryPlot#2448,112,13,-99
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,7,29,22
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,24,1,-23
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,39,2,-37
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,16,32,16
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
