Project,MinRank1,MinRank2,Difference
Chart1,5,1,-4
Chart2,50,51,1
Chart3,4,2,-2
Chart4,40,431,391
Chart5,1,9,8
Chart6,10,56,46
Chart7,19,29,10
Chart8,4,5,1
Chart9,3,11,8
Chart10,1,1,0
Chart11,1,2,1
Chart12,107,16,-91
Chart13,71,1,-70
Chart14,108,1,-107
Chart15,3,7,4
Chart16,6,1,-5
Chart17,1,1,0
Chart18,1,1,0
Chart19,23,1,-22
Chart20,4,6,2
Chart21,11,4,-7
Chart22,1,1,0
Chart24,2,2,0
Chart25,1,3,2
Chart26,11,2,-9
Closure1,20,29,9
Closure2,87,69,-18
Closure3,53,41,-12
Closure4,57,1,-56
Closure5,197,1,-196
Closure6,1872,1,-1871
Closure7,45,52,7
Closure8,42,10,-32
Closure9,1,1,0
Closure10,9,138,129
Closure11,1,3,2
Closure12,1,162,161
Closure13,1495,2704,1209
Closure14,14,2,-12
Closure15,560,116,-444
Closure16,54,185,131
Closure17,603,1,-602
Closure18,25,372,347
Closure19,23,77,54
Closure20,188,193,5
Closure21,32,1,-31
Closure22,5,1,-4
Closure23,172,38,-134
Closure24,11,1,-10
Closure25,57,3,-54
Closure26,2066,82,-1984
Closure27,4,4,0
Closure29,256,25,-231
Closure30,83,140,57
Closure31,27,243,216
Closure32,155,1,-154
Closure33,47,54,7
Closure34,23,2,-21
Closure35,293,114,-179
Closure36,102,58,-44
Closure37,47,551,504
Closure38,16,1,-15
Closure39,13,1,-12
Closure40,367,2,-365
Closure41,1025,499,-526
Closure42,77,1,-76
Closure43,160,223,63
Closure44,47,130,83
Closure45,217,18,-199
Closure46,113,1,-112
Closure47,994,5,-989
Closure48,272,1,-271
Closure49,8,112,104
Closure50,23,5,-18
Closure51,1,1,0
Closure52,15,71,56
Closure53,126,11,-115
Closure54,238,46,-192
Closure55,69,32,-37
Closure56,1,29,28
Closure57,24,21,-3
Closure58,65,89,24
Closure59,735,1482,747
Closure60,241,54,-187
Closure61,23,86,63
Closure62,1,1,0
Closure63,1,1,0
Closure64,242,700,458
Closure65,172,2,-170
Closure66,49,2,-47
Closure67,23,13,-10
Closure68,197,4,-193
Closure69,308,229,-79
Closure70,108,1,-107
Closure71,219,1,-218
Closure72,159,200,41
Closure73,23,1,-22
Closure74,553,3,-550
Closure75,193,78,-115
Closure76,56,7,-49
Closure77,342,12,-330
Closure78,1895,11,-1884
Closure79,61,86,25
Closure80,1,235,234
Closure81,12,4,-8
Closure82,540,2817,2277
Closure83,10,1,-9
Closure84,15,5,-10
Closure85,14,10,-4
Closure86,5,38,33
Closure87,6,53,47
Closure88,40,2,-38
Closure89,30,9,-21
Closure90,103,24,-79
Closure91,520,189,-331
Closure92,32,1,-31
Closure93,30,3,-27
Closure94,1017,16,-1001
Closure95,409,984,575
Closure96,1,24,23
Closure97,732,52,-680
Closure98,1,71,70
Closure99,28,3,-25
Closure100,1,10,9
Closure101,489,1807,1318
Closure102,506,4169,3663
Closure103,8,584,576
Closure104,7,4,-3
Closure105,420,14,-406
Closure106,1,2,1
Closure107,39,4,-35
Closure108,17,18,1
Closure109,1,59,58
Closure110,122,68,-54
Closure111,53,112,59
Closure112,1829,158,-1671
Closure113,3,6,3
Closure114,80,12,-68
Closure115,67,2,-65
Closure116,211,113,-98
Closure117,38,5,-33
Closure118,973,83,-890
Closure120,1,592,591
Closure121,344,22,-322
Closure122,2,1,-1
Closure123,148,137,-11
Closure124,6,62,56
Closure125,96,47,-49
Closure126,740,1,-739
Closure127,44,17,-27
Closure128,1,1,0
Closure129,301,933,632
Closure130,21,52,31
Closure131,47,9,-38
Closure132,55,111,56
Closure133,1,77,76
Lang1,1,1,0
Lang2,15,18,3
Lang3,27,2,-25
Lang4,6,2,-4
Lang5,2,1,-1
Lang6,10,17,7
Lang7,1,10,9
Lang8,2,3,1
Lang9,52,34,-18
Lang10,3,38,35
Lang11,8,10,2
Lang12,1,2,1
Lang13,1,2,1
Lang14,1,3,2
Lang15,2,1,-1
Lang16,34,23,-11
Lang17,6,13,7
Lang18,17,55,38
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,9,1,-8
Lang24,20,49,29
Lang26,19,1,-18
Lang27,22,1,-21
Lang28,2,1,-1
Lang30,2,14,12
Lang31,3,1,-2
Lang32,11,6,-5
Lang33,2,1,-1
Lang34,14,1,-13
Lang35,2,2,0
Lang36,12,33,21
Lang37,1,2,1
Lang38,5,2,-3
Lang39,25,4,-21
Lang40,1,1,0
Lang41,1,8,7
Lang42,4,11,7
Lang43,6,6,0
Lang44,3,12,9
Lang45,14,8,-6
Lang46,1,1,0
Lang47,24,6,-18
Lang48,3,1,-2
Lang49,4,1,-3
Lang50,49,24,-25
Lang53,33,39,6
Lang54,4,2,-2
Lang55,1,1,0
Lang57,1,1,0
Lang58,2,3,1
Lang59,3,5,2
Lang60,7,1,-6
Lang61,8,34,26
Lang62,10,3,-7
Lang63,2,1,-1
Lang64,4,1,-3
Lang65,3,10,7
Math1,12,3,-9
Math2,24,16,-8
Math3,3,7,4
Math4,91,12,-79
Math5,2,3,1
Math6,45,94,49
Math7,22,2,-20
Math8,3,2,-1
Math9,3,4,1
Math10,104,14,-90
Math11,15,20,5
Math13,44,90,46
Math14,12,43,31
Math15,8,11,3
Math16,118,3,-115
Math17,7,81,74
Math18,198,37,-161
Math19,9,45,36
Math20,1,702,701
Math21,9,48,39
Math22,1,3,2
Math23,1,52,51
Math24,12,54,42
Math25,1,1,0
Math26,3,3,0
Math27,1,1,0
Math28,24,9,-15
Math29,5,8,3
Math30,32,8,-24
Math31,45,47,2
Math32,1,9,8
Math33,18,2,-16
Math34,8,1,-7
Math35,7,6,-1
Math36,20,3,-17
Math37,144,9,-135
Math38,25,7,-18
Math39,60,64,4
