Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,21,34,13
Chart3,2,2,0
Chart4,219,-1,-1
Chart5,4,5,1
Chart6,52,96,44
Chart7,14,28,14
Chart8,2,3,1
Chart9,4,6,2
Chart10,1,1,0
Chart11,2,2,0
Chart12,34,41,7
Chart13,2,1,-1
Chart14,8,1,-7
Chart15,1,8,7
Chart16,2,1,-1
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,2,6,4
Chart21,7,3,-4
Chart22,1,1,0
Chart24,1,1,0
Chart25,2,12,10
Chart26,1,1,0
Closure1,22,36,14
Closure2,80,86,6
Closure3,27,41,14
Closure4,1,1,0
Closure5,1,1,0
Closure6,1,1,0
Closure7,55,64,9
Closure8,2,3,1
Closure9,1,1,0
Closure10,189,-1,-1
Closure11,2,3,1
Closure12,77,-1,-1
Closure13,1964,-1,-1
Closure14,1,1,0
Closure15,113,108,-5
Closure16,138,126,-12
Closure17,1,1,0
Closure18,266,-1,-1
Closure19,20,25,5
Closure20,28,36,8
Closure21,1,1,0
Closure22,1,1,0
Closure23,6,7,1
Closure24,1,1,0
Closure25,33,32,-1
Closure26,17,15,-2
Closure27,4,5,1
Closure29,23,22,-1
Closure30,386,-1,-1
Closure31,280,-1,-1
Closure32,1,1,0
Closure33,7,18,11
Closure34,5,2,-3
Closure35,74,75,1
Closure36,42,53,11
Closure37,235,-1,-1
Closure38,1,1,0
Closure39,1,1,0
Closure40,1,1,0
Closure41,1807,-1,-1
Closure42,1,3,2
Closure43,649,-1,-1
Closure44,446,-1,-1
Closure45,17,22,5
Closure46,1,1,0
Closure47,4,4,0
Closure48,2,2,0
Closure49,105,109,4
Closure50,3,3,0
Closure51,1,1,0
Closure52,90,98,8
Closure53,44,53,9
Closure54,35,40,5
Closure55,26,33,7
Closure56,12,23,11
Closure57,27,40,13
Closure58,20,44,24
Closure59,1401,-1,-1
Closure60,55,70,15
Closure61,70,80,10
Closure62,1,1,0
Closure63,1,1,0
Closure64,515,-1,-1
Closure65,43,46,3
Closure66,4,6,2
Closure67,6,8,2
Closure68,6,4,-2
Closure69,1118,-1,-1
Closure70,1,1,0
Closure71,1,1,0
Closure72,560,-1,-1
Closure73,1,1,0
Closure74,4,5,1
Closure75,22,24,2
Closure76,3,4,1
Closure77,11,5,-6
