Project,MinRank1,MinRank2,Difference
Chart1,34,-1,-1
Chart2,62,-1,-1
Chart3,21,-1,-1
Chart4,103,-1,-1
Chart5,1,1,0
Chart6,15,-1,-1
Chart7,28,-1,-1
Chart8,9,-1,-1
Chart9,24,-1,-1
Chart10,1,1,0
Chart11,6,-1,-1
Chart12,195,-1,-1
Chart13,111,-1,-1
Chart14,206,-1,-1
Chart15,31,-1,-1
Chart16,19,-1,-1
Chart17,8,-1,-1
Chart18,2,2,0
Chart19,77,-1,-1
Chart20,1,3,2
Chart21,2,3,1
Chart22,4,7,3
Chart24,5,-1,-1
Chart25,106,-1,-1
Chart26,179,-1,-1
Closure1,347,-1,-1
Closure2,423,-1,-1
Closure3,415,-1,-1
Closure4,618,-1,-1
Closure5,730,-1,-1
Closure6,3425,-1,-1
Closure7,303,-1,-1
Closure8,439,-1,-1
Closure9,5,-1,-1
Closure10,74,-1,-1
Closure11,3,-1,-1
Closure12,7,-1,-1
Closure13,1866,-1,-1
Closure14,260,-1,-1
Closure15,3,4,1
Closure16,1,1,0
Closure17,1883,-1,-1
Closure18,148,-1,-1
Closure19,217,-1,-1
Closure20,4,9,5
Closure21,2,7,5
Closure22,2,5,3
Closure23,593,-1,-1
Closure24,5,6,1
Closure25,346,-1,-1
Closure26,3974,-1,-1
Closure27,76,-1,-1
Closure29,904,-1,-1
Closure30,1,1,0
Closure31,164,-1,-1
Closure32,677,-1,-1
Closure33,2,2,0
Closure34,185,-1,-1
Closure35,656,-1,-1
Closure36,830,-1,-1
Closure37,118,-1,-1
Closure38,295,-1,-1
Closure39,101,-1,-1
Closure40,1208,-1,-1
Closure41,1733,-1,-1
Closure42,335,-1,-1
Closure43,537,-1,-1
Closure44,340,-1,-1
Closure45,558,-1,-1
Closure46,3,4,1
Closure47,2141,-1,-1
Closure48,1353,-1,-1
Closure49,1,2,1
Closure50,2,5,3
Closure51,3,3,0
Closure52,176,-1,-1
Closure53,518,-1,-1
Closure54,267,-1,-1
Closure55,487,-1,-1
Closure56,14,-1,-1
Closure57,299,-1,-1
Closure58,362,-1,-1
Closure59,1309,-1,-1
Closure60,885,-1,-1
Closure61,173,-1,-1
Closure62,6,-1,-1
Closure63,6,-1,-1
Closure64,401,-1,-1
Closure65,966,-1,-1
Closure66,505,-1,-1
Closure67,278,-1,-1
Closure68,435,-1,-1
Closure69,1016,-1,-1
Closure70,760,-1,-1
Closure71,1079,-1,-1
Closure72,454,-1,-1
Closure73,337,-1,-1
Closure74,1282,-1,-1
Closure75,775,-1,-1
Closure76,339,-1,-1
Closure77,1182,-1,-1
