Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,35,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,94,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,92,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1242,62,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,104,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,52,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1057,21,-1,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,103,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,1,1,0
Chart6,org.jfree.chart.util.ShapeList#111,15,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,29,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,105,-1,-1
Chart8,org.jfree.data.time.Week#175,9,-1,-1
Chart9,org.jfree.data.time.TimeSeries#944,25,-1,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,6,-1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,4,16,12
Chart13,org.jfree.chart.block.BorderArrangement#454,111,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,206,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,220,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2166,217,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,225,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,31,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,32,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,43,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,19,-1,-1
Chart17,org.jfree.data.time.TimeSeries#857,8,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#335,3,6,3
Chart18,org.jfree.data.DefaultKeyedValues2D#455,14,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,12,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,53,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#698,159,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,77,-1,-1
Chart20,org.jfree.chart.plot.ValueMarker#95,1,3,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,18,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,104,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,119,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,66,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,113,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,110,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,65,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,108,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,129,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,132,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,86,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,123,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,133,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,131,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,94,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,109,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,125,-1,-1
