Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,95,97,2
Chart2,org.jfree.data.general.DatasetUtilities#757,25,38,13
Chart2,org.jfree.data.general.DatasetUtilities#1242,29,49,20
Chart2,org.jfree.data.general.DatasetUtilities#1243,59,60,1
Chart3,org.jfree.data.time.TimeSeries#1056,3,3,0
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,200,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,6,8,2
Chart6,org.jfree.chart.util.ShapeList#111,58,94,36
Chart7,org.jfree.data.time.TimePeriodValues#300,26,46,20
Chart7,org.jfree.data.time.TimePeriodValues#302,53,31,-22
Chart8,org.jfree.data.time.Week#175,3,7,4
Chart9,org.jfree.data.time.TimeSeries#944,5,8,3
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,1,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,28,36,8
Chart13,org.jfree.chart.block.BorderArrangement#454,3,1,-2
Chart14,org.jfree.chart.plot.XYPlot#2293,15,2,-13
Chart14,org.jfree.chart.plot.XYPlot#2529,17,4,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2166,8,1,-7
Chart14,org.jfree.chart.plot.CategoryPlot#2448,16,3,-13
Chart15,org.jfree.chart.plot.PiePlot#2051,9,19,10
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,21,22,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#335,11,52,41
Chart18,org.jfree.data.DefaultKeyedValues2D#455,7,12,5
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,4,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,18,14,-4
Chart19,org.jfree.chart.plot.CategoryPlot#698,13,10,-3
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,1,0
Chart20,org.jfree.chart.plot.ValueMarker#95,3,6,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,49,71,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,53,34,-19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,64,41,-23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,71,74,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,57,33,-24
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,68,53,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,34,31,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,60,46,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,98,93,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,93,86,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,23,17,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,18,3,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,102,8,-94
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,31,7,-24
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,43,29,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,61,45,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,69,38,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,70,37,-33
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,15,9,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,8,10,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,19,16,-3
Chart22,org.jfree.data.KeyedObjects2D#231,46,75,29
Chart22,org.jfree.data.KeyedObjects2D#233,38,69,31
Chart22,org.jfree.data.KeyedObjects2D#378,1,2,1
Chart22,org.jfree.data.KeyedObjects2D#345,17,35,18
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,1,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,603,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,201,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,649,-1,-1
Chart26,org.jfree.chart.axis.Axis#1192,1,1,0
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,12,37,25
Closure2,com.google.javascript.jscomp.TypeCheck#1574,94,96,2
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,28,42,14
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,65,47,-18
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,4,4,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#366,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#367,89,83,-6
Closure6,com.google.javascript.jscomp.TypeValidator#405,3,3,0
Closure6,com.google.javascript.jscomp.TypeValidator#406,102,96,-6
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,91,93,2
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,2,3,1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,3,3,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,1,1,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,7,10,3
Closure10,com.google.javascript.jscomp.NodeUtil#1417,171,-1,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1314,2,3,1
Closure11,com.google.javascript.jscomp.TypeCheck#1315,44,-1,-1
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,88,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,1948,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,2711,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2589,-1,-1
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,1,1,0
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,96,92,-4
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,98,93,-5
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,61,66,5
Closure16,com.google.javascript.jscomp.ScopedAliases#174,6925,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#180,1950,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#468,524,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#175,7233,-1,-1
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,2,2,0
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,1,1,0
Closure18,com.google.javascript.jscomp.Compiler#1288,246,-1,-1
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,24,27,3
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,41,53,12
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,797,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,792,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,1498,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,447,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,2,2,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,1,1,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,79,78,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,3,3,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,4,4,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,109,103,-6
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,336,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,1696,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,726,-1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,801,-1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,12,12,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,56,58,2
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,1,2,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,2,1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,38,31,-7
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,3,4,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,860,-1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,4,3,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,729,-1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,1003,-1,-1
