Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,27,38,11
Chart3,2,3,1
Chart4,170,-1,-1
Chart5,6,8,2
Chart6,82,-1,-1
Chart7,35,31,-4
Chart8,3,7,4
Chart9,5,8,3
Chart10,1,1,0
Chart11,1,1,0
Chart12,29,36,7
Chart13,3,1,-2
Chart14,8,1,-7
Chart15,10,19,9
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,2,1
Chart19,1,1,0
Chart20,3,6,3
Chart21,8,3,-5
Chart22,1,2,1
Chart24,1,1,0
Chart25,1,3,2
Chart26,1,1,0
Closure1,14,37,23
Closure2,484,-1,-1
Closure3,31,42,11
Closure4,1,1,0
Closure5,1,1,0
Closure6,1,1,0
Closure7,366,-1,-1
Closure8,2,3,1
Closure9,1,1,0
Closure10,141,-1,-1
Closure11,2,3,1
Closure12,74,-1,-1
Closure13,1921,-1,-1
Closure14,1,1,0
Closure15,67,66,-1
Closure16,496,-1,-1
Closure17,1,1,0
Closure18,216,-1,-1
Closure19,25,27,2
Closure20,53,53,0
Closure21,1,1,0
Closure22,1,1,0
Closure23,70,71,1
Closure24,1,1,0
Closure25,26,20,-6
Closure26,16,17,1
Closure27,2,5,3
Closure29,23,20,-3
Closure30,337,-1,-1
Closure31,231,-1,-1
Closure32,1,1,0
Closure33,10,19,9
Closure34,1,1,0
Closure35,719,-1,-1
Closure36,65,64,-1
Closure37,186,-1,-1
Closure38,1,1,0
Closure39,3,5,2
Closure40,1,1,0
Closure41,1778,-1,-1
Closure42,1,6,5
Closure43,604,-1,-1
Closure44,402,-1,-1
Closure45,29,30,1
Closure46,1,1,0
Closure47,5,5,0
Closure48,2,2,0
Closure49,6,6,0
Closure50,2,3,1
Closure51,1,1,0
Closure52,77,73,-4
Closure53,67,67,0
Closure54,80,72,-8
Closure55,24,36,12
Closure56,18,25,7
Closure57,23,34,11
Closure58,31,42,11
Closure59,1365,-1,-1
Closure60,49,53,4
Closure61,39,41,2
Closure62,1,1,0
Closure63,1,1,0
Closure64,467,-1,-1
Closure65,26,29,3
Closure66,2,4,2
Closure67,4,8,4
Closure68,7,7,0
Closure69,1076,-1,-1
Closure70,1,1,0
Closure71,1,1,0
Closure72,515,-1,-1
Closure73,1,1,0
Closure74,2,1,-1
Closure75,36,42,6
Closure76,3,6,3
Closure77,36,29,-7
Closure78,34,21,-13
Closure79,483,-1,-1
Closure80,51,-1,-1
Closure81,5,12,7
Closure82,483,-1,-1
Closure83,1,1,0
Closure84,8,17,9
Closure85,5,8,3
Closure86,1,1,0
Closure87,54,55,1
Closure88,1,1,0
Closure89,6,10,4
Closure90,28,34,6
Closure91,977,-1,-1
Closure92,1,1,0
Closure93,1,1,0
Closure94,27,26,-1
Closure95,706,-1,-1
Closure96,64,63,-1
Closure97,72,69,-3
Closure98,14,47,33
Closure99,7,4,-3
Closure100,1,7,6
Closure101,326,-1,-1
Closure102,355,-1,-1
Closure103,106,-1,-1
Closure104,2,3,1
Closure105,40,38,-2
Closure106,2,2,0
Closure107,3,4,1
Closure108,16,19,3
Closure109,11,19,8
Closure110,33,33,0
Closure111,337,-1,-1
Closure112,3061,-1,-1
Closure113,2,3,1
Closure114,7,12,5
Closure115,2,3,1
Closure116,762,-1,-1
Closure117,2,3,1
Closure118,48,49,1
Closure120,82,-1,-1
Closure121,26,28,2
Closure122,1,1,0
Closure123,638,-1,-1
Closure124,34,37,3
Closure125,22,50,28
Closure126,1,1,0
Closure127,8,15,7
Closure128,2,4,2
Closure129,689,-1,-1
Closure130,49,59,10
Closure131,4,7,3
Closure132,74,71,-3
Closure133,51,64,13
Lang1,2,1,-1
Lang2,18,16,-2
Lang3,8,2,-6
Lang4,3,1,-2
Lang5,1,1,0
Lang6,15,16,1
Lang7,8,10,2
Lang8,1,1,0
Lang9,42,47,5
Lang10,29,35,6
Lang11,8,8,0
Lang12,3,2,-1
Lang13,2,2,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,36,33,-3
Lang17,12,13,1
Lang18,40,43,3
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,22,40,18
Lang26,2,5,3
Lang27,1,1,0
Lang28,2,3,1
Lang30,4,9,5
Lang31,1,1,0
Lang32,10,6,-4
Lang33,1,1,0
Lang34,1,1,0
Lang35,3,3,0
Lang36,32,35,3
Lang37,1,1,0
Lang38,1,1,0
Lang39,5,4,-1
Lang40,1,2,1
Lang41,2,5,3
Lang42,6,13,7
Lang43,16,16,0
Lang44,10,13,3
Lang45,17,16,-1
Lang46,1,1,0
Lang47,13,2,-11
Lang48,1,1,0
Lang49,1,1,0
Lang50,18,17,-1
Lang53,39,39,0
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,2,3,1
Lang59,2,3,1
Lang60,3,2,-1
Lang61,28,37,9
Lang62,5,4,-1
Lang63,1,1,0
Lang64,1,1,0
Lang65,7,10,3
Math1,2,2,0
Math2,27,30,3
Math3,7,9,2
Math4,16,11,-5
Math5,3,3,0
Math6,108,-1,-1
Math7,1,3,2
Math8,1,1,0
Math9,3,4,1
Math10,9,12,3
Math11,37,39,2
Math13,53,63,10
Math14,38,50,12
Math15,8,23,15
Math16,5,3,-2
Math17,102,-1,-1
Math18,33,51,18
Math19,11,39,28
Math20,78,-1,-1
Math21,46,46,0
Math22,1,1,0
Math23,27,44,17
Math24,50,50,0
Math25,1,1,0
Math26,2,2,0
Math27,1,1,0
Math28,9,9,0
Math29,1,6,5
Math30,4,9,5
Math31,60,61,1
Math32,4,15,11
Math33,2,3,1
Math34,1,1,0
Math35,4,3,-1
Math36,11,5,-6
Math37,15,5,-10
Math38,2,3,1
Math39,76,76,0
Math40,4,2,-2
Math41,14,13,-1
Math42,15,18,3
Math43,4,10,6
Math44,78,-1,-1
Math45,1,2,1
Math46,17,1,-16
Math47,2,2,0
Math48,81,-1,-1
Math49,98,20,-78
Math50,1,1,0
Math51,6,13,7
Math52,2,2,0
Math53,1,1,0
Math54,18,10,-8
Math55,1,1,0
Math56,2,3,1
Math57,9,11,2
Math58,325,-1,-1
Math59,1,1,0
Math60,8,15,7
Math61,1,1,0
Math62,12,7,-5
Math63,1,1,0
Math64,70,-1,-1
Math65,1,1,0
Math66,67,70,3
Math67,1,3,2
Math68,72,72,0
Math69,7,10,3
Math70,1,1,0
Math71,44,45,1
Math72,3,1,-2
Math73,5,5,0
Math74,160,-1,-1
Math75,1,1,0
Math76,46,49,3
Math77,1,3,2
Math78,41,66,25
Math79,21,26,5
