Project,MinRank1,MinRank2,Difference
Chart1,31,42,11
Chart2,49,51,2
Chart3,7,12,5
Chart4,188,-1,-1
Chart5,3,8,5
Chart6,22,29,7
Chart7,52,86,34
Chart8,4,15,11
Chart9,6,10,4
Chart10,1,1,0
Chart11,2,5,3
Chart12,226,97,-129
Chart13,18,21,3
Chart14,11,8,-3
Chart15,10,16,6
Chart16,13,5,-8
Chart17,4,5,1
Chart18,1,5,4
Chart19,1,1,0
Chart20,8,11,3
Chart21,1,1,0
Chart22,2,5,3
Chart24,3,4,1
Chart25,1,3,2
Chart26,261,-1,-1
Closure1,433,-1,-1
Closure2,2,10,8
Closure3,496,-1,-1
Closure4,699,-1,-1
Closure5,49,58,9
Closure6,9,6,-3
Closure7,9,12,3
Closure8,509,-1,-1
Closure9,3,1,-2
Closure10,162,-1,-1
Closure11,23,-1,-1
Closure12,74,-1,-1
Closure13,1926,-1,-1
Closure14,33,38,5
Closure15,53,61,8
Closure16,515,-1,-1
Closure17,7,10,3
Closure18,235,-1,-1
Closure19,2,6,4
Closure20,642,-1,-1
Closure21,7,7,0
Closure22,1,1,0
Closure23,64,67,3
Closure24,1,3,2
Closure25,432,-1,-1
Closure26,24,24,0
Closure27,1,1,0
Closure29,988,-1,-1
Closure30,352,-1,-1
Closure31,251,-1,-1
Closure32,54,50,-4
Closure33,535,-1,-1
Closure34,28,28,0
Closure35,25,26,1
Closure36,913,-1,-1
Closure37,193,-1,-1
Closure38,376,-1,-1
Closure39,4,4,0
Closure40,1282,-1,-1
Closure41,1792,-1,-1
Closure42,7,11,4
Closure43,620,-1,-1
Closure44,409,-1,-1
Closure45,628,-1,-1
Closure46,2,2,0
Closure47,2199,-1,-1
Closure48,1415,-1,-1
Closure49,100,99,-1
Closure50,57,64,7
Closure51,15,17,2
Closure52,6,7,1
Closure53,585,-1,-1
Closure54,68,71,3
Closure55,553,-1,-1
Closure56,1,1,0
Closure57,3,4,1
Closure58,11,14,3
Closure59,1385,-1,-1
Closure60,2,2,0
Closure61,226,-1,-1
Closure62,1,1,0
Closure63,1,1,0
Closure64,488,-1,-1
Closure65,1,1,0
Closure66,589,-1,-1
Closure67,361,-1,-1
Closure68,7,7,0
Closure69,1085,-1,-1
Closure70,843,-1,-1
Closure71,1146,-1,-1
Closure72,532,-1,-1
Closure73,6,9,3
Closure74,33,37,4
Closure75,1,1,0
Closure76,54,48,-6
Closure77,41,36,-5
Closure78,7,3,-4
Closure79,9,16,7
Closure80,2,7,5
Closure81,3,4,1
Closure82,497,-1,-1
Closure83,104,74,-30
Closure84,7,9,2
Closure85,63,66,3
Closure86,10,13,3
Closure87,147,-1,-1
Closure88,61,55,-6
Closure89,56,55,-1
Closure90,577,-1,-1
Closure91,987,-1,-1
Closure92,402,-1,-1
Closure93,405,-1,-1
Closure94,4,4,0
Closure95,725,-1,-1
Closure96,34,37,3
Closure97,35,35,0
Closure98,70,-1,-1
Closure99,64,66,2
Closure100,20,38,18
Closure101,337,-1,-1
Closure102,372,-1,-1
Closure103,12,20,8
Closure104,7,9,2
Closure105,38,42,4
Closure106,23,27,4
Closure107,42,69,27
Closure108,44,53,9
Closure109,3,5,2
Closure110,28,35,7
Closure111,3,4,1
Closure112,63,65,2
Closure113,6,8,2
Closure114,104,90,-14
Closure115,4,7,3
Closure116,37,46,9
Closure117,604,-1,-1
Closure118,2230,-1,-1
Closure120,84,-1,-1
Closure121,101,90,-11
Closure122,2,3,1
Closure123,120,98,-22
Closure124,10,18,8
Closure125,100,95,-5
Closure126,1466,-1,-1
Closure127,461,-1,-1
Closure128,2,2,0
Closure129,702,-1,-1
Closure130,287,-1,-1
Closure131,73,84,11
Closure132,358,-1,-1
Closure133,46,-1,-1
Lang1,4,3,-1
Lang2,23,18,-5
Lang3,27,5,-22
Lang4,2,5,3
Lang5,3,1,-2
Lang6,72,72,0
Lang7,6,23,17
Lang8,9,11,2
Lang9,69,62,-7
Lang10,34,34,0
Lang11,2,1,-1
Lang12,1,6,5
Lang13,2,4,2
Lang14,1,1,0
Lang15,99,-1,-1
Lang16,9,8,-1
Lang17,13,19,6
Lang18,40,46,6
Lang19,1,9,8
Lang20,2,4,2
Lang21,1,1,0
Lang22,23,27,4
Lang24,75,-1,-1
Lang26,10,12,2
Lang27,19,27,8
Lang28,1,1,0
Lang30,2,2,0
Lang31,4,5,1
Lang32,13,4,-9
Lang33,102,-1,-1
Lang34,78,74,-4
Lang35,1,1,0
Lang36,70,91,21
Lang37,1,4,3
Lang38,1,1,0
Lang39,34,38,4
Lang40,1,2,1
Lang41,3,6,3
Lang42,3,3,0
Lang43,8,6,-2
Lang44,3,5,2
Lang45,14,1,-13
Lang46,1,1,0
Lang47,38,23,-15
Lang48,3,2,-1
Lang49,5,2,-3
Lang50,10,12,2
Lang53,42,-1,-1
Lang54,3,1,-2
Lang55,2,9,7
Lang57,3,1,-2
Lang58,4,27,23
Lang59,3,1,-2
Lang60,13,6,-7
Lang61,6,27,21
Lang62,5,6,1
Lang63,1,2,1
Lang64,2,1,-1
Lang65,3,6,3
Math1,5,6,1
Math2,67,71,4
Math3,5,7,2
Math4,2,2,0
Math5,1,2,1
Math6,121,-1,-1
Math7,49,46,-3
Math8,1,3,2
Math9,1,3,2
Math10,12,11,-1
Math11,55,60,5
Math13,98,-1,-1
Math14,29,43,14
Math15,2,2,0
Math16,3,4,1
Math17,81,-1,-1
Math18,2,3,1
Math19,16,18,2
Math20,39,-1,-1
Math21,4,6,2
Math22,1,1,0
Math23,13,41,28
Math24,67,71,4
Math25,3,2,-1
Math26,24,24,0
Math27,2,2,0
Math28,17,22,5
Math29,2,3,1
Math30,18,24,6
Math31,83,81,-2
Math32,40,64,24
Math33,41,51,10
Math34,2,1,-1
Math35,10,6,-4
Math36,1,1,0
Math37,1,1,0
Math38,2,2,0
Math39,146,-1,-1
Math40,139,-1,-1
Math41,11,14,3
Math42,131,-1,-1
Math43,118,96,-22
Math44,9,13,4
Math45,1,1,0
Math46,2,1,-1
Math47,1,1,0
Math48,87,-1,-1
Math49,79,5,-74
Math50,1,1,0
Math51,32,29,-3
Math52,5,9,4
Math53,1,2,1
Math54,11,11,0
Math55,2,1,-1
Math56,5,5,0
Math57,7,8,1
Math58,324,-1,-1
Math59,1,1,0
Math60,8,17,9
Math61,253,-1,-1
Math62,130,-1,-1
Math63,1,1,0
Math64,53,-1,-1
Math65,72,70,-2
Math66,114,-1,-1
Math67,269,-1,-1
Math68,70,83,13
Math69,84,64,-20
Math70,2,1,-1
Math71,1,2,1
Math72,43,8,-35
Math73,25,12,-13
Math74,181,-1,-1
Math75,1,1,0
Math76,56,60,4
Math77,6,19,13
Math78,22,46,24
Math79,4,12,8
Math80,62,69,7
Math81,37,46,9
Math82,71,-1,-1
Math83,67,69,2
Math84,11,13,2
Math85,55,-1,-1
Math86,29,40,11
Math87,25,35,10
Math88,1,1,0
Math89,1,1,0
Math90,2,5,3
Math91,2,1,-1
Math92,1,1,0
Math93,1,2,1
Math94,7,11,4
Math95,2,8,6
Math96,7,6,-1
Math97,1,1,0
Math98,5,3,-2
Math99,5,5,0
Math100,8,5,-3
Math101,19,15,-4
Math102,1,1,0
Math103,9,30,21
Math105,3,25,22
Math106,67,8,-59
Mockito1,1,1,0
Mockito2,19,16,-3
Mockito3,3,3,0
Mockito4,193,-1,-1
Mockito6,4,2,-2
Mockito7,32,36,4
Mockito8,49,37,-12
Mockito9,312,-1,-1
Mockito10,7,9,2
Mockito11,1,1,0
Mockito12,28,39,11
Mockito13,86,83,-3
Mockito14,152,-1,-1
Mockito15,120,-1,-1
Mockito16,4,4,0
Mockito17,1,2,1
Mockito18,19,26,7
Mockito19,91,-1,-1
Mockito20,155,-1,-1
Mockito21,2,2,0
Mockito22,8,9,1
Mockito23,75,-1,-1
Mockito24,1,1,0
Mockito25,50,58,8
Mockito26,31,41,10
Mockito27,3,3,0
Mockito28,90,-1,-1
Mockito29,110,-1,-1
Mockito30,4,6,2
Mockito31,1,1,0
Mockito32,262,-1,-1
Mockito33,86,84,-2
Mockito34,35,42,7
Mockito35,8,9,1
Mockito36,161,-1,-1
Mockito37,11,10,-1
Mockito38,116,-1,-1
Time1,1,4,3
Time2,6,6,0
Time3,1,1,0
Time4,11,16,5
Time5,3,2,-1
Time6,12,5,-7
Time7,41,49,8
Time8,15,10,-5
Time9,3,5,2
Time10,138,-1,-1
Time11,423,-1,-1
Time12,18,21,3
Time13,9,13,4
Time14,3,8,5
Time15,1,1,0
Time16,1,1,0
Time17,1,1,0
Time18,5,11,6
Time19,122,-1,-1
Time20,5,6,1
Time21,2,2,0
Time22,7,11,4
Time23,1,1,0
Time24,294,-1,-1
Time25,227,-1,-1
Time26,78,80,2
Time27,156,-1,-1
