Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,27,42,15
Chart2,org.jfree.data.general.DatasetUtilities#755,119,79,-40
Chart2,org.jfree.data.general.DatasetUtilities#757,49,51,2
Chart2,org.jfree.data.general.DatasetUtilities#1242,114,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,140,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,14,13,-1
Chart3,org.jfree.data.time.TimeSeries#1057,7,12,5
Chart4,org.jfree.chart.plot.XYPlot#4493,208,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,3,8,5
Chart6,org.jfree.chart.util.ShapeList#111,20,29,9
Chart7,org.jfree.data.time.TimePeriodValues#300,52,86,34
Chart7,org.jfree.data.time.TimePeriodValues#302,116,87,-29
Chart8,org.jfree.data.time.Week#175,4,15,11
Chart9,org.jfree.data.time.TimeSeries#944,6,10,4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,5,3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,195,97,-98
Chart13,org.jfree.chart.block.BorderArrangement#454,18,21,3
Chart14,org.jfree.chart.plot.XYPlot#2293,11,8,-3
Chart14,org.jfree.chart.plot.XYPlot#2529,31,29,-2
Chart14,org.jfree.chart.plot.CategoryPlot#2166,290,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,15,16,1
Chart15,org.jfree.chart.plot.PiePlot#2051,8,16,8
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,29,13,-16
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,41,11,-30
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,13,5,-8
Chart17,org.jfree.data.time.TimeSeries#857,4,5,1
Chart18,org.jfree.data.DefaultKeyedValues#318,11,7,-4
Chart18,org.jfree.data.DefaultKeyedValues#335,1,16,15
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,5,1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,3,9,6
