Project,MinRank1,MinRank2,Difference
Chart1,43,-1,-1
Chart2,74,-1,-1
Chart3,1,3,2
Chart4,114,-1,-1
Chart5,5,8,3
Chart6,28,-1,-1
Chart7,33,-1,-1
Chart8,2,1,-1
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,41,13,-28
Chart13,114,-1,-1
Chart14,57,15,-42
Chart15,40,-1,-1
Chart16,1,1,0
Chart17,2,2,0
Chart18,2,3,1
Chart19,2,1,-1
Chart20,7,5,-2
Chart21,4,3,-1
Chart22,3,-1,-1
Chart24,3,3,0
Chart25,113,-1,-1
Chart26,189,-1,-1
Closure1,357,-1,-1
Closure2,431,-1,-1
Closure3,423,-1,-1
Closure4,627,-1,-1
Closure5,737,-1,-1
Closure6,1,1,0
Closure7,2,2,0
Closure8,448,-1,-1
Closure9,1,1,0
Closure10,80,-1,-1
Closure11,13,-1,-1
Closure12,21,-1,-1
Closure13,1872,-1,-1
Closure14,1,1,0
Closure15,1363,-1,-1
Closure16,440,-1,-1
Closure17,1890,-1,-1
Closure18,157,-1,-1
Closure19,4,9,5
Closure20,2,2,0
Closure21,60,15,-45
Closure22,11,14,3
Closure23,3,8,5
Closure24,1,1,0
Closure25,355,-1,-1
Closure26,33,11,-22
Closure27,2,3,1
Closure29,913,-1,-1
Closure30,283,-1,-1
Closure31,173,-1,-1
Closure32,687,-1,-1
Closure33,461,-1,-1
Closure34,194,-1,-1
Closure35,6,6,0
Closure36,837,-1,-1
Closure37,125,-1,-1
Closure38,302,-1,-1
Closure39,108,-1,-1
Closure40,1214,-1,-1
Closure41,1738,-1,-1
Closure42,1,1,0
Closure43,546,-1,-1
Closure44,348,-1,-1
Closure45,566,-1,-1
Closure46,1,1,0
Closure47,2144,-1,-1
Closure48,1361,-1,-1
Closure49,26,-1,-1
Closure50,182,-1,-1
Closure51,78,-1,-1
Closure52,183,-1,-1
Closure53,525,-1,-1
Closure54,275,-1,-1
Closure55,495,-1,-1
Closure56,22,-1,-1
Closure57,305,-1,-1
Closure58,5,7,2
Closure59,1316,-1,-1
Closure60,894,-1,-1
Closure61,180,-1,-1
Closure62,1,4,3
Closure63,1,4,3
Closure64,411,-1,-1
Closure65,973,-1,-1
Closure66,513,-1,-1
Closure67,288,-1,-1
Closure68,3,3,0
Closure69,1022,-1,-1
Closure70,768,-1,-1
Closure71,1084,-1,-1
Closure72,463,-1,-1
Closure73,349,-1,-1
Closure74,1283,-1,-1
Closure75,12,9,-3
Closure76,349,-1,-1
Closure77,1189,-1,-1
Closure78,1,1,0
Closure79,425,-1,-1
Closure80,7,-1,-1
Closure81,103,-1,-1
Closure82,427,-1,-1
Closure83,12,10,-2
Closure84,122,-1,-1
Closure85,180,-1,-1
Closure86,1,1,0
Closure87,71,-1,-1
Closure88,589,-1,-1
Closure89,323,-1,-1
Closure90,504,-1,-1
Closure91,941,-1,-1
Closure92,334,-1,-1
Closure93,334,-1,-1
Closure94,1,1,0
Closure95,655,-1,-1
Closure96,19,-1,-1
Closure97,1,1,0
Closure98,22,-1,-1
Closure99,99,17,-82
Closure100,8,-1,-1
Closure101,272,-1,-1
Closure102,301,-1,-1
Closure103,46,-1,-1
Closure104,8,13,5
Closure105,12,7,-5
Closure106,21,-1,-1
Closure107,425,-1,-1
Closure108,111,-1,-1
Closure109,17,-1,-1
Closure110,3,2,-1
Closure111,1,1,0
Closure112,3037,-1,-1
Closure113,19,17,-2
Closure114,567,-1,-1
Closure115,8,8,0
Closure116,11,10,-1
Closure117,528,-1,-1
Closure118,1,2,1
Closure120,12,-1,-1
Closure121,641,-1,-1
Closure122,6,9,3
Closure123,589,-1,-1
