Project,MinRank1,MinRank2,Difference
Chart1,39,42,3
Chart2,87,-1,-1
Chart3,1,3,2
Chart4,153,-1,-1
Chart5,5,8,3
Chart6,50,-1,-1
Chart7,54,-1,-1
Chart8,2,1,-1
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,21,13,-8
Chart13,40,47,7
Chart14,19,6,-13
Chart15,25,29,4
Chart16,1,1,0
Chart17,2,2,0
Chart18,2,3,1
Chart19,2,1,-1
Chart20,7,5,-2
Chart21,5,3,-2
Chart22,3,12,9
Chart24,3,3,0
Chart25,148,-1,-1
Chart26,214,-1,-1
Closure1,395,-1,-1
Closure2,460,-1,-1
Closure3,457,-1,-1
Closure4,664,-1,-1
Closure5,770,-1,-1
Closure6,1,1,0
Closure7,2,2,0
Closure8,480,-1,-1
Closure9,1,1,0
Closure10,116,-1,-1
Closure11,24,-1,-1
Closure12,61,-1,-1
Closure13,1904,-1,-1
Closure14,3,4,1
Closure15,1389,-1,-1
Closure16,472,-1,-1
Closure17,1916,-1,-1
Closure18,192,-1,-1
Closure19,1,1,0
Closure20,4,2,-2
Closure21,6,6,0
Closure22,4,4,0
Closure23,3,8,5
Closure24,1,1,0
Closure25,389,-1,-1
Closure26,22,5,-17
Closure27,2,3,1
Closure29,947,-1,-1
Closure30,319,-1,-1
Closure31,209,-1,-1
Closure32,39,35,-4
Closure33,490,-1,-1
Closure34,221,-1,-1
Closure35,6,6,0
Closure36,873,-1,-1
Closure37,165,-1,-1
Closure38,332,-1,-1
Closure39,20,21,1
Closure40,1244,-1,-1
Closure41,1763,-1,-1
Closure42,1,1,0
Closure43,581,-1,-1
Closure44,378,-1,-1
Closure45,595,-1,-1
Closure46,1,1,0
Closure47,2168,-1,-1
Closure48,1390,-1,-1
Closure49,64,-1,-1
Closure50,219,-1,-1
Closure51,97,-1,-1
Closure52,211,-1,-1
Closure53,45,47,2
Closure54,57,55,-2
Closure55,525,-1,-1
Closure56,64,-1,-1
Closure57,20,25,5
Closure58,5,7,2
Closure59,1347,-1,-1
Closure60,20,19,-1
Closure61,209,-1,-1
Closure62,1,4,3
Closure63,1,4,3
Closure64,443,-1,-1
Closure65,996,-1,-1
Closure66,546,-1,-1
Closure67,323,-1,-1
Closure68,3,3,0
Closure69,1053,-1,-1
Closure70,801,-1,-1
Closure71,1115,-1,-1
Closure72,495,-1,-1
Closure73,385,-1,-1
Closure74,1303,-1,-1
Closure75,8,8,0
Closure76,383,-1,-1
Closure77,1207,-1,-1
Closure78,1,1,0
Closure79,43,51,8
Closure80,10,13,3
Closure81,142,-1,-1
Closure82,464,-1,-1
Closure83,11,10,-1
Closure84,159,-1,-1
Closure85,206,-1,-1
Closure86,2,2,0
Closure87,79,-1,-1
Closure88,624,-1,-1
Closure89,358,-1,-1
Closure90,49,46,-3
Closure91,965,-1,-1
Closure92,367,-1,-1
Closure93,367,-1,-1
Closure94,5,4,-1
Closure95,690,-1,-1
Closure96,51,-1,-1
Closure97,11,1,-10
Closure98,62,-1,-1
Closure99,21,19,-2
Closure100,6,7,1
Closure101,311,-1,-1
Closure102,341,-1,-1
Closure103,51,-1,-1
Closure104,7,13,6
Closure105,34,7,-27
Closure106,23,-1,-1
Closure107,458,-1,-1
Closure108,149,-1,-1
Closure109,16,33,17
Closure110,3,2,-1
Closure111,1,1,0
Closure112,3063,-1,-1
Closure113,12,17,5
Closure114,600,-1,-1
Closure115,8,8,0
Closure116,22,30,8
Closure117,562,-1,-1
Closure118,1,2,1
Closure120,28,-1,-1
Closure121,671,-1,-1
Closure122,7,9,2
Closure123,622,-1,-1
Closure124,10,10,0
Closure125,787,-1,-1
Closure126,23,5,-18
Closure127,419,-1,-1
Closure128,177,-1,-1
Closure129,668,-1,-1
Closure130,262,-1,-1
Closure131,359,-1,-1
Closure132,314,-1,-1
Closure133,16,-1,-1
Lang1,3,3,0
Lang2,3,3,0
Lang3,7,3,-4
Lang4,4,2,-2
Lang5,2,1,-1
Lang6,38,-1,-1
Lang7,10,-1,-1
Lang8,5,6,1
Lang9,181,-1,-1
Lang10,61,56,-5
Lang11,4,3,-1
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,9,-1,-1
Lang16,42,27,-15
Lang17,15,-1,-1
Lang18,42,41,-1
Lang19,6,8,2
Lang20,3,8,5
Lang21,1,2,1
Lang22,31,31,0
Lang24,70,-1,-1
Lang26,10,7,-3
Lang27,86,-1,-1
Lang28,2,3,1
Lang30,1,8,7
Lang31,4,4,0
Lang32,14,26,12
Lang33,3,7,4
Lang34,84,-1,-1
Lang35,2,2,0
Lang36,36,42,6
Lang37,1,6,5
Lang38,1,3,2
Lang39,35,27,-8
Lang40,1,2,1
Lang41,5,6,1
Lang42,13,13,0
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,8,5,-3
Lang48,2,2,0
Lang49,1,1,0
Lang50,16,8,-8
Lang53,32,16,-16
Lang54,2,3,1
Lang55,4,7,3
Lang57,3,6,3
Lang58,4,20,16
Lang59,1,6,5
Lang60,2,2,0
Lang61,12,21,9
Lang62,3,4,1
Lang63,1,1,0
Lang64,3,4,1
Lang65,8,7,-1
Math1,9,8,-1
Math2,40,44,4
Math3,5,3,-2
Math4,13,17,4
Math5,1,1,0
Math6,52,-1,-1
Math7,43,42,-1
Math8,2,4,2
Math9,1,1,0
Math10,13,12,-1
Math11,51,31,-20
Math13,96,-1,-1
Math14,71,-1,-1
Math15,141,-1,-1
Math16,1,1,0
Math17,81,-1,-1
Math18,10,14,4
Math19,55,56,1
Math20,35,-1,-1
Math21,52,41,-11
Math22,1,1,0
Math23,39,-1,-1
Math24,56,-1,-1
Math25,1,1,0
Math26,46,38,-8
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,92,41,-51
Math31,96,-1,-1
Math32,1,4,3
Math33,73,44,-29
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,6,6,0
Math38,7,5,-2
Math39,128,-1,-1
Math40,39,33,-6
Math41,31,43,12
Math42,92,-1,-1
Math43,89,-1,-1
Math44,14,14,0
Math45,1,1,0
Math46,2,1,-1
Math47,2,2,0
Math48,43,-1,-1
Math49,61,7,-54
Math50,1,1,0
Math51,28,30,2
Math52,7,22,15
Math53,1,1,0
Math54,359,-1,-1
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,307,-1,-1
Math59,1,2,1
Math60,37,36,-1
Math61,1,1,0
Math62,105,-1,-1
Math63,1,1,0
Math64,45,-1,-1
Math65,14,41,27
Math66,53,54,1
Math67,14,8,-6
Math68,36,-1,-1
Math69,63,44,-19
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,1,1,0
Math74,128,-1,-1
Math75,1,1,0
Math76,71,-1,-1
Math77,1,19,18
Math78,14,-1,-1
Math79,28,29,1
Math80,4,14,10
Math81,1,10,9
Math82,79,-1,-1
Math83,10,40,30
Math84,35,45,10
Math85,56,-1,-1
Math86,70,-1,-1
Math87,35,-1,-1
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,9,6,-3
Math95,2,15,13
Math96,7,5,-2
Math97,1,1,0
Math98,1,4,3
Math99,3,4,1
Math100,16,9,-7
Math101,13,12,-1
Math102,4,3,-1
Math103,33,32,-1
Math105,3,25,22
Math106,14,10,-4
Mockito1,2,2,0
Mockito2,9,8,-1
Mockito3,1,1,0
Mockito4,6,7,1
Mockito6,2,1,-1
Mockito7,39,50,11
Mockito8,29,31,2
Mockito9,283,-1,-1
Mockito10,9,12,3
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,114,-1,-1
Mockito14,113,-1,-1
Mockito15,90,-1,-1
Mockito16,5,4,-1
Mockito17,2,4,2
Mockito18,3,5,2
Mockito19,9,12,3
Mockito20,124,-1,-1
Mockito21,1,1,0
Mockito22,15,11,-4
Mockito23,100,-1,-1
Mockito24,1,1,0
Mockito25,106,-1,-1
Mockito26,223,-1,-1
Mockito27,23,37,14
Mockito28,32,-1,-1
Mockito29,18,31,13
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,2,2,0
Mockito33,122,-1,-1
Mockito34,116,-1,-1
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,5,4,-1
Mockito38,5,5,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,18,30,12
Time5,27,26,-1
Time6,6,4,-2
Time7,11,17,6
Time8,30,24,-6
Time9,3,3,0
Time10,68,-1,-1
Time11,405,-1,-1
Time12,4,7,3
Time13,20,19,-1
Time14,1,5,4
Time15,2,2,0
Time16,15,7,-8
Time17,1,5,4
Time18,2,3,1
Time19,48,-1,-1
Time20,549,-1,-1
Time21,25,33,8
Time22,15,16,1
Time23,16,41,25
Time24,252,-1,-1
Time25,189,-1,-1
Time26,173,-1,-1
Time27,118,-1,-1
