Project,MinRank1,MinRank2,Difference
Chart1,32,42,10
Chart2,105,-1,-1
Chart3,1,3,2
Chart4,10,17,7
Chart5,1,8,7
Chart6,5,16,11
Chart7,54,81,27
Chart8,2,1,-1
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,25,13,-12
Chart13,46,47,1
Chart14,249,-1,-1
Chart15,7,29,22
Chart16,9,1,-8
Chart17,1,2,1
Chart18,2,3,1
Chart19,115,-1,-1
Chart20,5,5,0
Chart21,7,3,-4
Chart22,41,61,20
Chart24,3,3,0
Chart25,175,-1,-1
Chart26,228,-1,-1
Closure1,415,-1,-1
Closure2,493,-1,-1
Closure3,479,-1,-1
Closure4,690,-1,-1
Closure5,793,-1,-1
Closure6,3471,-1,-1
Closure7,377,-1,-1
Closure8,500,-1,-1
Closure9,1,1,0
Closure10,151,-1,-1
Closure11,40,-1,-1
Closure12,88,-1,-1
Closure13,1928,-1,-1
Closure14,1,1,0
Closure15,1410,-1,-1
Closure16,1,2,1
Closure17,1952,-1,-1
Closure18,215,-1,-1
Closure19,289,-1,-1
Closure20,6,2,-4
Closure21,316,-1,-1
Closure22,232,-1,-1
Closure23,4,8,4
Closure24,1,1,0
Closure25,408,-1,-1
Closure26,4013,-1,-1
Closure27,50,35,-15
Closure29,972,-1,-1
Closure30,343,-1,-1
Closure31,241,-1,-1
Closure32,743,-1,-1
Closure33,525,-1,-1
Closure34,5,6,1
Closure35,7,6,-1
Closure36,898,-1,-1
Closure37,177,-1,-1
Closure38,2,7,5
Closure39,170,-1,-1
Closure40,18,35,17
Closure41,1798,-1,-1
Closure42,1,1,0
Closure43,616,-1,-1
Closure44,407,-1,-1
Closure45,613,-1,-1
Closure46,2,1,-1
Closure47,2180,-1,-1
Closure48,1415,-1,-1
Closure49,93,-1,-1
Closure50,76,76,0
Closure51,2,13,11
Closure52,246,-1,-1
Closure53,42,47,5
Closure54,345,-1,-1
Closure55,542,-1,-1
Closure56,75,-1,-1
Closure57,371,-1,-1
Closure58,4,7,3
Closure59,1377,-1,-1
Closure60,956,-1,-1
Closure61,243,-1,-1
Closure62,5,13,8
Closure63,5,13,8
Closure64,478,-1,-1
Closure65,1013,-1,-1
Closure66,578,-1,-1
Closure67,350,-1,-1
Closure68,7,3,-4
Closure69,1083,-1,-1
Closure70,827,-1,-1
Closure71,1142,-1,-1
Closure72,518,-1,-1
Closure73,398,-1,-1
Closure74,11,10,-1
Closure75,825,-1,-1
Closure76,79,79,0
Closure77,1215,-1,-1
Closure78,27,1,-26
Closure79,485,-1,-1
Closure80,68,-1,-1
Closure81,1,1,0
Closure82,488,-1,-1
Closure83,10,10,0
Closure84,8,9,1
Closure85,238,86,-152
Closure86,150,-1,-1
Closure87,133,-1,-1
Closure88,69,69,0
Closure89,382,-1,-1
Closure90,573,-1,-1
Closure91,991,-1,-1
Closure92,80,85,5
Closure93,80,85,5
Closure94,2236,-1,-1
Closure95,713,-1,-1
Closure96,98,-1,-1
Closure97,11,1,-10
Closure98,85,-1,-1
Closure99,18,4,-14
Closure100,76,-1,-1
Closure101,340,-1,-1
Closure102,369,-1,-1
Closure103,71,-1,-1
Closure104,167,-1,-1
Closure105,44,7,-37
Closure106,24,-1,-1
Closure107,479,-1,-1
Closure108,149,-1,-1
Closure109,74,-1,-1
Closure110,678,-1,-1
Closure111,1,1,0
Closure112,49,64,15
Closure113,3,17,14
Closure114,626,-1,-1
Closure115,4,8,4
Closure116,1,3,2
Closure117,592,-1,-1
Closure118,1,2,1
Closure120,44,-1,-1
Closure121,692,-1,-1
Closure122,155,-1,-1
Closure123,636,-1,-1
Closure124,7,10,3
Closure125,823,-1,-1
Closure126,26,5,-21
Closure127,441,-1,-1
Closure128,217,-1,-1
Closure129,685,-1,-1
Closure130,282,-1,-1
Closure131,385,-1,-1
Closure132,263,80,-183
Closure133,24,-1,-1
Lang1,4,3,-1
Lang2,3,3,0
Lang3,27,3,-24
Lang4,3,2,-1
Lang5,2,1,-1
Lang6,92,-1,-1
Lang7,10,-1,-1
Lang8,85,-1,-1
Lang9,52,55,3
Lang10,17,17,0
Lang11,4,3,-1
Lang12,1,4,3
Lang13,2,5,3
Lang14,1,4,3
Lang15,5,12,7
Lang16,44,27,-17
Lang17,84,-1,-1
Lang18,21,41,20
Lang19,2,6,4
Lang20,4,27,23
Lang21,1,2,1
Lang22,11,14,3
Lang24,16,64,48
Lang26,7,7,0
Lang27,113,-1,-1
