Project,MinRank1,MinRank2,Difference
Chart1,140,-1,-1
Chart2,110,108,-2
Chart3,17,86,69
Chart4,210,-1,-1
Chart5,3,44,41
Chart6,5,38,33
Chart7,20,80,60
Chart8,7,8,1
Chart9,123,-1,-1
Chart10,1,3,2
Chart11,1,5,4
Chart12,259,-1,-1
Chart13,172,-1,-1
Chart14,259,-1,-1
Chart15,143,-1,-1
Chart16,19,19,0
Chart17,6,63,57
Chart18,2,20,18
Chart19,174,-1,-1
Chart20,8,22,14
Chart21,10,106,96
Chart22,37,65,28
Chart24,3,10,7
Chart25,203,-1,-1
Chart26,276,-1,-1
Closure1,456,-1,-1
Closure2,516,-1,-1
Closure3,521,-1,-1
Closure4,725,-1,-1
Closure5,828,-1,-1
Closure6,3464,-1,-1
Closure7,384,-1,-1
Closure8,543,-1,-1
Closure9,3,10,7
Closure10,184,-1,-1
Closure11,121,-1,-1
Closure12,121,-1,-1
Closure13,1965,-1,-1
Closure14,364,-1,-1
Closure15,1448,-1,-1
Closure16,540,-1,-1
Closure17,1945,-1,-1
Closure18,258,-1,-1
Closure19,319,-1,-1
Closure20,674,-1,-1
Closure21,349,-1,-1
Closure22,266,-1,-1
Closure23,688,-1,-1
Closure24,340,-1,-1
Closure25,446,-1,-1
Closure26,4042,-1,-1
Closure27,70,43,-27
Closure29,1011,-1,-1
Closure30,381,-1,-1
Closure31,272,-1,-1
Closure32,783,-1,-1
Closure33,548,-1,-1
Closure34,51,26,-25
Closure35,762,-1,-1
Closure36,932,-1,-1
Closure37,222,-1,-1
Closure38,17,107,90
Closure39,201,-1,-1
Closure40,1308,-1,-1
Closure41,1798,-1,-1
Closure42,409,-1,-1
Closure43,631,-1,-1
Closure44,19,90,71
Closure45,660,-1,-1
Closure46,469,-1,-1
Closure47,2197,-1,-1
Closure48,1425,-1,-1
Closure49,126,-1,-1
Closure50,283,-1,-1
Closure51,6,104,98
Closure52,276,-1,-1
Closure53,621,-1,-1
Closure54,369,-1,-1
Closure55,591,-1,-1
Closure56,125,-1,-1
Closure57,385,-1,-1
Closure58,453,-1,-1
Closure59,1412,-1,-1
Closure60,969,-1,-1
Closure61,282,-1,-1
Closure62,11,47,36
Closure63,11,47,36
Closure64,511,-1,-1
Closure65,1027,-1,-1
Closure66,589,-1,-1
Closure67,14,99,85
Closure68,496,-1,-1
Closure69,1098,-1,-1
Closure70,842,-1,-1
Closure71,1166,-1,-1
Closure72,559,-1,-1
Closure73,427,-1,-1
Closure74,1324,-1,-1
Closure75,849,-1,-1
Closure76,435,-1,-1
Closure77,1221,-1,-1
Closure78,2288,-1,-1
Closure79,506,-1,-1
Closure80,121,-1,-1
Closure81,200,-1,-1
Closure82,517,-1,-1
Closure83,53,96,43
Closure84,11,107,96
Closure85,272,-1,-1
Closure86,195,-1,-1
Closure87,170,-1,-1
Closure88,677,-1,-1
Closure89,415,-1,-1
Closure90,591,-1,-1
Closure91,36,62,26
Closure92,414,-1,-1
Closure93,414,-1,-1
Closure94,2226,-1,-1
Closure95,735,-1,-1
Closure96,128,-1,-1
Closure97,1200,-1,-1
Closure98,122,-1,-1
Closure99,61,28,-33
Closure100,122,-1,-1
Closure101,367,-1,-1
Closure102,397,-1,-1
Closure103,146,-1,-1
Closure104,196,-1,-1
Closure105,997,-1,-1
Closure106,132,-1,-1
Closure107,509,-1,-1
Closure108,214,-1,-1
Closure109,110,-1,-1
Closure110,710,-1,-1
Closure111,371,-1,-1
Closure112,3109,-1,-1
Closure113,158,-1,-1
Closure114,660,-1,-1
Closure115,687,-1,-1
Closure116,790,-1,-1
Closure117,611,-1,-1
Closure118,2262,-1,-1
Closure120,124,-1,-1
Closure121,733,-1,-1
Closure122,206,-1,-1
Closure123,663,-1,-1
Closure124,183,-1,-1
Closure125,835,-1,-1
Closure126,1499,-1,-1
Closure127,483,-1,-1
Closure128,244,-1,-1
Closure129,733,-1,-1
Closure130,323,-1,-1
Closure131,424,-1,-1
Closure132,384,-1,-1
Closure133,105,-1,-1
Lang1,4,33,29
Lang2,8,4,-4
Lang3,31,48,17
Lang4,1,3,2
Lang5,3,6,3
Lang6,17,71,54
Lang7,120,-1,-1
Lang8,135,-1,-1
Lang9,45,27,-18
Lang10,8,48,40
Lang11,7,6,-1
Lang12,1,4,3
Lang13,3,33,30
Lang14,1,5,4
Lang15,122,-1,-1
Lang16,44,47,3
Lang17,4,56,52
Lang18,16,47,31
Lang19,1,14,13
Lang20,19,28,9
Lang21,3,4,1
Lang22,9,22,13
Lang24,129,-1,-1
Lang26,47,87,40
Lang27,136,-1,-1
Lang28,4,30,26
Lang30,2,30,28
Lang31,2,26,24
Lang32,13,24,11
Lang33,5,58,53
Lang34,2,118,116
Lang35,2,22,20
Lang36,8,42,34
Lang37,1,25,24
Lang38,14,103,89
Lang39,35,26,-9
Lang40,1,4,3
Lang41,29,38,9
Lang42,5,7,2
Lang43,9,27,18
Lang44,2,3,1
Lang45,17,11,-6
Lang46,1,3,2
Lang47,38,35,-3
Lang48,5,10,5
Lang49,8,28,20
Lang50,141,-1,-1
Lang53,32,16,-16
Lang54,9,14,5
Lang55,3,14,11
Lang57,3,6,3
Lang58,3,41,38
Lang59,5,12,7
Lang60,19,27,8
Lang61,6,27,21
Lang62,24,30,6
Lang63,4,25,21
Lang64,15,40,25
Lang65,4,9,5
Math1,316,-1,-1
Math2,35,44,9
Math3,5,3,-2
Math4,149,91,-58
Math5,4,14,10
Math6,48,23,-25
Math7,255,-1,-1
Math8,20,26,6
Math9,7,10,3
Math10,269,-1,-1
Math11,4,40,36
Math13,140,-1,-1
Math14,127,-1,-1
Math15,202,-1,-1
Math16,421,-1,-1
Math17,140,-1,-1
Math18,444,-1,-1
Math19,261,-1,-1
Math20,120,-1,-1
Math21,128,-1,-1
Math22,62,74,12
Math23,121,-1,-1
Math24,130,-1,-1
Math25,4,46,42
Math26,233,-1,-1
Math27,15,28,13
Math28,154,-1,-1
Math29,127,-1,-1
Math30,24,58,34
Math31,15,64,49
Math32,129,-1,-1
Math33,168,-1,-1
Math34,11,32,21
Math35,10,3,-7
Math36,329,-1,-1
Math37,206,-1,-1
Math38,160,-1,-1
Math39,193,-1,-1
Math40,71,70,-1
Math41,47,81,34
Math42,162,-1,-1
Math43,8,35,27
Math44,123,-1,-1
Math45,1,5,4
