Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,150,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,119,108,-11
Chart2,org.jfree.data.general.DatasetUtilities#757,118,110,-8
Chart2,org.jfree.data.general.DatasetUtilities#1242,110,124,14
Chart2,org.jfree.data.general.DatasetUtilities#1243,124,125,1
Chart3,org.jfree.data.time.TimeSeries#1056,51,86,35
Chart3,org.jfree.data.time.TimeSeries#1057,17,87,70
Chart4,org.jfree.chart.plot.XYPlot#4493,220,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,3,44,41
Chart6,org.jfree.chart.util.ShapeList#111,5,38,33
Chart7,org.jfree.data.time.TimePeriodValues#300,20,80,60
Chart7,org.jfree.data.time.TimePeriodValues#302,102,81,-21
Chart8,org.jfree.data.time.Week#175,7,8,1
Chart9,org.jfree.data.time.TimeSeries#944,133,-1,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,5,4
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,269,-1,-1
Chart13,org.jfree.chart.block.BorderArrangement#454,177,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,261,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,274,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2166,270,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,279,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,153,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,19,19,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,25,20,-5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,37,37,0
Chart17,org.jfree.data.time.TimeSeries#857,6,63,57
Chart18,org.jfree.data.DefaultKeyedValues#318,5,20,15
Chart18,org.jfree.data.DefaultKeyedValues#335,2,26,24
Chart18,org.jfree.data.DefaultKeyedValues2D#455,29,55,26
Chart18,org.jfree.data.DefaultKeyedValues2D#458,28,58,30
Chart18,org.jfree.data.DefaultKeyedValues2D#460,46,60,14
Chart19,org.jfree.chart.plot.CategoryPlot#698,251,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,184,-1,-1
Chart20,org.jfree.chart.plot.ValueMarker#95,8,22,14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,13,106,93
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,101,107,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,115,108,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,65,109,44
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,109,110,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,107,111,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,64,112,48
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,105,113,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,126,114,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,129,115,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,85,116,31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,119,117,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,131,118,-13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,128,119,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,92,120,28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,106,121,15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,121,122,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,123,123,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,80,124,44
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,31,129,98
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,74,130,56
Chart22,org.jfree.data.KeyedObjects2D#231,55,65,10
Chart22,org.jfree.data.KeyedObjects2D#233,57,67,10
Chart22,org.jfree.data.KeyedObjects2D#378,37,73,36
Chart22,org.jfree.data.KeyedObjects2D#345,75,113,38
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,3,10,7
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,607,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,213,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,220,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,652,-1,-1
Chart26,org.jfree.chart.axis.Axis#1192,286,-1,-1
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,466,-1,-1
Closure2,com.google.javascript.jscomp.TypeCheck#1574,526,-1,-1
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,531,-1,-1
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,3721,-1,-1
Closure4,com.google.javascript.rhino.jstype.NamedType#190,735,-1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,838,-1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,1689,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#366,3941,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#367,4145,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#405,4008,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#406,3470,-1,-1
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,391,-1,-1
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,552,-1,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,3,10,7
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,16,11,-5
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,5,12,7
Closure10,com.google.javascript.jscomp.NodeUtil#1417,194,-1,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1314,314,-1,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1315,131,-1,-1
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,131,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,1975,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,2732,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2612,-1,-1
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,374,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,1547,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,1457,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,1855,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#174,6930,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#180,1979,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#468,550,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#175,7237,-1,-1
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,2298,-1,-1
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,1954,-1,-1
Closure18,com.google.javascript.jscomp.Compiler#1288,268,-1,-1
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,329,-1,-1
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,684,-1,-1
