Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,28,42,14
Chart2,org.jfree.data.general.DatasetUtilities#755,69,102,33
Chart2,org.jfree.data.general.DatasetUtilities#757,67,104,37
Chart2,org.jfree.data.general.DatasetUtilities#1242,47,92,45
Chart2,org.jfree.data.general.DatasetUtilities#1243,66,93,27
Chart3,org.jfree.data.time.TimeSeries#1056,7,3,-4
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,202,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,70,104,34
Chart7,org.jfree.data.time.TimePeriodValues#300,48,81,33
Chart7,org.jfree.data.time.TimePeriodValues#302,87,82,-5
Chart8,org.jfree.data.time.Week#175,2,1,-1
Chart9,org.jfree.data.time.TimeSeries#944,3,14,11
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,5,4
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,25,13,-12
Chart13,org.jfree.chart.block.BorderArrangement#454,48,47,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,26,19,-7
Chart14,org.jfree.chart.plot.XYPlot#2529,29,26,-3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,25,6,-19
Chart14,org.jfree.chart.plot.CategoryPlot#2448,30,13,-17
Chart15,org.jfree.chart.plot.PiePlot#2051,7,29,22
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,9,4,-5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,25,5,-20
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,1,2,1
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,6,3,-3
Chart18,org.jfree.data.DefaultKeyedValues#335,1,8,7
Chart18,org.jfree.data.DefaultKeyedValues2D#455,5,11,6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,4,14,10
Chart18,org.jfree.data.DefaultKeyedValues2D#460,17,16,-1
Chart19,org.jfree.chart.plot.CategoryPlot#698,3,1,-2
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,4,5,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,33,80,47
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,78,81,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,91,82,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,61,83,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,86,84,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,84,85,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,60,86,26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,81,87,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,99,88,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,102,89,-13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,21,24,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,19,3,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,116,4,-112
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,23,5,-18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,68,90,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,83,91,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,95,92,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,97,93,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,17,12,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,6,13,7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,14,14,0
Chart22,org.jfree.data.KeyedObjects2D#231,27,44,17
Chart22,org.jfree.data.KeyedObjects2D#233,29,46,17
Chart22,org.jfree.data.KeyedObjects2D#378,1,31,30
Chart22,org.jfree.data.KeyedObjects2D#345,9,22,13
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,3,3,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,615,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,214,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,222,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,664,-1,-1
Chart26,org.jfree.chart.axis.Axis#1192,290,-1,-1
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,455,-1,-1
Closure2,com.google.javascript.jscomp.TypeCheck#1574,22,37,15
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,503,-1,-1
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,3699,-1,-1
Closure4,com.google.javascript.rhino.jstype.NamedType#190,719,-1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,819,-1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,1659,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#366,118,116,-2
Closure6,com.google.javascript.jscomp.TypeValidator#367,2,1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#405,4013,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#406,3,2,-1
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,2,2,0
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,529,-1,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,1,11,10
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,4,1,-3
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,3,12,9
Closure10,com.google.javascript.jscomp.NodeUtil#1417,177,-1,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1314,307,-1,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1315,120,-1,-1
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,88,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,1954,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,2713,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2592,-1,-1
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,3,5,2
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,1521,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,1431,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,1831,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#174,6926,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#180,1953,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#468,526,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#175,7233,-1,-1
