Project,MinRank1,MinRank2,Difference
Chart1,53,-1,-1
Chart2,86,-1,-1
Chart3,1,3,2
Chart4,125,-1,-1
Chart5,2,8,6
Chart6,28,-1,-1
Chart7,40,-1,-1
Chart8,2,1,-1
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,21,13,-8
Chart13,119,-1,-1
Chart14,19,6,-13
Chart15,51,29,-22
Chart16,1,2,1
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,7,5,-2
Chart21,6,3,-3
Chart22,9,22,13
Chart24,3,3,0
Chart25,126,-1,-1
Chart26,200,-1,-1
Closure1,367,-1,-1
Closure2,439,-1,-1
Closure3,432,-1,-1
Closure4,635,-1,-1
Closure5,746,-1,-1
Closure6,1,1,0
Closure7,2,2,0
Closure8,456,-1,-1
Closure9,1,1,0
Closure10,93,-1,-1
Closure11,25,-1,-1
Closure12,31,-1,-1
Closure13,1882,-1,-1
Closure14,5,5,0
Closure15,1370,-1,-1
Closure16,449,-1,-1
Closure17,1897,-1,-1
Closure18,163,-1,-1
Closure19,1,1,0
Closure20,2,2,0
Closure21,3,3,0
Closure22,1,1,0
Closure23,3,8,5
Closure24,1,1,0
Closure25,364,-1,-1
Closure26,48,16,-32
Closure27,1,1,0
Closure29,923,-1,-1
Closure30,293,-1,-1
Closure31,179,-1,-1
Closure32,695,-1,-1
Closure33,466,-1,-1
Closure34,203,-1,-1
Closure35,7,6,-1
Closure36,847,-1,-1
Closure37,134,-1,-1
Closure38,310,-1,-1
Closure39,13,19,6
Closure40,1223,-1,-1
Closure41,1745,-1,-1
Closure42,1,1,0
Closure43,554,-1,-1
Closure44,356,-1,-1
Closure45,572,-1,-1
Closure46,6,13,7
Closure47,2155,-1,-1
Closure48,1369,-1,-1
Closure49,36,-1,-1
Closure50,192,-1,-1
Closure51,85,-1,-1
Closure52,191,-1,-1
Closure53,531,-1,-1
Closure54,283,-1,-1
Closure55,504,-1,-1
Closure56,24,-1,-1
Closure57,20,25,5
Closure58,3,7,4
Closure59,1325,-1,-1
Closure60,21,21,0
Closure61,188,-1,-1
Closure62,1,4,3
Closure63,1,4,3
Closure64,420,-1,-1
Closure65,2,1,-1
Closure66,522,-1,-1
Closure67,296,-1,-1
Closure68,6,3,-3
Closure69,1031,-1,-1
Closure70,778,-1,-1
Closure71,1092,-1,-1
Closure72,471,-1,-1
Closure73,358,-1,-1
Closure74,1288,-1,-1
Closure75,2,1,-1
Closure76,357,-1,-1
Closure77,1195,-1,-1
Closure78,1,1,0
Closure79,435,-1,-1
Closure80,7,10,3
Closure81,114,-1,-1
Closure82,436,-1,-1
Closure83,10,10,0
Closure84,130,-1,-1
Closure85,193,-1,-1
Closure86,14,21,7
Closure87,72,-1,-1
Closure88,595,-1,-1
Closure89,330,-1,-1
Closure90,512,-1,-1
Closure91,947,-1,-1
Closure92,343,-1,-1
Closure93,343,-1,-1
Closure94,12,5,-7
Closure95,665,-1,-1
Closure96,36,-1,-1
Closure97,11,1,-10
Closure98,32,-1,-1
Closure99,18,16,-2
Closure100,1,6,5
Closure101,282,-1,-1
Closure102,311,-1,-1
Closure103,46,-1,-1
Closure104,7,13,6
Closure105,17,7,-10
Closure106,2,24,22
Closure107,433,-1,-1
Closure108,118,-1,-1
Closure109,35,-1,-1
Closure110,5,2,-3
Closure111,1,1,0
Closure112,3046,-1,-1
Closure113,7,17,10
Closure114,575,-1,-1
Closure115,7,8,1
Closure116,718,-1,-1
Closure117,536,-1,-1
Closure118,2,2,0
Closure120,28,-1,-1
Closure121,650,-1,-1
Closure122,2,9,7
Closure123,599,-1,-1
Closure124,9,10,1
Closure125,765,-1,-1
Closure126,13,5,-8
Closure127,395,-1,-1
Closure128,157,-1,-1
Closure129,642,-1,-1
Closure130,233,-1,-1
Closure131,336,-1,-1
Closure132,294,-1,-1
Closure133,22,-1,-1
Lang1,3,3,0
Lang2,4,3,-1
Lang3,7,3,-4
Lang4,2,2,0
Lang5,2,1,-1
Lang6,32,-1,-1
Lang7,10,-1,-1
Lang8,6,10,4
Lang9,169,-1,-1
Lang10,38,-1,-1
Lang11,5,3,-2
Lang12,2,5,3
Lang13,1,5,4
Lang14,1,4,3
Lang15,35,-1,-1
Lang16,49,27,-22
Lang17,15,-1,-1
Lang18,46,-1,-1
Lang19,2,8,6
Lang20,2,8,6
Lang21,1,2,1
Lang22,32,-1,-1
Lang24,45,-1,-1
Lang26,7,7,0
Lang27,58,-1,-1
Lang28,2,3,1
Lang30,4,10,6
Lang31,3,6,3
Lang32,22,26,4
Lang33,3,7,4
Lang34,59,-1,-1
Lang35,3,2,-1
Lang36,36,-1,-1
Lang37,1,6,5
Lang38,1,3,2
Lang39,45,27,-18
Lang40,1,2,1
Lang41,2,6,4
Lang42,13,13,0
Lang43,4,6,2
Lang44,2,3,1
Lang45,17,10,-7
Lang46,1,1,0
Lang47,8,5,-3
Lang48,2,2,0
Lang49,1,1,0
Lang50,7,2,-5
Lang53,25,16,-9
Lang54,3,3,0
Lang55,2,7,5
Lang57,3,6,3
Lang58,5,20,15
Lang59,1,6,5
Lang60,2,2,0
Lang61,5,21,16
Lang62,3,4,1
Lang63,1,1,0
Lang64,2,4,2
Lang65,4,7,3
Math1,6,6,0
Math2,55,-1,-1
Math3,5,3,-2
Math4,13,17,4
Math5,1,1,0
Math6,60,-1,-1
Math7,170,-1,-1
Math8,2,4,2
Math9,1,1,0
Math10,13,12,-1
Math11,65,-1,-1
Math13,67,-1,-1
Math14,39,-1,-1
Math15,123,-1,-1
Math16,1,1,0
Math17,57,-1,-1
Math18,38,14,-24
Math19,210,-1,-1
Math20,9,-1,-1
Math21,26,-1,-1
Math22,1,1,0
Math23,31,-1,-1
Math24,43,-1,-1
Math25,1,1,0
Math26,199,-1,-1
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,121,-1,-1
Math31,61,-1,-1
Math32,1,4,3
Math33,83,-1,-1
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,5,4,-1
Math38,7,5,-2
Math39,109,-1,-1
Math40,118,-1,-1
Math41,57,-1,-1
Math42,75,-1,-1
Math43,63,-1,-1
Math44,13,14,1
Math45,1,1,0
Math46,5,2,-3
Math47,2,2,0
Math48,26,-1,-1
Math49,35,7,-28
Math50,1,1,0
Math51,32,30,-2
Math52,7,22,15
Math53,1,1,0
Math54,350,-1,-1
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,280,-1,-1
Math59,1,2,1
Math60,54,-1,-1
Math61,1,1,0
Math62,79,-1,-1
Math63,1,1,0
Math64,21,-1,-1
Math65,222,-1,-1
Math66,50,-1,-1
Math67,2,8,6
Math68,7,-1,-1
Math69,69,-1,-1
Math70,1,1,0
Math71,1,1,0
Math72,4,1,-3
Math73,3,1,-2
Math74,116,-1,-1
Math75,1,1,0
Math76,63,-1,-1
Math77,1,19,18
Math78,28,-1,-1
Math79,29,29,0
Math80,4,14,10
Math81,1,10,9
Math82,57,-1,-1
Math83,34,-1,-1
Math84,13,-1,-1
Math85,22,-1,-1
Math86,34,-1,-1
Math87,9,-1,-1
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,1,2,1
Math94,7,6,-1
Math95,1,15,14
Math96,6,5,-1
Math97,1,1,0
Math98,1,4,3
Math99,3,4,1
Math100,15,9,-6
Math101,10,12,2
Math102,4,3,-1
Math103,31,-1,-1
Math105,3,25,22
Math106,15,10,-5
Mockito1,2,2,0
Mockito2,10,8,-2
Mockito3,5,8,3
Mockito4,4,5,1
Mockito6,1,1,0
Mockito7,95,-1,-1
Mockito8,59,-1,-1
Mockito9,262,-1,-1
Mockito10,10,12,2
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,89,-1,-1
Mockito14,84,-1,-1
Mockito15,64,-1,-1
Mockito16,6,4,-2
Mockito17,1,4,3
