Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,144,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,41,62,21
Chart2,org.jfree.data.general.DatasetUtilities#1242,34,51,17
Chart2,org.jfree.data.general.DatasetUtilities#1243,150,100,-50
Chart3,org.jfree.data.time.TimeSeries#1056,6,4,-2
Chart3,org.jfree.data.time.TimeSeries#1057,1,2,1
Chart4,org.jfree.chart.plot.XYPlot#4493,191,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,5,9,4
Chart6,org.jfree.chart.util.ShapeList#111,41,56,15
Chart7,org.jfree.data.time.TimePeriodValues#300,25,50,25
Chart7,org.jfree.data.time.TimePeriodValues#302,57,29,-28
Chart8,org.jfree.data.time.Week#175,3,5,2
Chart9,org.jfree.data.time.TimeSeries#944,7,11,4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,2,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,21,16,-5
Chart13,org.jfree.chart.block.BorderArrangement#454,3,1,-2
Chart14,org.jfree.chart.plot.XYPlot#2293,12,2,-10
Chart14,org.jfree.chart.plot.XYPlot#2529,17,4,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2166,5,1,-4
Chart14,org.jfree.chart.plot.CategoryPlot#2448,16,3,-13
Chart15,org.jfree.chart.plot.PiePlot#2051,4,7,3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,5,9,4
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,9,52,43
Chart18,org.jfree.data.DefaultKeyedValues2D#455,6,11,5
Chart18,org.jfree.data.DefaultKeyedValues2D#458,2,5,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,24,16,-8
Chart19,org.jfree.chart.plot.CategoryPlot#698,5,6,1
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,1,0
Chart20,org.jfree.chart.plot.ValueMarker#95,2,6,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,73,79,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,41,35,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,55,38,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,83,80,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,44,34,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,60,50,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,33,36,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,57,49,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,90,84,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,97,93,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,19,12,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,20,4,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,95,5,-90
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,28,9,-19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,34,28,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,58,48,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,47,30,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,53,32,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,11,6,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,5,7,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,22,18,-4
Chart22,org.jfree.data.KeyedObjects2D#231,56,75,19
Chart22,org.jfree.data.KeyedObjects2D#233,35,55,20
Chart22,org.jfree.data.KeyedObjects2D#378,1,1,0
Chart22,org.jfree.data.KeyedObjects2D#345,28,43,15
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,2,2,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,594,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,89,94,5
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,639,-1,-1
Chart26,org.jfree.chart.axis.Axis#1192,1,2,1
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,6,29,23
Closure2,com.google.javascript.jscomp.TypeCheck#1574,59,69,10
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,28,41,13
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,51,43,-8
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,10,4,-6
Closure6,com.google.javascript.jscomp.TypeValidator#366,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#367,93,87,-6
Closure6,com.google.javascript.jscomp.TypeValidator#405,6,4,-2
Closure6,com.google.javascript.jscomp.TypeValidator#406,108,93,-15
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,45,52,7
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,5,10,5
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,3,3,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,1,1,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,7,10,3
Closure10,com.google.javascript.jscomp.NodeUtil#1417,163,-1,-1
