Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,31,51,20
Chart3,1,2,1
Chart4,280,-1,-1
Chart5,5,9,4
Chart6,31,56,25
Chart7,24,29,5
Chart8,3,5,2
Chart9,5,11,6
Chart10,1,1,0
Chart11,1,2,1
Chart12,22,16,-6
Chart13,4,1,-3
Chart14,5,1,-4
Chart15,4,7,3
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,2,6,4
Chart21,5,4,-1
Chart22,1,1,0
Chart24,2,2,0
Chart25,1,3,2
Chart26,1,2,1
Closure1,6,29,23
Closure2,49,69,20
Closure3,26,41,15
Closure4,1,1,0
Closure5,1,1,0
Closure6,1,1,0
Closure7,33,52,19
Closure8,5,10,5
Closure9,1,1,0
Closure10,126,138,12
Closure11,3,3,0
Closure12,85,162,77
Closure13,2003,-1,-1
Closure14,2,2,0
Closure15,112,116,4
Closure16,191,185,-6
Closure17,1,1,0
Closure18,323,-1,-1
Closure19,59,77,18
Closure20,720,-1,-1
Closure21,1,1,0
Closure22,1,1,0
Closure23,18,38,20
Closure24,1,1,0
Closure25,9,3,-6
Closure26,86,82,-4
Closure27,3,4,1
Closure29,33,25,-8
Closure30,126,140,14
Closure31,334,-1,-1
Closure32,1,1,0
Closure33,27,54,27
Closure34,4,2,-2
Closure35,111,114,3
Closure36,50,58,8
Closure37,293,-1,-1
Closure38,1,1,0
Closure39,1,1,0
Closure40,3,2,-1
Closure41,1848,-1,-1
Closure42,1,1,0
Closure43,701,-1,-1
Closure44,118,130,12
Closure45,18,18,0
Closure46,1,1,0
Closure47,5,5,0
Closure48,1,1,0
Closure49,115,112,-3
Closure50,3,5,2
Closure51,1,1,0
Closure52,47,71,24
Closure53,6,11,5
Closure54,44,46,2
Closure55,14,32,18
Closure56,6,29,23
Closure57,6,21,15
Closure58,80,89,9
Closure59,1454,-1,-1
Closure60,29,54,25
Closure61,62,86,24
Closure62,1,1,0
Closure63,1,1,0
Closure64,553,-1,-1
Closure65,3,2,-1
Closure66,2,2,0
Closure67,9,13,4
Closure68,7,4,-3
Closure69,1164,-1,-1
Closure70,1,1,0
Closure71,1,1,0
Closure72,613,-1,-1
Closure73,1,1,0
Closure74,4,3,-1
Closure75,68,78,10
Closure76,3,7,4
Closure77,25,12,-13
Closure78,59,11,-48
Closure79,72,86,14
Closure80,126,-1,-1
Closure81,1,4,3
Closure82,583,-1,-1
Closure83,1,1,0
Closure84,3,5,2
Closure85,4,10,6
Closure86,11,38,27
Closure87,35,53,18
Closure88,1,2,1
Closure89,5,9,4
Closure90,22,24,2
Closure91,207,189,-18
Closure92,1,1,0
Closure93,2,3,1
Closure94,32,16,-16
Closure95,802,-1,-1
Closure96,3,24,21
Closure97,58,52,-6
Closure98,30,71,41
Closure99,3,3,0
Closure100,1,10,9
Closure101,434,-1,-1
Closure102,464,-1,-1
Closure103,213,-1,-1
Closure104,2,4,2
Closure105,20,14,-6
Closure106,2,2,0
Closure107,4,4,0
Closure108,16,18,2
Closure109,20,59,39
Closure110,59,68,9
Closure111,84,112,28
Closure112,154,158,4
Closure113,3,6,3
Closure114,9,12,3
Closure115,2,2,0
Closure116,113,113,0
Closure117,2,5,3
Closure118,83,83,0
Closure120,177,-1,-1
Closure121,21,22,1
Closure122,1,1,0
Closure123,129,137,8
Closure124,38,62,24
Closure125,19,47,28
Closure126,1,1,0
