project_id,bug_id,sloc,sloc_total
Closure,1,59378,90840
Closure,2,37755,90679
Closure,3,41503,90856
Closure,4,38802,90826
Closure,5,35461,90412
Closure,6,38613,90382
Closure,7,30924,90046
Closure,8,33747,89451
Closure,9,9240,89433
Closure,10,34941,89474
Closure,11,37400,89070
Closure,12,40682,88743
Closure,13,53195,88699
Closure,14,40408,88630
Closure,15,39790,88609
Closure,16,44511,88635
Closure,17,37063,88630
Closure,18,39905,88631
Closure,19,36753,88630
Closure,20,35334,88540
Closure,21,34827,88557
Closure,22,34833,88563
Closure,23,34620,88165
Closure,24,31860,87935
Closure,25,36341,87900
Closure,26,54545,87895
Closure,27,2244,87822
Closure,28,36747,87817
Closure,29,59348,87804
Closure,30,39203,86972
Closure,31,38143,86947
Closure,32,39026,86935
Closure,33,36594,86885
Closure,34,7159,86804
Closure,35,36506,86112
Closure,36,57251,86083
Closure,37,37963,85977
Closure,38,27490,85760
Closure,39,7094,85620
Closure,40,40616,85615
Closure,41,35814,85494
Closure,42,8755,85480
Closure,43,35786,85461
Closure,44,26591,84329
Closure,45,33071,84294
Closure,46,7483,84609
Closure,47,36716,84181
Closure,48,34236,84061
Closure,49,37637,91817
Closure,50,32225,91535
Closure,51,26522,91427
Closure,52,26522,91179
Closure,53,32804,90491
Closure,54,39088,89912
Closure,55,36066,89634
Closure,56,24133,89488
Closure,57,24885,89381
Closure,58,29846,89264
Closure,59,52583,88078
Closure,60,56685,87518
Closure,61,30734,87348
Closure,62,385,87356
Closure,63,385,87354
Closure,64,48258,86753
Closure,65,25332,86709
Closure,66,33378,86621
Closure,67,30647,86603
Closure,68,11295,86587
Closure,69,33766,86613
Closure,70,34453,86123
Closure,71,33914,83431
Closure,72,33313,82968
Closure,73,24643,81803
Closure,74,30636,81211
Closure,75,29831,80903
Closure,76,29997,79627
Closure,77,24473,79581
Closure,78,29547,79582
Closure,79,29807,79165
Closure,80,22636,79124
Closure,81,9280,78783
Closure,82,31494,77966
Closure,83,42977,77476
Closure,84,9264,77220
Closure,85,27664,77032
Closure,86,35464,76517
Closure,87,26926,76414
Closure,88,44525,76381
Closure,89,32300,75581
Closure,90,31191,75501
Closure,91,28267,75412
Closure,92,25235,75331
Closure,93,25200,75255
Closure,94,27526,75107
Closure,95,33615,71117
Closure,96,30282,70900
Closure,97,24984,67856
Closure,98,28194,66559
Closure,99,24855,66547
Closure,100,24820,66339
Closure,101,47088,63223
Closure,102,46451,62672
Closure,103,33675,62661
Closure,104,6027,62661
Closure,105,24954,61682
Closure,106,24467,59026
Closure,107,66899,104559
Closure,108,42704,104548
Closure,109,12833,104162
Closure,110,42465,103295
Closure,111,34018,95570
Closure,112,40959,95094
Closure,113,36211,95089
Closure,114,40490,95089
Closure,115,41409,95087
Closure,116,45955,95072
Closure,117,40861,94992
Closure,118,46288,94991
Closure,119,41552,94990
Closure,120,38748,94928
Closure,121,38762,94942
Closure,122,10643,94807
Closure,123,31161,94524
Closure,124,36932,94266
Closure,125,39758,93555
Closure,126,34653,91779
Closure,127,35464,91770
Closure,128,29128,91498
Closure,129,55133,91495
Closure,130,40579,91415
Closure,131,34559,91413
Closure,132,35723,91353
Closure,133,12238,91313
