project_id,bug_id,sloc,sloc_total
Math,1,3966,84317
Math,2,9606,83799
Math,3,962,82747
Math,4,5420,82488
Math,5,526,81192
Math,6,22547,80941
Math,7,11343,80661
Math,8,2028,79951
Math,9,3492,79676
Math,10,3560,78085
Math,11,18752,77745
Math,12,10334,77743
Math,13,13655,77734
Math,14,11986,77731
Math,15,10428,70317
Math,16,10409,70295
Math,17,1844,68952
Math,18,18833,68684
Math,19,4708,68532
Math,20,18710,68531
Math,21,9287,67850
Math,22,10137,67816
Math,23,3953,67725
Math,24,3933,67559
Math,25,806,66355
Math,26,3623,64715
Math,27,3118,64715
Math,28,10336,64711
Math,29,5688,63611
Math,30,10597,63604
Math,31,11386,63423
Math,32,6766,63399
Math,33,9991,62768
Math,34,498,62729
Math,35,800,62696
Math,36,1033,62954
Math,37,8790,63219
Math,38,8735,62802
Math,39,10250,62791
Math,40,3340,63088
Math,41,2953,63106
Math,42,9954,63104
Math,43,9877,62837
Math,44,11243,62418
Math,45,2754,61766
Math,46,4124,54098
Math,47,4122,54096
Math,48,4881,54132
Math,49,5082,54340
Math,50,4852,54352
Math,51,4364,54296
Math,52,4540,52112
Math,53,1601,50306
Math,54,4073,45424
Math,55,2922,45063
Math,56,3861,45071
Math,57,4001,45112
Math,58,4241,44864
Math,59,4143,44061
Math,60,3256,43606
Math,61,3691,46842
Math,62,3635,46941
Math,63,2695,43924
Math,64,1307,42149
Math,65,7060,42040
Math,66,3340,41724
Math,67,1263,41312
Math,68,1167,40748
Math,69,6607,40752
Math,70,440,40758
Math,71,2284,39983
Math,72,477,38818
Math,73,701,38814
Math,74,9171,39597
Math,75,240,39464
Math,76,9366,39458
Math,77,8774,39407
Math,78,934,38954
Math,79,930,38886
Math,80,8142,38845
Math,81,8141,38844
Math,82,4228,38254
Math,83,4227,38253
Math,84,531,38235
Math,85,1048,37903
Math,86,3167,36135
Math,87,4211,36137
Math,88,4212,36116
Math,89,188,30903
Math,90,185,30900
Math,91,884,29987
Math,92,452,25424
Math,93,444,25286
Math,94,439,25034
Math,95,1003,19934
Math,96,251,19511
Math,97,429,16825
Math,98,1511,16725
Math,99,662,27144
Math,100,1158,16489
Math,101,240,16482
Math,102,2140,15793
Math,103,522,15381
Math,104,334,15297
Math,105,129,9929
Math,106,333,9471
Math,1,3966,84317
Math,2,,85860
83860
Math,3,,82811
82676
