project_id,bug_id,sloc,sloc_total
Mockito,1,7335,10517
Mockito,2,3970,10998
Mockito,3,8626,10512
Mockito,4,5906,10951
Mockito,5,10433,10902
Mockito,6,6583,10903
Mockito,7,5105,10901
Mockito,8,360,10901
Mockito,9,6034,10741
Mockito,10,4933,10565
Mockito,11,2772,10472
Mockito,12,4110,7284
Mockito,13,4211,7287
Mockito,14,3818,7161
Mockito,15,3342,7562
Mockito,16,3219,6372
Mockito,17,2780,6364
Mockito,18,2942,10518
Mockito,19,4891,10519
Mockito,20,6328,11629
Mockito,21,2743,10721
Mockito,22,2705,10498
Mockito,23,5134,10405
Mockito,24,8614,10400
Mockito,25,8349,10035
Mockito,26,7826,9506
Mockito,27,4026,8316
Mockito,28,3381,7597
Mockito,29,4230,7569
Mockito,30,2116,7570
Mockito,31,2087,7568
Mockito,32,4093,7356
Mockito,33,3980,7332
Mockito,34,5400,6373
Mockito,35,3575,6161
Mockito,36,5174,6069
Mockito,37,3222,6061
Mockito,38,3517,5506
